Year,Population
2020,7794798739
2019,7713468100
2018,7631091040
2017,7547858925
2016,7464022049
2015,7379797139
2014,7295290765
2013,7210581976
2012,7125828059
2011,7041194301
2010,6956823603
2009,6872767093
2008,6789088686
2007,6705946610
2006,6623517833
2005,6541907027
2004,6461159389
2003,6381185114
2002,6301773188
2001,6222626606
2000,6143493823
1999,6064239055
1998,5984793942
1997,5905045788
1996,5824891951
1995,5744212979
1994,5663150427
1993,5581597546
1992,5498919809
1991,5414289444
1990,5327231061
