document,element,value,frequency_in_document
1990,Acute_hepatitis,166343,3.12E-05
1990,Alcohol_use_disorders,116390,2.18E-05
1990,Alzheimer_s_disease_and_other_dementias,560616,0.000105236
1990,Cardiovascular_diseases,12062179,0.002264249
1990,Chronic_kidney_disease,600925,0.000112803
1990,Chronic_respiratory_diseases,3092759,0.000580557
1990,Cirrhosis_and_other_chronic_liver_diseases,1012423,0.000190047
1990,Conflict_and_terrorism,116286,2.18E-05
1990,Diabetes_mellitus,661085,0.000124095
1990,Diarrheal_diseases,2894957,0.000543426
1990,Digestive_diseases,1854392,0.000348097
1990,Drowning,460460,8.64E-05
1990,Drug_use_disorders,56133,1.05E-05
1990,Environmental_heat_and_cold_exposure,55072,1.03E-05
1990,Exposure_to_forces_of_nature,50216,9.43E-06
1990,Fire__heat__and_hot_substances,123123,2.31E-05
1990,HIV_AIDS,336059,6.31E-05
1990,Interpersonal_violence,372497,6.99E-05
1990,Lower_respiratory_infections,3318264,0.000622887
1990,Malaria,840297,0.000157736
1990,Maternal_disorders,302419,5.68E-05
1990,Meningitis,432253,8.11E-05
1990,Neonatal_disorders,3004581,0.000564004
1990,Neoplasms,5752596,0.001079847
1990,Nutritional_deficiencies,756808,0.000142064
1990,Parkinson_s_disease,147156,2.76E-05
1990,Poisonings,87951,1.65E-05
1990,Protein_energy_malnutrition,655975,0.000123136
1990,Road_injuries_,1112770,0.000208883
1990,Self_harm,738804,0.000138684
1990,Tuberculosis,1776727,0.000333518
1991,Acute_hepatitis,165276,3.05E-05
1991,Alcohol_use_disorders,122478,2.26E-05
1991,Alzheimer_s_disease_and_other_dementias,583166,0.000107709
1991,Cardiovascular_diseases,12220282,0.002257043
1991,Chronic_kidney_disease,613589,0.000113328
1991,Chronic_respiratory_diseases,3148288,0.000581478
1991,Cirrhosis_and_other_chronic_liver_diseases,1026870,0.000189659
1991,Conflict_and_terrorism,85017,1.57E-05
1991,Diabetes_mellitus,679630,0.000125525
1991,Diarrheal_diseases,2903085,0.000536189
1991,Digestive_diseases,1877515,0.00034677
1991,Drowning,454375,8.39E-05
1991,Drug_use_disorders,61890,1.14E-05
1991,Environmental_heat_and_cold_exposure,56658,1.05E-05
1991,Exposure_to_forces_of_nature,156552,2.89E-05
1991,Fire__heat__and_hot_substances,123941,2.29E-05
1991,HIV_AIDS,430725,7.96E-05
1991,Interpersonal_violence,383689,7.09E-05
1991,Lower_respiratory_infections,3282941,0.000606348
1991,Malaria,858984,0.000158651
1991,Maternal_disorders,298271,5.51E-05
1991,Meningitis,428621,7.92E-05
1991,Neonatal_disorders,2975087,0.000549488
1991,Neoplasms,5867965,0.001083792
1991,Nutritional_deficiencies,729145,0.00013467
1991,Parkinson_s_disease,150875,2.79E-05
1991,Poisonings,87813,1.62E-05
1991,Protein_energy_malnutrition,631013,0.000116546
1991,Road_injuries_,1117024,0.00020631
1991,Self_harm,752575,0.000138998
1991,Tuberculosis,1786389,0.00032994
1992,Acute_hepatitis,163687,2.98E-05
1992,Alcohol_use_disorders,131665,2.39E-05
1992,Alzheimer_s_disease_and_other_dementias,605894,0.000110184
1992,Cardiovascular_diseases,12437979,0.002261895
1992,Chronic_kidney_disease,630160,0.000114597
1992,Chronic_respiratory_diseases,3207816,0.000583354
1992,Cirrhosis_and_other_chronic_liver_diseases,1042953,0.000189665
1992,Conflict_and_terrorism,62063,1.13E-05
1992,Diabetes_mellitus,702253,0.000127707
1992,Diarrheal_diseases,2871809,0.00052225
1992,Digestive_diseases,1903759,0.000346206
1992,Drowning,447056,8.13E-05
1992,Drug_use_disorders,66826,1.22E-05
1992,Environmental_heat_and_cold_exposure,59926,1.09E-05
1992,Exposure_to_forces_of_nature,12030,2.19E-06
1992,Fire__heat__and_hot_substances,124995,2.27E-05
1992,HIV_AIDS,540070,9.82E-05
1992,Interpersonal_violence,407176,7.40E-05
1992,Lower_respiratory_infections,3258792,0.000592624
1992,Malaria,856415,0.000155742
1992,Maternal_disorders,299300,5.44E-05
1992,Meningitis,426440,7.75E-05
1992,Neonatal_disorders,2950376,0.000536537
1992,Neoplasms,5996098,0.001090414
1992,Nutritional_deficiencies,700664,0.000127418
1992,Parkinson_s_disease,154886,2.82E-05
1992,Poisonings,88435,1.61E-05
1992,Protein_energy_malnutrition,606015,0.000110206
1992,Road_injuries_,1125566,0.000204689
1992,Self_harm,770286,0.00014008
1992,Tuberculosis,1807740,0.000328745
1993,Acute_hepatitis,161899,2.90E-05
1993,Alcohol_use_disorders,143901,2.58E-05
1993,Alzheimer_s_disease_and_other_dementias,629571,0.000112794
1993,Cardiovascular_diseases,12802108,0.002293628
1993,Chronic_kidney_disease,647255,0.000115962
1993,Chronic_respiratory_diseases,3266612,0.000585247
1993,Cirrhosis_and_other_chronic_liver_diseases,1067730,0.000191295
1993,Conflict_and_terrorism,62733,1.12E-05
