element,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,CellType
a1,2.39367939,1.49446473,1.382283584,1.382302294,4.649714412,2.866706231,1.131078002,2.469814473,1.998960264,0.215914943,0.671242283,2.106165637,4.365176867,1.391852185,1.058027439,1.814007541,1.005284481,1.317741381,1.649302479,0.640137305,2.970060094,0.535181446,0.472793444,1.933950418,2.813353808,1.897835574,1.521779177,1.307381435,1.139909831,3.437799301,2.121043939,1.217318814,0.936606529,2.587618957,3.383441673,3.181209782,0.801047048,1.298497801,1.121434968,1.438288116,2.951088523,4.102262457,2.17848714,0.964844623,1.620841965,4.612539535,1.781588602,1.309684703,1.398852612,2.171513364,CD4 T
a2,0.825631735,1.099197118,3.149772394,2.128127615,1.79516084,3.256013565,0.914685784,1.278434917,2.078930305,2.026914591,0.425845574,1.180461414,1.46699837,2.244605542,2.021763642,1.572392964,0.214105082,1.632671194,1.745639028,7.297997789,1.430459773,2.087059522,3.620212759,2.838072696,4.212804581,0.432912219,0.687061894,1.037267044,0.359317195,1.756757294,0.739177711,4.575208747,0.84620088,1.284503218,2.95296216,0.529138057,0.333583165,1.916571744,2.025190486,2.89345464,2.43537722,2.080223671,0.933881417,1.984844912,2.07437426,0.904084293,5.42207552,2.356273571,0.698461745,2.903277905,CD8 T
a3,3.24539514,2.258378349,1.369519838,0.870685346,1.569097196,2.147025946,1.68350845,4.335527217,2.611912836,0.786920054,0.631187655,2.370351115,1.394502526,2.768812146,2.355305629,1.574401879,0.795060681,0.376199725,1.958620742,0.520251534,0.766204129,1.87310628,1.742948876,0.583721956,3.492326564,3.43085843,2.423914208,2.421844454,2.423934789,3.226559947,2.656975361,0.854797811,1.379248481,6.796532198,0.231484319,1.128629709,3.504812556,0.903266826,2.706979288,1.726194638,0.959044917,0.181011217,1.91915252,0.838609321,1.522887375,2.40730097,3.052812298,1.125632356,0.957501615,0.511306078,CD4 T
a4,3.154629072,6.181725976,3.386476383,3.895601053,0.909834096,2.307801665,2.880069499,0.663138597,4.787152146,0.418213434,4.305657016,0.415282128,0.69353766,2.337250493,1.758414638,1.217076633,4.667143805,0.524972688,1.478292201,2.54739509,2.05638091,0.985089571,1.015710584,3.021699922,3.118691319,2.095698833,0.809171937,1.043033892,1.639828188,1.822770574,2.477436118,1.419027223,2.975512233,2.952947829,3.983953683,1.693929829,2.121168842,1.504235207,0.817794683,6.09009622,3.653416728,2.911842928,1.650906093,0.755948104,3.26909391,1.483933791,2.258616318,1.039690452,2.003341752,1.094132063,CD4 T
a5,1.12951952,1.984549378,0.409065475,0.429969079,0.900574438,1.406015155,3.037192913,1.468596316,1.642880374,1.321094543,2.11897453,0.810579559,1.530163934,2.240924793,1.973030808,1.6829763,1.698509838,2.395790327,6.278199197,0.859336833,6.393352327,0.825789611,0.153513495,1.075890009,2.147949261,5.451596816,0.755064168,2.385808096,0.477239945,5.325389688,3.700079811,1.13137586,4.096692791,1.523126377,3.829820613,1.673445423,1.728057053,1.150538879,2.607008541,1.826841281,2.422925945,0.367053738,3.920130741,4.578291159,1.820506589,5.993706642,5.115041656,2.646391842,4.131494632,3.440524248,CD4 T
a6,0.271129701,1.342496319,2.775230774,4.777257298,0.444443918,0.292989072,1.595978494,0.168862845,1.554240344,2.186154517,0.723925796,1.587050792,3.228847676,1.071554077,0.838321798,1.532274391,0.655586704,5.70741,1.712607481,0.916701507,1.958457092,1.525816981,1.39736246,1.071319895,1.02833341,0.376035189,4.127340683,2.52730291,2.101646157,1.506920021,0.712391876,0.868497732,0.422277624,0.963542139,0.624014354,4.931346537,3.083615003,1.768557294,0.783694174,0.654198884,1.43281893,3.171084328,0.434640195,2.504220386,0.959900598,1.113571397,1.730095879,0.807613783,1.37682672,0.748118439,B
a7,1.027441907,2.844443802,1.798221208,2.837067826,0.949233158,2.51716371,0.324800547,1.729517976,2.634490506,0.310278055,0.958834366,1.728610021,3.332560616,1.027329194,2.44847144,4.306374896,2.528180839,1.418038522,2.193197064,1.00220344,1.780971491,1.473658447,2.141605581,1.189478797,2.229527095,1.180113542,3.063201573,1.280208379,0.177222891,0.674588472,1.69055795,4.902919929,2.983097852,0.131669682,0.393822382,3.622229507,2.624324494,6.652682801,1.141190947,0.792658642,1.760776039,1.122939244,3.396997183,1.091137942,1.34197322,0.695514703,2.847389927,0.737121609,2.259412343,5.45337489,CD8 T
a8,0.263515146,4.440161681,2.05486165,0.595007255,1.811921371,2.790173792,0.840281641,2.352430393,4.685557345,1.089971017,0.687728212,1.50949347,1.739647272,3.515929908,1.470888338,1.174076374,0.671754087,0.313091224,0.494420423,0.491487382,1.35349637,0.381829214,1.597550348,5.374544119,3.585124038,1.343075499,7.685145974,1.744292235,1.935695164,1.48715851,1.624738961,1.058941186,1.35868805,4.459911452,3.84843977,0.167199444,0.429944008,0.850675601,3.189954918,3.906169739,2.782727618,0.592695586,1.0770811,2.381637959,1.375261802,1.228094581,1.242744233,3.656072813,2.555598938,1.298132677,CD8 T
a9,2.124152005,0.517065081,1.078816361,3.420855447,0.356555183,2.577823026,0.164830606,4.956172152,1.057516058,2.236876598,1.818526004,1.868333023,2.096454299,0.290248479,1.897127776,1.440249822,1.062442001,0.850273267,1.932502427,0.695796583,3.379626612,2.354265064,2.019531526,3.284433808,0.240742592,0.500407241,2.428264844,0.894337116,0.995291385,0.430389159,0.697600621,3.430523651,2.388102421,1.916858371,1.028502224,1.829194899,3.63419791,0.913714021,1.621903556,5.157307289,2.757512219,1.040876394,2.605199811,0.350313694,1.572408471,2.603221779,2.20726012,2.585731706,2.991701771,2.332525259,CD4 T
a10,2.285100228,1.949425383,0.624344006,3.429502364,1.616120944,2.710375205,3.195142839,1.085280654,1.16631018,1.298541801,3.870292394,0.757967267,4.319537644,1.933513571,2.035745401,3.099188934,1.775167708,3.455313558,1.084074835,4.228522467,1.155146223,4.335161926,1.180931808,1.328709928,0.677379447,0.858963337,1.622288486,1.987690699,3.287745443,1.405390883,2.210705613,1.890923296,2.38668071,0.971477453,1.070843222,0.971795355,3.721159212,4.255372276,1.033086293,1.050568674,2.624586515,4.569063087,5.226359626,0.99412834,1.214578394,2.063627161,2.136808967,1.448506608,0.833900464,1.624264684,CD8 T
a11,5.222710113,1.083761971,1.972590883,7.520290828,1.070966444,2.711072947,5.368209889,2.551401527,3.546836375,2.966147599,2.411075168,4.163564641,2.652254203,1.460093736,1.863338789,2.189366128,1.208694379,1.925747665,1.72733765,2.646582019,6.309732403,2.009795313,4.64521419,2.581081747,1.919372091,1.154205074,1.930002505,1.844290871,0.916358957,1.044223713,2.202614516,4.614780263,1.583216322,0.409101125,0.66534432,2.758604076,0.499986277,3.065783667,2.654879272,1.541881809,0.923493196,1.374227781,2.163734392,0.516813175,4.31171531,2.149431657,2.328607442,2.641732679,4.038842666,1.93346567,B
