document,element,observed,expected,gap_val,jsd,jsd_bits,LvS
1994,Drug_use_disorders,0.00001,0.01,-0.000136962,1.3560172747316654e-06,1.9563193976151409e-06,-0.0001
1994,Poisonings,0.00001,0.01,0.000187637,2.3489225349844042e-06,3.3887788926543327e-06,-0.0001
1995,Drug_use_disorders,0.00001,0.01,-6.60E-05,3.0839451892690741e-07,4.4491924309318691e-07,-0.0001
2019,Exposure_to_forces_of_nature,0.000111837,0.001022777,-0.00091094,0.000210597,0.000303827,-0.000210597
2014,Exposure_to_forces_of_nature,0.000144573,0.001022777,-0.000878204,0.000185975,0.000268305,-0.000185975
2016,Exposure_to_forces_of_nature,0.000165694,0.001022777,-0.000857083,0.000171878,0.000247967,-0.000171878
2012,Exposure_to_forces_of_nature,0.000177064,0.001022777,-0.000845713,0.000164781,0.000237729,-0.000164781
2002,Exposure_to_forces_of_nature,0.000182179,0.001022777,-0.000840598,0.000161691,0.000233271,-0.000161691
2000,Exposure_to_forces_of_nature,0.000185597,0.001022777,-0.00083718,0.000159661,0.000230342,-0.000159661
2018,Exposure_to_forces_of_nature,0.000206965,0.001022777,-0.000815812,0.000147549,0.000212868,-0.000147549
2009,Exposure_to_forces_of_nature,0.000219937,0.001022777,-0.00080284,0.000140652,0.000202918,-0.000140652
2017,Exposure_to_forces_of_nature,0.000252113,0.001022777,-0.000770664,0.00012486,0.000180135,-0.00012486
1992,Exposure_to_forces_of_nature,0.000270586,0.001022777,-0.000752191,0.000116556,0.000168155,-0.000116556
1994,Exposure_to_forces_of_nature,0.000275363,0.001022777,-0.000747414,0.000114492,0.000165177,-0.000114492
2015,Exposure_to_forces_of_nature,0.000300503,0.001022777,-0.000722274,0.00010415,0.000150256,-0.00010415
1996,Exposure_to_forces_of_nature,0.000320936,0.001022777,-0.000701841,9.634770423212222e-05,0.000139,-9.63E-05
2007,Exposure_to_forces_of_nature,0.000327304,0.001022777,-0.000695473,9.4018906993777033e-05,0.000135641,-9.40E-05
1997,Exposure_to_forces_of_nature,0.000382496,0.001022777,-0.000640281,7.5692130954640449e-05,0.000109201,-7.57E-05
2006,Exposure_to_forces_of_nature,0.000402998,0.001022777,-0.000619779,6.965374628177465e-05,0.000100489,-6.97E-05
1995,Exposure_to_forces_of_nature,0.00041512,0.001022777,-0.000607657,6.62612829532142e-05,9.5594824319542536e-05,-6.63E-05
1993,Exposure_to_forces_of_nature,0.000472915,0.001022777,-0.000549862,5.1741268044022e-05,7.4646870816417134e-05,-5.17E-05
2013,Exposure_to_forces_of_nature,0.000528278,0.001022777,-0.000494499,4.0109836610655947e-05,5.7866262369059927e-05,-4.01E-05
2001,Exposure_to_forces_of_nature,0.000609622,0.001022777,-0.000413155,2.6428500558768397e-05,3.8128266694266367e-05,-2.64E-05
2011,Exposure_to_forces_of_nature,0.000631778,0.001022777,-0.000390999,2.3319889601257566e-05,3.36434890818124e-05,-2.33E-05
2003,Exposure_to_forces_of_nature,0.000722132,0.001022777,-0.000300644,1.3014960493054796e-05,1.8776618960695934e-05,-1.30E-05
2018,Environmental_heat_and_cold_exposure,0.000864166,0.001228023,-0.000363857,1.5900485317213019e-05,2.2939551314871e-05,-1.59E-05
2019,Environmental_heat_and_cold_exposure,0.000873623,0.001228023,-0.0003544,1.5012202392731912e-05,2.165802994481576e-05,-1.50E-05
2017,Environmental_heat_and_cold_exposure,0.000876609,0.001228023,-0.000351414,1.4737952440878463e-05,2.1262370899312752e-05,-1.47E-05
2016,Environmental_heat_and_cold_exposure,0.000907477,0.001228023,-0.000320546,1.2074388760983237e-05,1.7419660787235951e-05,-1.21E-05
2014,Environmental_heat_and_cold_exposure,0.000951366,0.001228023,-0.000276657,8.80360714750083e-06,1.2700920373634082e-05,-8.80E-06
2013,Environmental_heat_and_cold_exposure,0.000971952,0.001228023,-0.000256072,7.4684407179186315e-06,1.0774682386914419e-05,-7.47E-06
2015,Environmental_heat_and_cold_exposure,0.000996309,0.001228023,-0.000231714,6.0455101279560384e-06,8.72182748124618e-06,-6.05E-06
2012,Environmental_heat_and_cold_exposure,0.001016213,0.001228023,-0.00021181,5.0050795369401346e-06,7.2208034271983618e-06,-5.01E-06
1998,Exposure_to_forces_of_nature,0.00102269,0.001022777,-8.73E-08,9.3133475211151437e-13,1.3436320282788338e-12,-9.31E-13
2011,Environmental_heat_and_cold_exposure,0.001024293,0.001228023,-0.00020373,4.6133286100340725e-06,6.6556263076873309e-06,-4.61E-06
2010,Conflict_and_terrorism,0.001080206,0.002259519,-0.001179313,0.000106388,0.000153486,-0.000106388
2009,Environmental_heat_and_cold_exposure,0.001098883,0.001228023,-0.00012914,1.792692900418485e-06,2.5863091572706005e-06,-1.79E-06
2008,Environmental_heat_and_cold_exposure,0.001152592,0.001228023,-7.54E-05,5.9761990152385524e-07,8.6218326826501666e-07,-5.98E-07
1990,Exposure_to_forces_of_nature,0.0011539,0.001022777,0.000131123,1.9759000851101441e-06,2.8506212540804856e-06,1.9759000851101441e-06
2019,Conflict_and_terrorism,0.001159109,0.002259519,-0.00110041,9.0148048105060156e-05,0.000130056,-9.01E-05
2010,Environmental_heat_and_cold_exposure,0.001163641,0.001228023,-6.44E-05,4.3333654252400967e-07,6.2517248093535813e-07,-4.33E-07
2005,Conflict_and_terrorism,0.001199934,0.002259519,-0.001059585,8.2453015101697878e-05,0.000118955,-8.25E-05
2007,Environmental_heat_and_cold_exposure,0.001208016,0.001228023,-2.00E-05,4.1081078643452483e-08,5.9267468433278403e-08,-4.11E-08
2011,Conflict_and_terrorism,0.001247687,0.002259519,-0.001011833,7.4026348565280683e-05,0.000106797,-7.40E-05
1990,Environmental_heat_and_cold_exposure,0.001265484,0.001228023,3.7461191615123426e-05,1.4070477947884706e-07,2.0299408758350784e-07,1.4070477947884706e-07
1991,Environmental_heat_and_cold_exposure,0.001285936,0.001228023,5.7913052090465553e-05,3.3355932576914511e-07,4.8122438512941191e-07,3.3355932576914511e-07
1990,Drug_use_disorders,0.001289865,0.001798128,-0.000508263,2.1009674802398152e-05,3.0310553648109627e-05,-2.10E-05
2008,Conflict_and_terrorism,0.001290912,0.002259519,-0.000968607,6.6907300957211682e-05,9.6526831290234691e-05,-6.69E-05
2006,Environmental_heat_and_cold_exposure,0.001307651,0.001228023,7.9627371194859872e-05,6.2523432108150474e-07,9.0202245441786479e-07,6.2523432108150474e-07
1999,Environmental_heat_and_cold_exposure,0.001329952,0.001228023,0.000101929,1.0156740823413298e-06,1.4653079617532852e-06,1.0156740823413298e-06
1992,Environmental_heat_and_cold_exposure,0.00134789,0.001228023,0.000119866,1.3949583889015315e-06,2.0124995499146975e-06,1.3949583889015315e-06
2002,Conflict_and_terrorism,0.001358242,0.002259519,-0.000901277,5.672835871955672e-05,8.1841721802474674e-05,-5.67E-05
2004,Environmental_heat_and_cold_exposure,0.001361114,0.001228023,0.000133091,1.7110969340070631e-06,2.4685910611723e-06,1.7110969340070631e-06
2000,Environmental_heat_and_cold_exposure,0.001362114,0.001228023,0.000134091,1.736235105260257e-06,2.5048577761763003e-06,1.736235105260257e-06
1997,Environmental_heat_and_cold_exposure,0.001367469,0.001228023,0.000139445,1.8738645604639718e-06,2.7034151086789494e-06,1.8738645604639718e-06
1998,Environmental_heat_and_cold_exposure,0.00137802,0.001228023,0.000149997,2.1595414277432264e-06,3.1155597083994246e-06,2.1595414277432264e-06
2005,Environmental_heat_and_cold_exposure,0.001378894,0.001228023,0.000150871,2.1840763973536242e-06,3.1509561873847067e-06,2.1840763973536242e-06
2001,Environmental_heat_and_cold_exposure,0.001379395,0.001228023,0.000151372,2.198193748339646e-06,3.1713232196427295e-06,2.198193748339646e-06
2001,Conflict_and_terrorism,0.001386133,0.002259519,-0.000873386,5.2821339818127726e-05,7.6205085008723618e-05,-5.28E-05
1993,Conflict_and_terrorism,0.001388337,0.002259519,-0.000871182,5.2520056607806216e-05,7.577042521528967e-05,-5.25E-05
1992,Conflict_and_terrorism,0.001395956,0.002259519,-0.000863563,5.1486932386531862e-05,7.4279942024634878e-05,-5.15E-05
1991,Drug_use_disorders,0.001404684,0.001798128,-0.000393444,1.2113567373875974e-05,1.7476183577765213e-05,-1.21E-05
2019,Poisonings,0.001419712,0.001780571,-0.00036086,1.0194181938817762e-05,1.4707095729052223e-05,-1.02E-05
2004,Conflict_and_terrorism,0.001429186,0.002259519,-0.000830333,4.7130119592174777e-05,6.7994389812134326e-05,-4.71E-05
2002,Environmental_heat_and_cold_exposure,0.001430332,0.001228023,0.000202309,3.852811991125918e-06,5.5584327530748952e-06,3.852811991125918e-06
2009,Conflict_and_terrorism,0.00143449,0.002259519,-0.000825029,4.6456849782128647e-05,6.7023066796000519e-05,-4.65E-05
2007,Conflict_and_terrorism,0.00144026,0.002259519,-0.000819259,4.5731124622470519e-05,6.5976066707113391e-05,-4.57E-05
2003,Conflict_and_terrorism,0.001446219,0.002259519,-0.0008133,4.4989138890015563e-05,6.4905607570490259e-05,-4.50E-05
2018,Poisonings,0.00145307,0.001780571,-0.000327501,8.3065039126010569e-06,1.1983752001834317e-05,-8.31E-06
1995,Conflict_and_terrorism,0.001455486,0.002259519,-0.000804033,4.3850089380630293e-05,6.3262306491973123e-05,-4.39E-05
2019,Acute_hepatitis,0.00145688,0.002617653,-0.001160773,8.3827871964043147e-05,0.000120938,-8.38E-05
1996,Environmental_heat_and_cold_exposure,0.00145943,0.001228023,0.000231407,4.987571746503845e-06,7.1955450247590032e-06,4.987571746503845e-06
1999,Exposure_to_forces_of_nature,0.001460398,0.001022777,0.000437621,1.9382021420021517e-05,2.7962346185068707e-05,1.9382021420021517e-05
2003,Environmental_heat_and_cold_exposure,0.001464662,0.001228023,0.000236639,5.2058061671849643e-06,7.51039074122693e-06,5.2058061671849643e-06
1993,Environmental_heat_and_cold_exposure,0.001478609,0.001228023,0.000250586,5.8082577580286282e-06,8.379544663712751e-06,5.8082577580286282e-06
2017,Poisonings,0.001486728,0.001780571,-0.000293843,6.6156126858586212e-06,9.5443116143303482e-06,-6.62E-06
1992,Drug_use_disorders,0.001503088,0.001798128,-0.00029504,6.6009559905755722e-06,9.5231664727296732e-06,-6.60E-06
2006,Conflict_and_terrorism,0.001508462,0.002259519,-0.000751057,3.767820528644255e-05,5.4358159916346994e-05,-3.77E-05
2018,Acute_hepatitis,0.00151076,0.002617653,-0.001106893,7.5109396332021823e-05,0.00010836,-7.51E-05
2016,Poisonings,0.001527606,0.001780571,-0.000252965,4.8405589592760757e-06,6.9834504056782368e-06,-4.84E-06
2015,Poisonings,0.001561505,0.001780571,-0.000219067,3.5924212349611667e-06,5.1827683004626811e-06,-3.59E-06
2017,Acute_hepatitis,0.001562273,0.002617653,-0.00105538,6.7344124622076436e-05,9.7157034625278019e-05,-6.73E-05
1994,Environmental_heat_and_cold_exposure,0.001565633,0.001228023,0.000337609,1.0224878016410461e-05,1.4751380807969954e-05,1.0224878016410461e-05
1995,Environmental_heat_and_cold_exposure,0.001572969,0.001228023,0.000344945,1.0647120466973888e-05,1.5360547897450613e-05,1.0647120466973888e-05
1993,Drug_use_disorders,0.001584638,0.001798128,-0.00021349,3.3706382895033e-06,4.86280314489687e-06,-3.37E-06
2014,Poisonings,0.001598958,0.001780571,-0.000181613,2.4411017533487134e-06,3.5217653938615427e-06,-2.44E-06
2016,Acute_hepatitis,0.001618841,0.002617653,-0.000998811,5.9428743855386535e-05,8.5737554046426612e-05,-5.94E-05
2013,Poisonings,0.001641772,0.001780571,-0.000138799,1.4076954935129417e-06,2.030875307572863e-06,-1.41E-06
2004,Drug_use_disorders,0.001659086,0.001798128,-0.000139042,1.3983737215554816e-06,2.0174268333975373e-06,-1.40E-06
2012,Poisonings,0.001671915,0.001780571,-0.000108656,8.5503764307229822e-07,1.2335585674337921e-06,-8.55E-07
2003,Drug_use_disorders,0.001674336,0.001798128,-0.000123792,1.1035210080164702e-06,1.5920442857821517e-06,-1.10E-06
2011,Poisonings,0.001707863,0.001780571,-7.27E-05,3.7888860519075769e-07,5.4662071175804255e-07,-3.79E-07
2015,Acute_hepatitis,0.001711457,0.002617653,-0.000906195,4.7775109325007796e-05,6.8924913301116828e-05,-4.78E-05
2005,Drug_use_disorders,0.001713788,0.001798128,-8.43E-05,5.064192086454833e-07,7.30608480923752e-07,-5.06E-07
2006,Drug_use_disorders,0.001728312,0.001798128,-6.98E-05,3.4557451240852018e-07,4.9855863530939367e-07,-3.46E-07
2002,Drug_use_disorders,0.001733234,0.001798128,-6.49E-05,2.9814823725389232e-07,4.3013698333597655e-07,-2.98E-07
2007,Drug_use_disorders,0.001736774,0.001798128,-6.14E-05,2.662400692409729e-07,3.8410322757988586e-07,-2.66E-07
2008,Drug_use_disorders,0.001737518,0.001798128,-6.06E-05,2.5976652052733744e-07,3.7476387095377086e-07,-2.60E-07
2010,Poisonings,0.001737945,0.001780571,-4.26E-05,1.2910668102638185e-07,1.8626156846239433e-07,-1.29E-07
