document,element,frequency_in_document
AI,sustainable,169
AI,sustainability,145
AI,waste,124
AI,energy,119
AI,campus,109
AI,local,84
AI,practices,81
AI,community,81
AI,students,73
AI,recycling,67
AI,initiatives,65
AI,reduce,64
AI,environmental,61
AI,green,59
AI,food,56
AI,water,55
AI,transportation,53
AI,workshops,48
AI,composting,47
AI,conservation,45
AI,program,43
AI,events,41
AI,benefits,40
AI,reduction,37
AI,programs,37
AI,impact,37
AI,use,37
AI,eco,37
AI,importance,36
AI,promote,36
AI,about,35
AI,friendly,35
AI,renewable,35
Human,sustainability,34
AI,awareness,34
AI,as,33
AI,dining,31
AI,campaigns,31
AI,educational,30
AI,education,29
AI,create,29
AI,solar,28
AI,bike,28
AI,reducing,28
AI,implement,27
AI,promoting,26
AI,projects,26
AI,fashion,26
AI,organize,26
AI,can,25
AI,where,25
AI,educate,25
AI,their,25
AI,carbon,24
AI,encourage,24
AI,such,24
AI,club,24
AI,panels,21
AI,options,21
AI,student,21
Human,food,21
AI,public,21
AI,businesses,21
AI,staff,21
AI,zero,21
AI,encouraging,21
AI,develop,21
AI,college,20
AI,efficient,20
AI,buildings,20
AI,sources,20
AI,establish,20
AI,materials,20
Human,waste,18
AI,products,18
AI,up,18
AI,host,18
AI,lighting,17
AI,event,17
AI,resources,17
AI,implementing,17
AI,systems,17
AI,clean,17
AI,organizations,17
AI,hall,16
Human,more,16
AI,stations,16
AI,gardens,16
AI,biodiversity,16
AI,more,16
AI,by,16
AI,focused,16
AI,garden,16
AI,provide,16
AI,led,15
AI,research,15
AI,strategies,15
AI,agriculture,15
Human,campus,15
AI,sharing,15
AI,incentives,15
AI,challenge,15
AI,consumption,15
AI,living,15
AI,featuring,15
AI,efficiency,14
AI,harvesting,14
AI,organizing,14
AI,climate,14
Human,environmental,14
AI,building,14
Human,recycling,14
AI,members,14
AI,single,14
AI,clubs,14
AI,through,14
AI,launch,14
AI,electric,13
AI,how,13
AI,efforts,13
AI,wind,13
AI,management,13
AI,footprint,13
AI,usage,13
AI,topics,13
AI,spaces,13
AI,plant,13
AI,collaboration,12
Human,energy,12
AI,creating,12
AI,change,12
AI,challenges,12
AI,increase,12
AI,issues,12
AI,solutions,12
AI,reusable,12
AI,saving,12
AI,install,12
AI,offer,12
AI,initiative,12
AI,campaign,12
AI,including,12
AI,areas,11
Human,sustainable,11
AI,rainwater,11
Human,solar,11
Human,panels,11
AI,hosting,11
AI,cost,11
AI,savings,11
Human,dining,11
AI,plastics,11
AI,using,11
AI,carpooling,11
AI,wide,11
AI,organic,11
AI,system,11
AI,collaborate,11
AI,from,11
AI,support,11
AI,residents,11
AI,partner,11
AI,day,11
AI,infrastructure,10
AI,landscaping,10
AI,long,10
AI,share,10
AI,involvement,10
AI,supporting,10
AI,engagement,10
Human,projects,10
AI,own,10
Human,halls,10
AI,bins,10
AI,film,10
AI,an,10
AI,wildlife,10
AI,fair,10
AI,other,10
AI,like,10
AI,transit,10
Human,water,9
AI,raise,9
AI,policies,9
AI,environment,9
AI,budget,9
AI,based,9
AI,experts,9
AI,economic,9
AI,curriculum,9
AI,project,9
AI,educating,9
AI,improve,9
AI,opportunities,9
Human,bins,9
Human,events,9
AI,tech,9
AI,who,9
AI,installation,9
AI,among,9
AI,participants,9
AI,clothing,9
AI,tips,9
AI,services,9
Human,reducing,8
AI,goals,8
AI,charging,8
AI,development,8
AI,types,8
AI,partnerships,8
AI,certification,8
AI,costs,8
AI,cleaning,8
AI,emissions,8
AI,planting,8
Human,green,8
AI,grow,8
AI,providing,8
AI,native,8
AI,dorms,8
AI,reliance,8
AI,engage,8
AI,come,8
AI,together,8
AI,natural,8
AI,discussions,8
AI,walking,8
AI,enhance,8
AI,this,8
AI,communities,7
AI,identify,7
AI,set,7
AI,allocate,7
AI,progress,7
AI,vehicle,7
AI,examples,7
AI,collection,7
AI,technology,7
AI,them,7
AI,social,7
AI,could,7
AI,funding,7
Human,hall,7
AI,rain,7
AI,fixtures,7
AI,action,7
AI,tree,7
Human,about,7
AI,at,7
AI,training,7
AI,meal,7
Human,clubs,7
AI,minimize,7
AI,farmers,7
AI,sessions,7
AI,stewardship,7
AI,ambassadors,7
Human,local,6
AI,current,6
AI,habits,6
AI,improvement,6
AI,funds,6
Human,dorm,6
AI,term,6
AI,plan,6
AI,new,6
AI,health,6
AI,ways,6
AI,changes,6
AI,ideas,6
Human,class,6
AI,generate,6
AI,upgrades,6
AI,turbines,6
AI,runoff,6
AI,appliances,6
Human,sus,6
Human,composting,6
AI,containers,6
Human,students,6
Human,efforts,6
AI,vehicles,6
Human,compost,6
AI,fostering,6
AI,installing,6
AI,screenings,6
AI,roofs,6
AI,fossil,6
AI,fuels,6
AI,habitat,6
AI,showcasing,6
AI,regular,6
AI,urban,6
AI,production,6
AI,audits,6
AI,quality,6
AI,cooking,6
AI,documentaries,6
AI,around,6
AI,habitats,6
AI,biking,6
Human,amount,5
AI,spending,5
Human,transportation,5
AI,utensils,5
Human,efficient,5
AI,culture,5
AI,tracking,5
AI,policy,5
AI,hands,5
AI,learning,5
AI,ensuring,5
AI,future,5
AI,plastic,5
Human,committee,5
Human,student,5
AI,increasing,5
AI,innovation,5
Human,initiatives,5
Human,items,5
AI,low,5
AI,definition,5
Human,programs,5
AI,grants,5
AI,technologies,5
AI,items,5
AI,seminars,5
Human,community,5
AI,promotes,5
AI,participation,5
Human,conservation,5
AI,halls,5
AI,proper,5
AI,existing,5
AI,into,5
AI,participate,5
AI,digital,5
AI,s,5
AI,choices,5
AI,faculty,5
AI,fund,5
AI,series,5
AI,purchasing,5
AI,parks,5
AI,discounts,5
AI,prioritize,5
AI,schools,5
AI,air,5
AI,focus,5
AI,advocacy,5
AI,informational,5
AI,advocate,5
AI,followed,5
AI,festival,5
AI,show,5
AI,trees,5
AI,advocates,5
AI,discussing,5
AI,adopt,5
AI,parking,5
AI,monitor,4
Collaborative,energy,4
AI,carpool,4
AI,conduct,4
AI,establishing,4
AI,individual,4
AI,design,4
AI,data,4
AI,improved,4
AI,implementation,4
AI,monitoring,4
AI,make,4
AI,skills,4
AI,healthier,4
AI,time,4
AI,various,4
AI,disciplines,4
AI,option,4
AI,all,4
AI,what,4
AI,collaborating,4
AI,government,4
Human,competitions,4
Human,ideas,4
Human,budget,4
Human,initiative,4
Human,paper,4
Human,education,4
Human,event,4
AI,invest,4
AI,pros,4
AI,dorm,4
AI,flow,4
AI,maintenance,4
AI,lake,4
AI,reuse,4
Human,rain,4
Human,options,4
AI,committee,4
AI,understanding,4
AI,integrate,4
AI,real,4
AI,guest,4
AI,alternatives,4
AI,portion,4
AI,control,4
AI,serve,4
AI,donation,4
Human,funding,4
Human,donating,4
Human,swipe,4
Human,cost,4
Human,trash,4
Human,provide,4
Human,dorms,4
Human,share,4
AI,raising,4
AI,drives,4
AI,propose,4
AI,vendors,4
AI,plants,4
AI,stormwater,4
Human,etc,4
AI,allowing,4
AI,actively,4
AI,related,4
AI,soil,4
AI,eating,4
AI,introduce,4
AI,take,4
AI,produce,4
AI,farming,4
AI,insulation,4
AI,comprehensive,4
Human,information,4
