rank,src,condition,token
3,Human,Miro,events
3,Human,Miro,reducing
3,Human,Miro,waste
3,Human,Miro,5
3,Human,Miro,0
3,Human,Miro,given
3,Human,Miro,each
3,Human,Miro,res
3,Human,Miro,hall
3,Human,Miro,seminars
3,Human,Miro,food
3,Human,Miro,events
3,Human,Miro,recycling
3,Human,Miro,bins
3,Human,Miro,organized
3,Human,Miro,clothes
3,Human,Miro,closets
3,Human,Miro,in
3,Human,Miro,dorms
3,Human,Miro,electronic
3,Human,Miro,library
3,Human,Miro,reduced
3,Human,Miro,electricity
3,Human,Miro,usage
3,Human,Miro,green
3,Human,Miro,utensils
3,Human,Miro,recycled
3,Human,Miro,less
3,Human,Miro,sprinklers
3,Human,Miro,more
3,Human,Miro,loco
3,Human,Miro,expand
3,Human,Miro,on
3,Human,Miro,bike
3,Human,Miro,share
3,Human,Miro,program
3,Human,Miro,more
3,Human,Miro,accessible
3,Human,Miro,planting
3,Human,Miro,trees
3,Human,Miro,events
1,AI,Miro,renewable
1,AI,Miro,energy
1,AI,Miro,projects
1,AI,Miro,investing
1,AI,Miro,in
1,AI,Miro,solar
1,AI,Miro,panels
1,AI,Miro,or
1,AI,Miro,wind
1,AI,Miro,turbines
1,AI,Miro,generate
1,AI,Miro,clean
1,AI,Miro,energy
1,AI,Miro,for
1,AI,Miro,campus
1,AI,Miro,buildings
2,Human,Miro,expand
2,Human,Miro,on
2,Human,Miro,bike
2,Human,Miro,share
2,Human,Miro,program
2,Human,Miro,more
2,Human,Miro,accessible
3,AI,Miro,community
3,AI,Miro,gardens
3,AI,Miro,creating
3,AI,Miro,spaces
3,AI,Miro,for
3,AI,Miro,students
3,AI,Miro,grow
3,AI,Miro,their
3,AI,Miro,own
3,AI,Miro,food
3,AI,Miro,fostering
3,AI,Miro,sense
3,AI,Miro,community
3,AI,Miro,promoting
3,AI,Miro,sustainable
3,AI,Miro,agriculture
3,AI,Miro,green
3,AI,Miro,building
3,AI,Miro,upgrades
3,AI,Miro,retrofitting
3,AI,Miro,existing
3,AI,Miro,buildings
3,AI,Miro,with
3,AI,Miro,energy
3,AI,Miro,efficient
3,AI,Miro,systems
3,AI,Miro,such
3,AI,Miro,as
3,AI,Miro,led
3,AI,Miro,lighting
3,AI,Miro,smart
3,AI,Miro,thermostats
3,AI,Miro,low
3,AI,Miro,flow
3,AI,Miro,water
3,AI,Miro,fixtures
3,AI,Miro,environmental
3,AI,Miro,education
3,AI,Miro,programs
3,AI,Miro,organizing
3,AI,Miro,workshops
3,AI,Miro,seminars
3,AI,Miro,guest
3,AI,Miro,lectures
3,AI,Miro,educate
3,AI,Miro,students
3,AI,Miro,about
3,AI,Miro,sustainability
3,AI,Miro,environmental
3,AI,Miro,issues
3,AI,Miro,water
3,AI,Miro,conservation
3,AI,Miro,initiatives
3,AI,Miro,installing
3,AI,Miro,rainwater
3,AI,Miro,harvesting
