element_name,element
0610007P14RIK,0610007P14RIK
0610009B22RIK,0610009B22RIK
0610009L18RIK,0610009L18RIK
0610009O20RIK,0610009O20RIK
0610010F05RIK,0610010F05RIK
0610010K14RIK,0610010K14RIK
0610011F06RIK,0610011F06RIK
0610030E20RIK,0610030E20RIK
0610037L13RIK,0610037L13RIK
0610040J01RIK,0610040J01RIK
1110001J03RIK,1110001J03RIK
1110004E09RIK,1110004E09RIK
1110004F10RIK,1110004F10RIK
1110007C09RIK,1110007C09RIK
1110008F13RIK,1110008F13RIK
1110008L16RIK,1110008L16RIK
1110008P14RIK,1110008P14RIK
1110012L19RIK,1110012L19RIK
1110017D15RIK,1110017D15RIK
1110032A03RIK,1110032A03RIK
1110032F04RIK,1110032F04RIK
1110034G24RIK,1110034G24RIK
1110037F02RIK,1110037F02RIK
1110038F14RIK,1110038F14RIK
1110051M20RIK,1110051M20RIK
1110057K04RIK,1110057K04RIK
1110059E24RIK,1110059E24RIK
1110059G10RIK,1110059G10RIK
1110065P20RIK,1110065P20RIK
1190002N15RIK,1190002N15RIK
1190003K10RIK,1190003K10RIK
1190005I06RIK,1190005I06RIK
1190007I07RIK,1190007I07RIK
1200014J11RIK,1200014J11RIK
1300017J02RIK,1300017J02RIK
1500009C09RIK,1500009C09RIK
1500009L16RIK,1500009L16RIK
1500011B03RIK,1500011B03RIK
1500011K16RIK,1500011K16RIK
1500012F01RIK,1500012F01RIK
1500015O10RIK,1500015O10RIK
1600002H07RIK,1600002H07RIK
1600002K03RIK,1600002K03RIK
1600012H06RIK,1600012H06RIK
1600014C10RIK,1600014C10RIK
1600014C23RIK,1600014C23RIK
1600015I10RIK,1600015I10RIK
1700001C02RIK,1700001C02RIK
1700001C19RIK,1700001C19RIK
1700001J03RIK,1700001J03RIK
1700001K19RIK,1700001K19RIK
1700001L19RIK,1700001L19RIK
1700001O22RIK,1700001O22RIK
1700001P01RIK,1700001P01RIK
1700003E16RIK,1700003E16RIK
1700003F12RIK,1700003F12RIK
1700003H04RIK,1700003H04RIK
1700003M02RIK,1700003M02RIK
1700006A11RIK,1700006A11RIK
1700006E09RIK,1700006E09RIK
1700007G11RIK,1700007G11RIK
1700007K09RIK,1700007K09RIK
1700007K13RIK,1700007K13RIK
1700008F21RIK,1700008F21RIK
1700008O03RIK,1700008O03RIK
1700008P02RIK,1700008P02RIK
1700009N14RIK,1700009N14RIK
1700010B08RIK,1700010B08RIK
1700010I14RIK,1700010I14RIK
1700011E24RIK,1700011E24RIK
1700011H14RIK,1700011H14RIK
1700011I03RIK,1700011I03RIK
1700012A03RIK,1700012A03RIK
1700012B07RIK,1700012B07RIK
1700012B09RIK,1700012B09RIK
1700012L04RIK,1700012L04RIK
1700013D24RIK,1700013D24RIK
