,element,global_weight
0,PPIA,0.011365240255189615
1,RPL41,0.0091122264017092
2,EEF1A1,0.008066683275241175
3,RPLP1,0.007706359653346749
4,RPLP0,0.006542906923134227
5,RPS2,0.006442941128857611
6,LDHA,0.005995480575204137
7,ACTB,0.005947425375225166
8,RPS4X,0.005748227284777193
9,RPS8,0.00556340807341079
10,HSPA8,0.005406956219752865
11,NPM1,0.005316996643811174
12,RPL23A,0.004909457391673685
13,RPS5,0.00482836576459752
14,RPL19,0.004797272460500939
15,GM20594,0.004746274617280505
16,RPS26,0.0045276300621343675
17,RPL13,0.004507090109832952
18,RPS18,0.0044264157988457235
19,RPS11,0.0042799087510557755
20,RPS13,0.004246619130499442
21,MIF,0.004220832649599932
22,RPL4,0.004173667397127252
23,RPS19,0.004139890339224418
24,ACTG1,0.004112398771947088
25,RPL6,0.004105573448559203
26,RPL8,0.004094831738879503
27,RPL9,0.004019540181357247
28,RPL32,0.003921594026657084
29,RPL3,0.00391924750312918
30,TUBA1B,0.003906442566564541
31,RPL10,0.003897930802490402
32,RPS17,0.0038189123114563055
33,RPS12,0.003806771932947535
34,RPS14,0.003802722627168698
35,RPS16,0.0037495291910735105
36,RPL12,0.0037023259982402494
37,RPL35,0.0036637064242601523
38,RPS3A1,0.0035894795970991705
39,RPS9,0.003558872821027758
40,RPS23,0.0035182819609100727
41,HSP90AB1,0.0034567946532306198
42,RPL7,0.00343900229502109
43,RPSA,0.0034187894973047206
44,UBB,0.0034011556269162597
45,RPL39,0.0032805549709692783
46,RPS27,0.00327736183257314
47,UBA52,0.0032707828315745274
48,PTMA,0.003222628269909486
49,RPS24,0.003194304577029992
50,PKM,0.00311376576803433
51,RPL26,0.0030951145296239024
52,ENO1,0.0029864882746894078
53,RPLP2,0.002951315867191465
54,RPS28,0.00292569695185399
55,RPS25,0.002908192033209042
56,RPS15,0.0028898536035378594
57,RPL11,0.00285451977893339
58,RPL18A,0.0028125699815381125
59,EEF2,0.0028066220203125805
60,RPS10,0.0027713891705100253
61,FAU,0.0027609634407447623
62,RPS20,0.002731799786368105
63,RPL7A,0.00272716402304296
64,RPL29,0.002687182501370362
65,CFL1,0.0026561490378281985
66,RPL10A,0.0026524175910606186
67,RPL35A,0.0026116039315940897
68,RPL13A,0.0026081259241602876
69,GAPDH,0.0025989224727111376
70,RPL5,0.0025911783549034564
71,SLC25A5,0.002575997514296891
72,IL17F,0.002568896965151057
73,PFN1,0.00256846527231556
74,TPT1,0.002561165419273516
75,RPS29,0.0024555403875072307
76,RPL34,0.002414048005677131
77,GNB2L1,0.002365407538525509
78,ATP5B,0.0022954878341354197
79,IL2,0.002265640826140564
80,RPL17,0.0022167340898032514
81,EEF1G,0.002205950246145398
82,TMSB4X,0.0021933107009322926
83,HNRNPA1,0.0021859809157885176
84,RPL18,0.0021472409187183704
85,ALDOA,0.002067981770792017
86,RPL27,0.0020076057084151247
87,RPL36A,0.001962222975222313
88,RPL28,0.0019613547780954446
89,RPL36,0.0019433188510437152
90,EIF5A,0.0019305798949319868
91,RPL37A,0.0019237989542428171
92,RPL38,0.0019210528988527077
93,RPS3,0.0019200643541453794
94,RPL30,0.0018409655027485379
95,FTL1,0.0018215066191913623
96,TUBB5,0.0017465417572106923
97,CHCHD2,0.0017319230181995105
98,SOD1,0.001686441727368782
99,TMSB10,0.0016655705600282429
100,RAN,0.0016088733220832594
101,B2M,0.0015785781147448056
102,TPI1,0.001530265064047101
103,PGAM1,0.0015190332876704577
104,NME2,0.0015048950359645087
105,RPS27L,0.0014616813703439723
106,HSPD1,0.0014310905168791678
107,SLC25A3,0.0013964586782064475
108,BTF3,0.0013875055642425006
109,NACA,0.001382315984603025
110,H3F3B,0.001379887417929131
111,ERH,0.001377740560078348
112,PGK1,0.001372661161731046
113,NDUFA4,0.0013383991897441057
114,RPL24,0.0013194874242195133
115,SUMO2,0.0012979715237860952
116,HNRNPF,0.0012834357840423227
117,FTH1,0.00128003195244949
118,PRDX1,0.001265366031005718
119,SNRPB,0.0012596788369737904
120,ATP5A1,0.0012483524029753906
121,SNRPG,0.001222160912092627
122,COX8A,0.0011911940939235818
123,RPL14,0.001150507387450452
124,EEF1B2,0.0011441744980460438
125,HSPE1,0.0011424102631581712
126,SNRPE,0.0011415279227512522
127,MYL6,0.0011342520038225084
128,PRELID1,0.001133518688016424
129,CNBP,0.0011271540034232
130,HIST1H2AP,0.0011245990703265911
131,HMGB2,0.0011238570601386367
132,PSMA3,0.0011154498243045102
133,RPL36AL,0.0011144319091770237
134,RPL27A,0.0011114549661010529
135,H2-D1,0.001110806807640845
136,TXN1,0.0010967282856956095
137,RPS21,0.0010962075957510363
138,CCT5,0.0010764031286151885
139,RPS7,0.0010674997997326796
140,TUBB4B,0.0010607891164826503
141,RANBP1,0.0010585393703473561
142,CORO1A,0.0010537998870743844
143,OAZ1,0.0010362018262089097
144,CHURC1,0.0010350149117331969
145,PPP1CA,0.0010349862802180177
146,NME1,0.0010311463611672148
147,H3F3A,0.0010310638148971838
148,NCL,0.001012411245413602
149,HIST1H2AO,0.0010023991911819496
150,ATP5D,0.0009962014922703915
151,UBC,0.000989708537963773
152,PSMA2,0.0009877521300967439
153,H2-K1,0.0009809157191689232
154,COX6A1,0.0009649725946768582
155,TPM3,0.0009403811285281358
156,COX6B1,0.0009394444664722197
157,CCT8,0.0009356615161408705
158,PSMA7,0.0009354621768249851
159,SRGN,0.0009192281928779775
