,document,element,frequency_in_document
0,A1,RPS2,-0.0010920941347624593
1,A2,RPS2,-0.0001981266362907682
2,A3,RPS2,-6.401215534253084e-05
3,A4,RPS2,-3.910841633949976e-05
4,A5,RPS2,-0.00010094788351053567
5,A6,RPS2,-0.00021231703937254955
6,A7,RPS2,-0.00013945083783789938
7,A8,RPS2,-7.357901207525263e-05
8,B1,RPS2,-0.000272522326901589
9,B3,RPS2,4.9690925774558325e-06
10,B4,RPS2,3.4670966390277526e-06
11,B6,RPS2,-2.6939515740274944e-05
12,B7,RPS2,-1.3113630067298988e-05
13,C1,RPS2,-2.4044156096358796e-05
14,C2,RPS2,7.560140945484808e-05
15,C3,RPS2,9.670327596615787e-05
16,C4,RPS2,0.00011226418213449449
17,C5,RPS2,6.958211864874578e-05
18,C6,RPS2,3.3884271417937797e-06
19,C7,RPS2,7.797272644833014e-06
20,C8,RPS2,1.1505881588457352e-05
21,D1,RPS2,-1.1331704825477446e-05
22,D2,RPS2,7.507153293897552e-05
23,D3,RPS2,7.878010318740521e-05
24,D4,RPS2,0.00011332530430606142
25,D5,RPS2,8.421959399367788e-05
26,D6,RPS2,2.016945653885745e-05
27,D7,RPS2,2.9821083772182792e-05
28,D8,RPS2,1.801783709218859e-05
29,E1,RPS2,-4.0697172888298154e-05
30,E2,RPS2,2.236411137087653e-05
31,E3,RPS2,4.519951414522688e-05
32,E4,RPS2,2.569214830073108e-05
33,E7,RPS2,1.9428310559248176e-05
34,F1,RPS2,-0.0002650449001559699
35,F3,RPS2,2.5220919731273352e-05
36,F4,RPS2,1.3296437504008217e-05
37,F5,RPS2,2.0527297985851924e-05
38,A1,IL9,-0.0002992022625896912
39,A2,IL9,-0.00030933161711455557
40,A3,IL9,-0.0002996095871716839
41,A4,IL9,-0.0003068634243585962
42,A5,IL9,-0.00031002857358757
43,A6,IL9,-0.00029058246488562723
44,A7,IL9,-0.0002976499908024568
45,A8,IL9,-0.0003028061261505869
46,B1,IL9,-0.00031178332160249045
47,B2,IL9,-0.0002545278161805006
48,B3,IL9,-0.0002793107816671657
49,B4,IL9,-0.00026754177516781963
50,B5,IL9,-0.00026744296816855857
51,B6,IL9,-0.00024252476279501203
52,B7,IL9,-0.00022375907195660183
53,B8,IL9,-0.0002673658107381402
54,C1,IL9,-0.0003087614018670749
55,C2,IL9,-0.0003194841267196807
56,C3,IL9,-0.0003170941216357075
57,C4,IL9,-0.0003113306838267412
58,C5,IL9,-0.000318993029376273
59,C6,IL9,-0.0003191798556167768
60,C7,IL9,-0.00031549871357533754
61,C8,IL9,-0.0003126938934461224
62,D1,IL9,-0.0003009998898944484
63,D2,IL9,-0.0003172637497784579
64,D3,IL9,-0.00032144930309069584
65,D4,IL9,-0.00032132801250032197
66,D5,IL9,-0.00031534458839269476
67,D6,IL9,-0.0003196461314958778
68,D7,IL9,-0.0003242812888231916
69,D8,IL9,-0.00031497544233804564
70,E1,IL9,0.00016158167521002184
71,E2,IL9,0.0001699771938024895
72,E3,IL9,0.0002948651071065135
73,E4,IL9,8.672348745019978e-05
74,E7,IL9,3.202430122275253e-05
75,F1,IL9,0.0003082322743170029
76,F2,IL9,0.0006245377972080022
77,F3,IL9,0.0008320980015299621
78,F4,IL9,0.000596135733105495
79,F5,IL9,0.0006103994559891287
80,F6,IL9,0.00023184956321206722
81,F7,IL9,9.84990654028601e-05
82,F8,IL9,0.0005487722710417629
83,A1,LTA,-0.00010699782286061914
84,A2,LTA,-0.00011591368178156154
85,A3,LTA,-0.00013455378472114485
86,A4,LTA,-0.00011761541344553018
87,A5,LTA,-0.00011096882265087635
88,A6,LTA,-8.858011213315256e-05
89,A7,LTA,-7.130544199696538e-05
90,A8,LTA,-8.621548042920528e-05
91,B1,LTA,-0.00010504007711489757
92,B2,LTA,-0.00011869017627584641
93,B3,LTA,-0.0001131265723345946
94,B4,LTA,-9.886698803097557e-05
95,B5,LTA,-0.00011918726853447853
96,B6,LTA,-7.790519316737736e-05
97,B7,LTA,-6.563555206728783e-05
98,B8,LTA,-7.935619483690304e-05
99,C1,LTA,-0.00010998856913292595
100,C2,LTA,-0.00011252741888688273
101,C3,LTA,-0.00012839871037076395
102,C4,LTA,-0.00012370335071908072
103,C5,LTA,-0.00012731617518645948
104,C6,LTA,-6.766337343181553e-05
105,C7,LTA,-7.08137788375185e-05
106,C8,LTA,-7.843174560454236e-05
107,D1,LTA,-0.00011612774147356112
108,D2,LTA,-0.00013160235133327636
109,D3,LTA,-0.00012946428398621622
110,D4,LTA,-0.00012970910161643606
111,D5,LTA,-0.0001437921233637879
112,D6,LTA,-8.997362075888088e-05
113,D7,LTA,-7.120547810094347e-05
114,D8,LTA,-8.947059070074779e-05
115,E1,LTA,6.22506179816373e-05
116,E2,LTA,0.0001686648080899654
117,E3,LTA,0.00013973182186621962
118,E4,LTA,7.081768290927328e-05
119,E7,LTA,0.00010129471330550584
120,F1,LTA,0.00019175763058320824
121,F2,LTA,0.00027688771890829934
122,F3,LTA,0.00027985624175219935
123,F4,LTA,0.00028119809026608896
124,F5,LTA,0.00018265474134740223
125,F6,LTA,0.0001846329964628306
126,F7,LTA,0.00018434693937716536
127,F8,LTA,0.0002884463716328794
128,A1,LSM4,-8.639833091748574e-05
129,A2,LSM4,-1.3278705897453762e-05
130,A3,LSM4,-2.4210064766550237e-06
131,A5,LSM4,-7.823948150493986e-06
132,A6,LSM4,-5.778025684497543e-06
133,A7,LSM4,-5.981518700964737e-06
134,A8,LSM4,-5.024578189165909e-06
135,B1,LSM4,-2.0783620559569077e-05
136,D4,LSM4,7.176776654448233e-06
137,E3,LSM4,9.110624703643415e-06
138,E7,LSM4,1.0826111634078332e-05
139,F1,LSM4,-2.0341189090900097e-05
140,A1,SRM,-8.548894536710128e-05
141,A2,SRM,-2.8479632248198724e-05
142,A3,SRM,-1.0400306245476185e-05
143,A4,SRM,-1.0258690097911882e-05
144,A5,SRM,-1.4643962702627077e-05
145,A6,SRM,-2.2066683669692407e-05
146,A7,SRM,-1.523697132279932e-05
147,A8,SRM,-4.636276557929858e-06
148,B1,SRM,-3.364194611783303e-05
149,C1,SRM,-7.129725294414953e-06
150,C2,SRM,9.703464207337593e-06
151,C3,SRM,3.8386590050004145e-05
152,C4,SRM,2.537893999007788e-05
153,C5,SRM,1.2949500488563205e-05
154,C8,SRM,5.48605656682623e-06
155,D2,SRM,1.6825688916434007e-05
156,D3,SRM,4.5692343418805934e-05
157,D4,SRM,3.61302664062342e-05
158,D5,SRM,2.1676730615037302e-05
159,D6,SRM,5.0969233925731995e-06
160,E1,SRM,-3.6316907757896747e-05
161,F1,SRM,-5.6756285419360154e-05
162,F2,SRM,-7.341002640999171e-06
163,A1,EIF3F,-8.392696845773684e-05
164,A2,EIF3F,-1.793718539443948e-05
