element,frequency_in_document
0610007P14RIK,0.009042794261435144
0610009B22RIK,0.0018342130995299087
0610009L18RIK,4.232056069409045e-05
0610009O20RIK,0.0011932066553890387
0610010F05RIK,0.00031679115267022707
0610010K14RIK,0.004115756371605929
0610011F06RIK,0.004939940392381586
0610030E20RIK,0.0005087330068065047
0610037L13RIK,0.001573636421803814
0610040J01RIK,1.1502416323999711e-06
1110001J03RIK,0.00278512398624905
1110004E09RIK,0.0036174951235572847
1110004F10RIK,0.011656515100681586
1110007C09RIK,0.0019317949287476492
1110008F13RIK,0.0022810102767975866
1110008L16RIK,0.0006909416112283999
1110008P14RIK,0.003127342463430129
1110012L19RIK,0.0013920606768895753
1110017D15RIK,3.5254438975460708e-06
1110032A03RIK,0.00017454734517713527
1110032F04RIK,0.0004245701245597444
1110034G24RIK,2.80022140348266e-06
1110037F02RIK,0.0007639280601739495
1110038F14RIK,0.0027297169701165427
1110051M20RIK,0.0005007954644240863
1110057K04RIK,0.00182498819030284
1110059E24RIK,0.004326489773826715
1110059G10RIK,0.0004106574864546128
1110065P20RIK,0.0007596867465443824
1190002N15RIK,0.00021542201622516672
1190003K10RIK,9.177499447791301e-08
1190005I06RIK,0.0001041225340823912
1190007I07RIK,0.0024287657148846886
1200014J11RIK,0.0011620749750120014
1300017J02RIK,1.4047848753506436e-06
1500009C09RIK,4.0492657585661266e-07
1500009L16RIK,8.175799378789721e-05
1500011B03RIK,0.0015263373938243325
1500011K16RIK,0.0014451123598449704
1500012F01RIK,0.01190837410720948
1500015O10RIK,3.7217396875671275e-06
1600002H07RIK,0.0006622567488186633
1600002K03RIK,0.002837597292706329
1600012H06RIK,0.0006353498365116219
1600014C10RIK,0.001968533317984368
1600014C23RIK,2.088456073419724e-06
1600015I10RIK,5.607228409083863e-07
1700001C02RIK,1.1106610345144611e-07
1700001C19RIK,2.0561209612778336e-05
1700001J03RIK,5.605840104834665e-06
1700001K19RIK,5.104485118973076e-06
1700001L19RIK,3.67447480758449e-07
1700001O22RIK,0.00011266812358961672
1700001P01RIK,1.3159020233072468e-05
1700003E16RIK,4.877289290006293e-06
1700003F12RIK,1.0301580927115511e-05
1700003H04RIK,1.477850908259772e-07
1700003M02RIK,1.2222107856993587e-07
1700006A11RIK,2.1959010467187482e-07
