sample,strain,condition,differentiation
A1,WT1,ctrl,Th17p
A5,WT2,ctrl,Th17p
B1,WT1,ctrl,Th17n
B5,WT2,ctrl,Th17n
C1,WT1,ctrl,iTreg
C5,WT2,ctrl,iTreg
D1,WT3,ctrl,Th17p
D5,WT4,ctrl,Th17p
E1,WT3,ctrl,Th17n
E5,WT4,ctrl,Th17n
F1,WT3,ctrl,iTreg
F5,WT4,ctrl,iTreg
A2,JMJD3CKO1,ctrl,Th17p
A6,JMJD3CKO2,ctrl,Th17p
B2,JMJD3CKO1,ctrl,Th17n
B6,JMJD3CKO2,ctrl,Th17n
C2,JMJD3CKO1,ctrl,iTreg
C6,JMJD3CKO2,ctrl,iTreg
D2,JMJD3CKO3,ctrl,Th17p
D6,JMJD3CKO4,ctrl,Th17p
E2,JMJD3CKO3,ctrl,Th17n
E6,JMJD3CKO4,ctrl,Th17n
F2,JMJD3CKO3,ctrl,iTreg
F6,JMJD3CKO4,ctrl,iTreg
A3,WT1,DFMO,Th17p
A7,WT2,DFMO,Th17p
B3,WT1,DFMO,Th17n
B7,WT2,DFMO,Th17n
C3,WT1,DFMO,iTreg
C7,WT2,DFMO,iTreg
D3,WT3,DFMO,Th17p
D7,WT4,DFMO,Th17p
E3,WT3,DFMO,Th17n
E7,WT4,DFMO,Th17n
F3,WT3,DFMO,iTreg
F7,WT4,DFMO,iTreg
A4,JMJD3CKO1,DFMO,Th17p
A8,JMJD3CKO2,DFMO,Th17p
B4,JMJD3CKO1,DFMO,Th17n
B8,JMJD3CKO2,DFMO,Th17n
C4,JMJD3CKO1,DFMO,iTreg
C8,JMJD3CKO2,DFMO,iTreg
D4,JMJD3CKO3,DFMO,Th17p
D8,JMJD3CKO4,DFMO,Th17p
E4,JMJD3CKO3,DFMO,Th17n
E8,JMJD3CKO4,DFMO,Th17n
F4,JMJD3CKO3,DFMO,iTreg
F8,JMJD3CKO4,DFMO,iTreg
