Corpus 1,Corpus 2,value
A1,A1,0.0
A2,A1,0.32906319554079866
A3,A1,0.37744411307072634
A4,A1,0.38718343406598343
A5,A1,0.3631065605190997
A6,A1,0.3425492210736867
A7,A1,0.3567845620507447
A8,A1,0.3756960444571824
B1,A1,0.30330741778474296
B2,A1,0.402685969872307
B3,A1,0.4034950618775817
B4,A1,0.40371884565454325
B5,A1,0.40146745272349516
B6,A1,0.39318157297086515
B7,A1,0.3981951597531071
B8,A1,0.40192055599721616
C1,A1,0.5640979086209561
C2,A1,0.5676749285585538
C3,A1,0.6149558496327784
C4,A1,0.5988547106856097
C5,A1,0.5730353986023901
C6,A1,0.5008797540344626
C7,A1,0.5153895097100084
C8,A1,0.5414745307659798
D1,A1,0.5497999315357452
D2,A1,0.6107015208268878
D3,A1,0.6043641443921876
D4,A1,0.5674286384352324
D5,A1,0.5641537692775763
D6,A1,0.5588037242235734
D7,A1,0.5475777789671165
D8,A1,0.5056669677387333
E1,A1,0.5640597561880796
E2,A1,0.575902364060086
E3,A1,0.5473450680662276
E4,A1,0.5732082632284375
E7,A1,0.5482110060705079
F1,A1,0.6635217904698147
F2,A1,0.7365010896996635
F3,A1,0.7669788242938801
F4,A1,0.6796140347319255
F5,A1,0.6893377736248238
F6,A1,0.5895654814217909
F7,A1,0.5838642873694592
F8,A1,0.6363231466863147
A2,A2,0.0
A3,A2,0.05961712159684742
A4,A2,0.06839871388939833
A5,A2,0.04904810347047535
A6,A2,0.12535685968407034
A7,A2,0.0899324291779185
A8,A2,0.0791390579031252
B1,A2,0.0528044350166585
B2,A2,0.09025623053764671
B3,A2,0.08948455954256965
B4,A2,0.0914336656810738
B5,A2,0.08663797189776973
B6,A2,0.09276720987269121
B7,A2,0.09445306453477972
B8,A2,0.09952962465283066
C1,A2,0.4319156220690418
C2,A2,0.40172699835463216
C3,A2,0.46507729668351105
C4,A2,0.43820540660600427
C5,A2,0.4148150255267197
C6,A2,0.3148787003395073
C7,A2,0.33667443987017837
C8,A2,0.3757506387029365
D1,A2,0.40909795985266795
D2,A2,0.46170771164649343
D3,A2,0.4559937404222835
D4,A2,0.387362848876831
D5,A2,0.39502029648009984
D6,A2,0.39546419242160535
D7,A2,0.37642222671226266
D8,A2,0.3190862095698349
E1,A2,0.4085539336721308
E2,A2,0.4047677947509625
E3,A2,0.36032909075093267
E4,A2,0.39947203946894283
E7,A2,0.3657230816610137
F1,A2,0.5857050046976029
F2,A2,0.6173213008615059
F3,A2,0.6505801696633811
F4,A2,0.545781218892423
F5,A2,0.5556214907063843
F6,A2,0.4309870753797491
F7,A2,0.4217709510430802
F8,A2,0.4960558439423222
A3,A3,0.0
A4,A3,0.04147983074263966
A5,A3,0.031044296338804334
A6,A3,0.13257516006266268
A7,A3,0.09218116044954269
A8,A3,0.06618968139696613
B1,A3,0.08581110140672693
B2,A3,0.06336536758254904
B3,A3,0.05051146888057011
B4,A3,0.059090662414469586
B5,A3,0.05194148063845316
B6,A3,0.0654835339921647
B7,A3,0.07147782793653101
B8,A3,0.07008750012180101
C1,A3,0.4317961469083362
C2,A3,0.3943319591937315
C3,A3,0.4598308696368338
C4,A3,0.43142383461827694
C5,A3,0.4088416876774923
C6,A3,0.3033001946816036
C7,A3,0.32501405569069525
C8,A3,0.3649738196693423
D1,A3,0.4070589611803986
D2,A3,0.45403754581395595
D3,A3,0.45013329294555987
D4,A3,0.37644335944553026
D5,A3,0.38601149114346817
D6,A3,0.38404976683658115
D7,A3,0.3646483921267696
D8,A3,0.30466467116533524
E1,A3,0.39496730919808776
E2,A3,0.38991719511363965
E3,A3,0.3445946521804842
E4,A3,0.38177529938339355
E7,A3,0.3490750258704909
F1,A3,0.5866162545109086
F2,A3,0.6109369634276606
F3,A3,0.6439738078872577
F4,A3,0.5369313740612526
F5,A3,0.5455374524618312
F6,A3,0.419473321899148
F7,A3,0.4105941845435549
F8,A3,0.4867030292453716
A4,A4,0.0
A5,A4,0.04452869332160484
A6,A4,0.13546322446605924
A7,A4,0.0905791295809668
A8,A4,0.06636294609575873
B1,A4,0.09963906487478857
B2,A4,0.0580887757870216
B3,A4,0.05245278614463592
B4,A4,0.04872051853569615
B5,A4,0.04757399463098542
B6,A4,0.06602533970591784
B7,A4,0.06772537457913425
B8,A4,0.06647245085367653
C1,A4,0.4247342780312079
C2,A4,0.38907897151985577
C3,A4,0.4525203514514569
C4,A4,0.42506742234371975
C5,A4,0.40238404832073704
C6,A4,0.29918492574064676
C7,A4,0.32143237514248135
C8,A4,0.36056059855765615
D1,A4,0.39964014961911476
D2,A4,0.4481476102415838
D3,A4,0.44254217521976463
D4,A4,0.3710142511609373
D5,A4,0.3802213141409216
D6,A4,0.3805122668152902
D7,A4,0.3612994654121328
D8,A4,0.3023037890721979
E1,A4,0.40546333758295494
E2,A4,0.39922640501405393
E3,A4,0.3521108064448062
E4,A4,0.3920546320080587
E7,A4,0.35953359579532435
F1,A4,0.5966871228787226
F2,A4,0.6182483024747736
F3,A4,0.6504943809453396
F4,A4,0.5445617864682365
F5,A4,0.5539902039848014
F6,A4,0.4282431896162671
F7,A4,0.42063942191367315
F8,A4,0.4942787179266943
A5,A5,0.0
A6,A5,0.12700054763007698
A7,A5,0.08509314285364915
A8,A5,0.06146106888012926
B1,A5,0.07740696726414921
B2,A5,0.07058207410567034
B3,A5,0.061673076590979904
B4,A5,0.0669491622619973
B5,A5,0.05837667243140396
B6,A5,0.06887917800089162
B7,A5,0.07401193324784545
B8,A5,0.07247479150357318
C1,A5,0.4261055675329163
C2,A5,0.39311877475644896
C3,A5,0.4566029624292455
C4,A5,0.4291014184051733
C5,A5,0.40559048448862484
C6,A5,0.30369704696402716
C7,A5,0.3259771459736363
C8,A5,0.36552179235038595
D1,A5,0.40152632486348694
D2,A5,0.45288852338772817
D3,A5,0.4464968399093708
D4,A5,0.37661607739560077
D5,A5,0.38420989532096367
D6,A5,0.38545902562157736
D7,A5,0.3661219784561592
D8,A5,0.3055995963928797
E1,A5,0.40305950897215864
E2,A5,0.39893263144289554
E3,A5,0.35246129374618024
E4,A5,0.39221778321070777
E7,A5,0.3592387962082667
F1,A5,0.5892073134880339
F2,A5,0.6159916733090992
F3,A5,0.6484875950828385
F4,A5,0.5431734438092257
F5,A5,0.5523504372755028
F6,A5,0.4269240383658865
F7,A5,0.41840118928660747
F8,A5,0.49244440573126624
A6,A6,0.0
A7,A6,0.058730856315059816
A8,A6,0.11124428946206567
B1,A6,0.13252867765122378
B2,A6,0.15902526284475263
B3,A6,0.14862608801653668
B4,A6,0.14869023350144936
B5,A6,0.15129961345184645
B6,A6,0.11322798118809041
B7,A6,0.14147345150833754
B8,A6,0.13867165541529425
C1,A6,0.37871841912635446
C2,A6,0.34012155602555044
C3,A6,0.4126675617637812
C4,A6,0.3926341633601747
C5,A6,0.35859231673534175
C6,A6,0.2087200854818951
C7,A6,0.230935329528207
C8,A6,0.26841145905016534
D1,A6,0.3482463577975537
D2,A6,0.3760246324705879
D3,A6,0.3965552556739153
D4,A6,0.31668320171884995
D5,A6,0.3223571927153635
D6,A6,0.28527934967881147
D7,A6,0.2692989491233489
D8,A6,0.21764903172367933
E1,A6,0.44107978407332454
E2,A6,0.4449205046758801
E3,A6,0.4044058384931667
E4,A6,0.42997207090880296
E7,A6,0.39488058840441465
F1,A6,0.6719219243598599
F2,A6,0.6945760260757811
F3,A6,0.7244935763476905
F4,A6,0.6106712360340282
F5,A6,0.6194951691739556
F6,A6,0.4809716043739118
F7,A6,0.48400857603114517
F8,A6,0.5472644392976161
A7,A7,0.0
A8,A7,0.06785912373353008
B1,A7,0.10701073654740315
B2,A7,0.11195448703220476
B3,A7,0.10347112301149346
B4,A7,0.10237517231100197
B5,A7,0.10555663365115825
B6,A7,0.06953669692454709
B7,A7,0.09279819026669549
B8,A7,0.0908111427287726
C1,A7,0.3810657336729247
C2,A7,0.3456475882908979
C3,A7,0.4134548491217367
C4,A7,0.39055242494303555
C5,A7,0.36089489647462764
C6,A7,0.24105115724148768
C7,A7,0.2633211656104277
C8,A7,0.3018123052505204
D1,A7,0.3526670898135355
D2,A7,0.3932201530287935
D3,A7,0.400173671183524
D4,A7,0.3249374297349502
D5,A7,0.33263532950854385
D6,A7,0.321127655242741
D7,A7,0.30299865307149326
D8,A7,0.24854018057411728
E1,A7,0.4310988472104069
E2,A7,0.4291161772784436
E3,A7,0.38448177944470846
E4,A7,0.4189522892912838
E7,A7,0.3834231168614139
F1,A7,0.6449728512163578
F2,A7,0.6656892345350177
F3,A7,0.6959834217095568
F4,A7,0.5853886145064778
F5,A7,0.596268838573247
F6,A7,0.46219714718916627
F7,A7,0.4614931276037472
F8,A7,0.5265955091842062
A8,A8,0.0
B1,A8,0.1040787099470333
B2,A8,0.08152204016879565
B3,A8,0.07610484441380165
B4,A8,0.07593224775286421
B5,A8,0.07433055282292664
B6,A8,0.058457309193676546
B7,A8,0.06380861945599792
B8,A8,0.06020422610227805
C1,A8,0.3986110597154919
C2,A8,0.3672917560239084
C3,A8,0.4298711128066108
C4,A8,0.40344948550073906
C5,A8,0.37917965803299075
C6,A8,0.28127910501010844
C7,A8,0.30535565609070353
C8,A8,0.3419148194765954
D1,A8,0.3745123119183511
D2,A8,0.42558638134241134
D3,A8,0.4205123680748774
D4,A8,0.3514829049245605
D5,A8,0.3583606966229156
D6,A8,0.3632266272494342
D7,A8,0.3447424187861074
D8,A8,0.28708990291815695
E1,A8,0.4269464412081967
E2,A8,0.42135353935452785
E3,A8,0.37085781917510935
E4,A8,0.41364114768037075
E7,A8,0.3787470745835637
F1,A8,0.6158894216034523
F2,A8,0.638002272502036
F3,A8,0.6681107003984029
F4,A8,0.5635885580447428
F5,A8,0.5740511052258231
F6,A8,0.44567002905571623
F7,A8,0.4411757070324352
F8,A8,0.5085708695365357
B1,B1,0.0
B2,B1,0.11246627721290924
B3,B1,0.10928117240560298
B4,B1,0.11124611199963481
B5,B1,0.10929653118952563
B6,B1,0.11219473535542589
B7,B1,0.11556375346903465
B8,B1,0.11864193441791482
C1,B1,0.4480049103189942
C2,B1,0.4178082446506341
C3,B1,0.4833174991141644
C4,B1,0.4561496551923931
C5,B1,0.4323533103310417
C6,B1,0.32716139410229494
C7,B1,0.3480893657459809
C8,B1,0.387315671708442
D1,B1,0.42492805247513843
D2,B1,0.4763389793638888
D3,B1,0.47355922624959035
D4,B1,0.40393561770704167
D5,B1,0.4122433458510839
D6,B1,0.40584813143086557
D7,B1,0.38828901768917384
D8,B1,0.33076686809918526
E1,B1,0.3990092734663277
E2,B1,0.3967595263930979
E3,B1,0.3575097050333782
E4,B1,0.3909344173370649
E7,B1,0.3579233767268717
F1,B1,0.573898395224952
F2,B1,0.6111937101890204
F3,B1,0.6463904712843221
F4,B1,0.5392116860964254
F5,B1,0.5487448553245167
F6,B1,0.4230360108444055
F7,B1,0.4132487316619147
F8,B1,0.4895664712306267
B2,B2,0.0
B3,B2,0.03869924579369728
B4,B2,0.033743387420348256
