Corpus 1,Corpus 2,value
A1,A1,0.0
A2,A1,0.0044864153703360575
A3,A1,0.005042988915357457
A4,A1,0.005288021626068498
A5,A1,0.004899287662084878
A6,A1,0.004726256517857959
A7,A1,0.004804644792150717
A8,A1,0.0049961698475781266
B1,A1,0.004128670436890546
B2,A1,0.005339668027922217
B3,A1,0.005463654697155951
B4,A1,0.005393414936785834
B5,A1,0.005374184815904471
B6,A1,0.005242514421598326
B7,A1,0.005303697548531829
B8,A1,0.005491928301112439
C1,A1,0.0077460481528228145
C2,A1,0.007719387475290037
C3,A1,0.00843425658882276
C4,A1,0.008179694216226588
C5,A1,0.007864537288450813
C6,A1,0.006778059441220613
C7,A1,0.007123958953591254
C8,A1,0.007644352616354916
D1,A1,0.007540379783778462
D2,A1,0.008329067143582112
D3,A1,0.008295987993655031
D4,A1,0.007709528592298101
D5,A1,0.007686975612293269
D6,A1,0.00759646365911284
D7,A1,0.007408967935610913
D8,A1,0.0069160212750805005
E1,A1,0.007485792356159077
E2,A1,0.007628226114011406
E3,A1,0.00727930281624929
E4,A1,0.007570130327800109
E5,A1,0.9987758141385079
E6,A1,0.00746402617796153
E7,A1,0.007243634858930883
E8,A1,0.007613964327492657
F1,A1,0.008996118161589432
F2,A1,0.009912601263958029
F3,A1,0.010331712441267668
F4,A1,0.00909407195638509
F5,A1,0.00917245226449273
F6,A1,0.007799056066105761
F7,A1,0.007734555716414604
F8,A1,0.008619246331239089
A2,A2,0.0
A3,A2,0.0008839652748138143
A4,A2,0.0009637961472740348
A5,A2,0.0007734667976666624
A6,A2,0.0018173504686309458
A7,A2,0.0012735694297140515
A8,A2,0.0014050751837688033
B1,A2,0.0019116983202193284
B2,A2,0.0017324908651407804
B3,A2,0.002382453050363761
B4,A2,0.002020053294974685
B5,A2,0.0020296407417861617
B6,A2,0.001777728653505986
B7,A2,0.0018758502945561647
B8,A2,0.0026347254022316916
C1,A2,0.006210370002768718
C2,A2,0.005603093799898657
C3,A2,0.0065776068680650735
C4,A2,0.006149544063049209
C5,A2,0.005995619519311727
C6,A2,0.004613089787494975
C7,A2,0.005231660688236789
C8,A2,0.006033402808707004
D1,A2,0.0059089124511194436
D2,A2,0.006424719951461917
D3,A2,0.00639587534710318
D4,A2,0.005480380366168611
D5,A2,0.005528537755372708
D6,A2,0.005401467679977622
D7,A2,0.005204787333082667
D8,A2,0.004827118924889743
E1,A2,0.005465128057913438
E2,A2,0.005418999591257381
E3,A2,0.004859589174668559
E4,A2,0.005333477223727373
E5,A2,0.9996874667854926
E6,A2,0.005153686204634844
E7,A2,0.004872106090460761
E8,A2,0.00566372327726774
F1,A2,0.008225855643584001
F2,A2,0.008578065831147542
F3,A2,0.008985196325395245
F4,A2,0.007544206601066874
F5,A2,0.007502250151579572
F6,A2,0.005806716330756473
F7,A2,0.005790641665758422
F8,A2,0.007100261958381859
A3,A3,0.0
A4,A3,0.0008934733366390707
A5,A3,0.0005483752230705164
A6,A3,0.0019564426154400384
A7,A3,0.001259971495348732
A8,A3,0.0010365092380964797
B1,A3,0.0017953314071798058
B2,A3,0.0012289877024941837
B3,A3,0.0018177824243122275
B4,A3,0.0014734798836216494
B5,A3,0.0014777776147244094
B6,A3,0.0012969541109482396
B7,A3,0.0013992087775128587
B8,A3,0.0021139140878519017
C1,A3,0.006124348133912452
C2,A3,0.005462468109693408
C3,A3,0.00644973821956203
C4,A3,0.006014097405060504
C5,A3,0.005824204154465733
C6,A3,0.004344125916771783
C7,A3,0.004925842220190192
C8,A3,0.005718008738504591
D1,A3,0.005797025666081567
D2,A3,0.006287226181458078
D3,A3,0.006290357742674812
D4,A3,0.005268766569803437
D5,A3,0.005372739919994634
D6,A3,0.005267545932471933
D7,A3,0.0050159428498157445
D8,A3,0.00450131731125239
E1,A3,0.005269265830902483
E2,A3,0.005196961238545451
E3,A3,0.00461957221244488
E4,A3,0.00506596311113572
E5,A3,0.9993467228287354
E6,A3,0.004922225743404328
E7,A3,0.004627579069524461
E8,A3,0.005382650626961721
F1,A3,0.00813551985460005
F2,A3,0.008412816252256632
F3,A3,0.008826463448811153
F4,A3,0.0073480307207436
F5,A3,0.0073308623264816
F6,A3,0.005608766326631484
F7,A3,0.0055720266215247664
F8,A3,0.006867006371104357
A4,A4,0.0
A5,A4,0.0008151443142588969
A6,A4,0.001970979739196819
A7,A4,0.0013732022074695945
A8,A4,0.0015173564387921592
B1,A4,0.002441633009595653
B2,A4,0.001741569076090544
B3,A4,0.002472495096293961
B4,A4,0.0020164930784204007
B5,A4,0.002047367094721972
B6,A4,0.0018200402581650483
B7,A4,0.0019155194998677837
B8,A4,0.0027078470579323445
C1,A4,0.006201723430508062
C2,A4,0.0054894403272605675
C3,A4,0.006475092962620394
C4,A4,0.006040792255104218
C5,A4,0.00592091547606147
C6,A4,0.004517402301660003
C7,A4,0.0051761334905367825
C8,A4,0.00599886368591714
D1,A4,0.005880293872590667
D2,A4,0.006284642605538253
D3,A4,0.006262971984891309
D4,A4,0.005357062080214536
D5,A4,0.0053898957921440765
D6,A4,0.0052005117297137075
D7,A4,0.0050323093025991155
D8,A4,0.004733149530571635
E1,A4,0.0054526345690231294
E2,A4,0.00538730237929718
E3,A4,0.004801908101280477
E4,A4,0.005281580294865799
E5,A4,1.0
E6,A4,0.005096522640040619
E7,A4,0.00483675095989944
E8,A4,0.00566893942119433
F1,A4,0.00844898574107576
F2,A4,0.008668481006976607
F3,A4,0.009049341263036
F4,A4,0.00760939207614359
F5,A4,0.007526019149339005
F6,A4,0.0058255857413360024
F7,A4,0.005856737529690102
F8,A4,0.0071727110012679025
A5,A5,0.0
A6,A5,0.001965799510408921
A7,A5,0.0012168255326673169
A8,A5,0.0011490813493417787
B1,A5,0.0018901180889478778
B2,A5,0.0014472493531947227
B3,A5,0.002085072671367722
B4,A5,0.0016996722708559743
B5,A5,0.001628276709002397
B6,A5,0.0015695945652087573
B7,A5,0.0015696119774545236
B8,A5,0.0022681347718680224
C1,A5,0.006101435441367667
C2,A5,0.005467584598152745
C3,A5,0.006438112332637203
C4,A5,0.006027403045559193
C5,A5,0.005816307406412807
C6,A5,0.004376247867404069
C7,A5,0.004972305038628382
C8,A5,0.005774885359539781
D1,A5,0.005786893964349094
D2,A5,0.006282770849019951
D3,A5,0.006267564416679918
D4,A5,0.005334670182550658
D5,A5,0.005386331170808141
D6,A5,0.005269638865354137
D7,A5,0.005020610417467924
D8,A5,0.0045372912762251
E1,A5,0.005361432531420138
E2,A5,0.005312085807046761
E3,A5,0.004730577173581972
E4,A5,0.005210799217288685
E5,A5,0.9996059266641238
E6,A5,0.005027503727638947
E7,A5,0.0047703805457214605
E8,A5,0.0054818577999039275
F1,A5,0.008204429527092653
F2,A5,0.008496136199172385
F3,A5,0.008895718229953201
F4,A5,0.007455988266191503
F5,A5,0.0074213064611234605
F6,A5,0.005711894677256286
F7,A5,0.005689954143097242
F8,A5,0.006955083257810665
A6,A6,0.0
A7,A6,0.0010569671478257128
A8,A6,0.0018974690651406812
B1,A6,0.0026880162062030174
B2,A6,0.002634944559322997
B3,A6,0.0029869496522853204
B4,A6,0.0027231382207726336
B5,A6,0.0028516502308468606
B6,A6,0.00197768186925085
B7,A6,0.0025182343861719025
B8,A6,0.003143658988174648
C1,A6,0.005596713689468126
C2,A6,0.004865161031632753
C3,A6,0.0059683900271951746
C4,A6,0.005583707661274374
C5,A6,0.005391232990347814
C6,A6,0.0034910961047584506
C7,A6,0.004230192853007947
C8,A6,0.005042440066930427
D1,A6,0.0051847489387597005
D2,A6,0.005367622547147266
D3,A6,0.005659040566638804
D4,A6,0.0045814680631364865
D5,A6,0.0046005226252599325
D6,A6,0.00395409691304245
D7,A6,0.003896051173923983
D8,A6,0.0038333443205489912
E1,A6,0.0059703432975665984
E2,A6,0.006025478859234542
E3,A6,0.005514456337705105
E4,A6,0.005793682854692043
E5,A6,0.9996050013023647
E6,A6,0.0055301337774983535
E7,A6,0.005308999619042465
E8,A6,0.006164123436302213
F1,A6,0.00942848755368916
F2,A6,0.009686010942700331
F3,A6,0.010056261081775838
F4,A6,0.00847566412395533
F5,A6,0.008433963490047158
F6,A6,0.006552970600628621
F7,A6,0.006698916532596852
F8,A6,0.007878666987919062
A7,A7,0.0
A8,A7,0.0011236410747675685
B1,A7,0.00206263359007728
B2,A7,0.0018088780888450113
B3,A7,0.0022635938440559687
B4,A7,0.0019216131039902396
B5,A7,0.0020052195472335505
B6,A7,0.0013715776795496018
B7,A7,0.0016673395713245563
B8,A7,0.002337009028812155
C1,A7,0.00551788905359313
C2,A7,0.004844714987887249
C3,A7,0.005884875692840067
C4,A7,0.0055103825214051
C5,A7,0.005255668161392863
C6,A7,0.00358855173761667
C7,A7,0.004236562688412346
C8,A7,0.005043302464793763
D1,A7,0.005145615358872132
D2,A7,0.005501309318018595
D3,A7,0.005665758622819538
D4,A7,0.0046231302100684935
D5,A7,0.004693164225186256
D6,A7,0.0044038238783395646
D7,A7,0.004189592396645426
D8,A7,0.0038541075369638
E1,A7,0.005718636931950172
E2,A7,0.005690431874989832
E3,A7,0.005134556641694954
E4,A7,0.005530153229093574
E5,A7,0.9994294784979632
E6,A7,0.005283110535135457
E7,A7,0.005047600746779399
E8,A7,0.005753739404674916
F1,A7,0.008913776129588534
F2,A7,0.009140303775444853
F3,A7,0.00952347623982628
F4,A7,0.007988705739956376
F5,A7,0.00800142111528664
