,row_A4_data
IL22,5.793692948946109e-05
ALDOA,3.310875862452738e-05
LDHA,2.3975488316298828e-05
EIF4EBP1,2.397197161641206e-05
CD209C,2.388348161004755e-05
MIF,2.0440297958597398e-05
CHURC1,1.88427015774704e-05
TPI1,1.6987909743042528e-05
CHPT1,1.668095642211823e-05
HSP90AB1,1.5818365357881363e-05
PKM,1.4718643273157984e-05
ACTG1,1.3924571220830657e-05
TUBA1B,1.3699158155902835e-05
EEF1A1,1.349904596450774e-05
ATF4,1.3183589041501203e-05
ASNS,1.312772953592098e-05
PHGDH,1.2928522292422848e-05
PARK2,1.276640798571433e-05
RPS11,1.1717382253870033e-05
GAPDH,1.1299524971137133e-05
HSPA8,1.111624677608609e-05
RPL3,1.1008976268229005e-05
PSAT1,1.0138806969760732e-05
PGK1,9.909018281019184e-06
NARS,9.694252848062995e-06
PCK2,9.501099910799903e-06
MTHFD2,9.437832158931462e-06
TRIB3,8.787667919160329e-06
FDPS,8.218159221367368e-06
ENO1,7.716080186566648e-06
GBP2,7.3684436048588785e-06
PSMB8,7.041685461240451e-06
CHAC1,6.774943123222816e-06
EIF5A,6.515936604858057e-06
SHMT2,6.099748550263682e-06
IL12RB2,5.8188181829947786e-06
SLC3A2,5.810213150739518e-06
GARS,5.7485459169058986e-06
SLC25A5,5.630350973606703e-06
RPL8,5.540154124910999e-06
PSPH,5.48593167962339e-06
UBE2C,5.08220919806963e-06
TUBA1A,4.9380623322612795e-06
RPL18A,4.90548812717294e-06
ISYNA1,4.888878904400686e-06
DDX39,4.803688874083151e-06
PSMA3,4.7276143919951355e-06
RPL10A,4.676080297056406e-06
CCNB1,4.6430091997295565e-06
LY6G,4.5966088331905675e-06
RPS18,4.495469301502787e-06
PGAM1,4.405054443109915e-06
CCT5,4.342085013401348e-06
RUVBL2,4.228048881365387e-06
BATF,4.107288228262363e-06
GSTT2,4.0438927825984786e-06
KPNA2,4.01145525492428e-06
DDIT3,3.745483373607529e-06
RPS14,3.705521625319293e-06
NPM1,3.677126794991145e-06
RPL6,3.579058384958815e-06
CHCHD10,3.555850768432431e-06
RNH1,3.4892799385334203e-06
XCL1,3.4718126146902744e-06
EEF2,3.371165903113342e-06
RPL10,3.3335309524976157e-06
TARS,3.283158666116374e-06
SARS,3.1740413013846896e-06
HERPUD1,3.143855844084086e-06
CRABP2,3.0937234767628452e-06
IDE,3.084228271604513e-06
RAN,3.0758776863065474e-06
GADD45G,2.969448787698078e-06
NINJ1,-2.880075334687142e-06
PPP1R8,-2.898930735392352e-06
RPL37A,-2.9650471067727973e-06
SH3BGRL3,-3.020100294120673e-06
TNFRSF26,-3.0215342445092937e-06
TES,-3.0261695600823524e-06
HNRNPDL,-3.0509027326398165e-06
TNF,-3.110867979667889e-06
GRAP,-3.111317656519369e-06
SLAMF6,-3.128841403890634e-06
BLOC1S2,-3.1501279696587535e-06
1110007C09RIK,-3.1627542739993922e-06
SLC19A2,-3.1716166218491195e-06
TNFSF11,-3.180804318191358e-06
S100A11,-3.2065602417448325e-06
ME2,-3.257683929395786e-06
GLIPR1,-3.2871005598684657e-06
FXYD5,-3.291914314422011e-06
PTPN22,-3.3129439354169976e-06
PENK,-3.3318455876026346e-06
RAP1B,-3.347540239432896e-06
APLP2,-3.3495741588576392e-06
RPL32,-3.361685490551282e-06
MS4A4B,-3.362266804492781e-06
COX6C,-3.4241529877396232e-06
RRM2,-3.4354104069977845e-06
COMMD3,-3.506246799255945e-06
TNIP2,-3.6292088086241325e-06
CD52,-3.662847312545566e-06
TMEM176A,-3.750370382188094e-06
LAT,-3.827427649850925e-06
TESC,-3.850019436396845e-06
TBCA,-3.883058948887062e-06
ARAF,-3.914020928739526e-06
EIF4A1,-3.981521170432502e-06
CD83,-3.996115253758789e-06
RPS26,-4.022870415577352e-06
CTLA4,-4.050083953240471e-06
PROCR,-4.05050102235323e-06
ID1,-4.095851239680839e-06
ID3,-4.108645017781247e-06
9030617O03RIK,-4.129354315442905e-06
PDCD1,-4.139300211686506e-06
KCTD14,-4.199325478062436e-06
RNF187,-4.2484447624263416e-06
CCR8,-4.337239599315239e-06
H3F3B,-4.399023791708441e-06
MAF,-4.40542163402588e-06
ITM2A,-4.541644821853681e-06
VAPA,-4.564040011725211e-06
GPR15,-4.576572141179611e-06
TMEM176B,-4.673924956859422e-06
HCLS1,-4.722803677004629e-06
LAMP1,-4.817461877529439e-06
DCXR,-4.899992853085028e-06
