,row_B1_data
MT1,3.0496768542842987e-05
IL22,2.9849060274807177e-05
ACTG1,2.8121799660295647e-05
NPM1,1.928207043083019e-05
CHURC1,1.797742016779092e-05
HSPD1,1.386947950547413e-05
MT2,1.3179075471214771e-05
HSPA8,1.2911857986347685e-05
HSP90AB1,1.1870882374837916e-05
HSP90AA1,1.1647862420482568e-05
BATF,1.0716174985108513e-05
CHPT1,9.847581378931463e-06
PARK2,8.984965865448718e-06
PGAM1,8.144452310412224e-06
ALDOA,8.133137473411749e-06
EIF4A1,7.099368809704884e-06
ENO1,6.936335239463118e-06
GAPDH,6.92989610722777e-06
GADD45G,6.594398675271559e-06
TUBA1B,6.433668320970448e-06
TUBB4B,6.419315066977791e-06
HSPE1,6.0650538061148815e-06
FDPS,6.039200293054956e-06
FABP5,5.719918996715529e-06
NCL,5.2554925687392176e-06
GBP2,5.212754897823255e-06
PKM,5.210665989422613e-06
TNFRSF8,4.51979263853634e-06
TUBA1A,4.516117766897392e-06
TMEM254C,4.127813943133238e-06
IL12RB2,4.088302382800332e-06
RFC3,4.010548992840026e-06
PTGES3,3.970112233944687e-06
RPS27A,3.90359450818907e-06
RPL7A,3.886962147483142e-06
CALM2,3.853748520815024e-06
SET,3.5606373783950105e-06
CASP6,3.5165547050351653e-06
PGD,3.451484238698996e-06
CCNB1,3.363262857731439e-06
IL17F,3.3167525427015145e-06
CCT6A,3.2858947560121543e-06
H2-T23,3.222671362483887e-06
SOD1,3.200378650073288e-06
HMGA1,3.182790113282358e-06
HMGCS1,3.1544002687357662e-06
CCT5,3.1233491663351244e-06
HNRNPA1,3.0347444461951983e-06
NIPAL1,-3.07281752753431e-06
MAP2K3,-3.0860146189202853e-06
PPIA,-3.1157083200019763e-06
SP110,-3.1329385948733208e-06
IFRD1,-3.13330098920393e-06
GLS2,-3.153571520169138e-06
2310036O22RIK,-3.1627928215847963e-06
NOP9,-3.168351385806695e-06
TMEM176A,-3.170982059509454e-06
APOO-PS,-3.199928396956165e-06
GLTP,-3.2015063927523957e-06
SCAND1,-3.2322835248674586e-06
1500012F01RIK,-3.307040914448557e-06
UBB,-3.3229992535177734e-06
EMP3,-3.3274607306735923e-06
CLPTM1,-3.328776469420942e-06
MYL6,-3.3385063128643432e-06
PANX1,-3.3622029526117377e-06
EMP1,-3.36289699328741e-06
ATP5E,-3.369961500479178e-06
DCXR,-3.3757788970234534e-06
FZR1,-3.3759340334141375e-06
HCLS1,-3.389585667774004e-06
SELPLG,-3.3920998732093433e-06
SUSD3,-3.4164802500975388e-06
RPS19,-3.4256794190324702e-06
REXO2,-3.4732068610223526e-06
RPS26,-3.4772825643597895e-06
1600014C10RIK,-3.5082232301157203e-06
TSPAN13,-3.5173196450896535e-06
ZAP70,-3.5554029586863557e-06
TNIP2,-3.5585183642521084e-06
PROCR,-3.614503872594452e-06
FBL,-3.6210617090905705e-06
TES,-3.685454920474483e-06
FXYD5,-3.6903938077654505e-06
DGKA,-3.732114675548146e-06
LSP1,-3.750189632872974e-06
TRIM27,-3.818561156246133e-06
TMEM160,-3.820272308253266e-06
ITM2B,-3.8384924985459765e-06
CD69,-3.8457303429035026e-06
IKZF3,-3.91822080702626e-06
SPSB1,-3.979172840453703e-06
ITM2A,-4.000329267828168e-06
CD83,-4.028441012578934e-06
TMEM176B,-4.040066503443027e-06
SRGN,-4.060776392476675e-06
S100A10,-4.2085262434339045e-06
CCR8,-4.241900502130324e-06
GRCC10,-4.2434298763702655e-06
ID1,-4.279955997951532e-06
MYL12B,-4.286643357007004e-06
APLP2,-4.292353771072804e-06
IL10,-4.328849320137129e-06
IL3,-4.345910564266677e-06
TXNDC5,-4.38117006856253e-06
PRKCH,-4.4058320349909466e-06
TNFSF4,-4.4281660631291e-06
ATP5J,-4.458114109989043e-06
GPR15,-4.576572141179611e-06
MAPKAPK3,-4.648282298641864e-06
NUBP1,-4.671081418829733e-06
TMEM254B,-4.688839898605383e-06
RBM42,-4.85521994359437e-06
LAT,-4.855524290478267e-06
MAF,-4.8666765682104445e-06
TNF,-4.972725649033079e-06
MS4A4B,-4.974527877892191e-06
KCTD14,-5.132181497959177e-06
POLR2M,-5.1351613823531605e-06
LIMD2,-5.198076655765286e-06
TMSB10,-5.275532532055799e-06
PITHD1,-5.315502122266254e-06
ACSBG1,-5.330183932632024e-06
IFI47,-5.335575377403033e-06
B2M,-5.507184845426902e-06
RGS10,-5.7015042706302476e-06
ITGB7,-5.74095398955662e-06
TNFSF11,-5.801346993238867e-06
CTLA4,-5.900354924985599e-06
B4GALT1,-6.0208404309026664e-06
LPXN,-6.023769286162031e-06
RELB,-6.091239488158896e-06
SFT2D1,-6.1156335621771696e-06
UCK2,-6.157068026559811e-06
SH2D2A,-6.177024654193751e-06
RPS4X,-6.3175481044531144e-06
LGALS1,-6.3357373486258884e-06
RNASET2A,-6.341086799285803e-06
H2-D1,-6.413792100315929e-06
CKB,-6.442474259389092e-06
APOL9B,-6.467241109234074e-06
H2-K1,-6.599566013497379e-06
FTH1,-6.77614620694811e-06
CRIP1,-6.817718781016707e-06
IL17A,-6.9354424933296335e-06
NSUN2,-7.052140594489145e-06
TNFRSF18,-7.079850526002425e-06
TESC,-7.2230143417834576e-06
IFI27L2A,-7.2235970276288475e-06
CD81,-7.231083408538274e-06
LARS2,-7.498849482584029e-06
PLP2,-7.846659468661061e-06
NT5E,-8.047383383260678e-06
SH3BGRL3,-8.401692658683763e-06
RPL23A,-8.45846614167011e-06
RPL41,-8.49942441119678e-06
CYP11A1,-8.708253262527326e-06
VAPA,-8.802301164894474e-06
SERPINB1A,-9.74265769856145e-06
PPP4C,-1.0091293262026593e-05
CDKN1A,-1.1083636442894631e-05
PHLDA3,-1.1133473463492008e-05
LAMP1,-1.1537236977765603e-05
NFKBID,-1.1840645847392031e-05
SERPINE2,-1.204260195796696e-05
IRF8,-1.2981976235066906e-05
ANP32B,-1.3199312885374694e-05
IER2,-1.3279108309092251e-05
PDPN,-1.3301790107081415e-05
CD52,-1.4031190248267893e-05
FOXP3,-1.4061933238788138e-05
LTB,-1.4184519123651914e-05
ID3,-1.4676048556635437e-05
SGK1,-1.493372608425836e-05
CTLA2B,-1.5001088127113357e-05
CNDP2,-1.5032614669191215e-05
OLFM2,-1.5595966813508737e-05
CCL20,-1.6268025408058847e-05
TNFRSF4,-1.6793262106804915e-05
RAC1,-1.7045509117227065e-05
RGS1,-2.0073197305413377e-05
RNF187,-2.0672721217480392e-05
CCR7,-2.0782401915083068e-05
LSM4,-2.0783620559569077e-05
DUSP2,-2.1672663787732705e-05
ASS1,-2.6309194626194574e-05
EIF3F,-2.7164665605222888e-05
CTSW,-2.767322460623944e-05
TNFRSF13B,-2.8591580616605285e-05
VIM,-2.8868436043554734e-05
TMSB4X,-3.103800750172512e-05
SRM,-3.364194611783303e-05
CTLA2A,-4.2382205379794614e-05
IGFBP4,-4.4250984336912996e-05
CAPG,-5.949532953475235e-05
AQP3,-7.636695548445984e-05
LTA,-0.00010504007711489757
IL2,-0.00013136187664510788
RPS2,-0.000272522326901589
IL9,-0.00031178332160249045
