,row_C6_data
MIF,8.338281488299768e-05
TPI1,6.537688580859782e-05
ID3,5.087320857713676e-05
CD52,3.722290001767812e-05
ALDOA,3.4126410435885275e-05
LDHA,3.310778319537655e-05
CCR7,2.9766428214850676e-05
ENO1,2.6474921821698826e-05
TNFRSF4,2.6356231637238446e-05
DDT,2.4959914248771174e-05
PGK1,2.4259895865676076e-05
B2M,2.3156004708427258e-05
LY6A,1.9458375886353634e-05
PKM,1.9072565848758904e-05
CD53,1.6256748981479188e-05
LSP1,1.5338338707240574e-05
GZMB,1.4765367687347137e-05
IFI27L2A,1.4617165360754596e-05
PGAM1,1.4557000771669597e-05
SERPINB6B,1.4005059605830724e-05
MS4A4B,1.3295172045021317e-05
GPI1,1.247979731961364e-05
LY6E,1.1997158180859599e-05
LTB,1.1427104397610508e-05
TNFRSF9,1.1364110178630276e-05
CD48,1.109748114683542e-05
TCF7,1.0724588936612102e-05
FAM162A,1.0451365831105608e-05
BNIP3,9.923243201863057e-06
TMSB4X,9.873979689059402e-06
PIM2,9.83772211586812e-06
MS4A6B,9.817852668221719e-06
SEPW1,9.67931279947402e-06
IL2RG,9.326227402142484e-06
CHCHD10,9.044031725119022e-06
CKB,8.778645761525595e-06
H2-K1,8.50077981652314e-06
H2-D1,8.240235176607208e-06
ITGB7,8.056347068203538e-06
PARK7,7.97823942200676e-06
TNFRSF18,7.388514255775385e-06
ANKRD37,7.267127055518062e-06
SHISA5,7.216135646706487e-06
ICOS,7.212080660541077e-06
H2-Q7,7.072916445468422e-06
CD3G,6.993469651573768e-06
GIMAP6,6.868030326275487e-06
LAD1,6.444820495904447e-06
THY1,6.386433148222394e-06
UBB,6.362148757590736e-06
SLAMF6,6.0192330922694895e-06
PSMB8,5.926382674185184e-06
SERPINB9,5.913289584245705e-06
NR4A1,5.770657647986538e-06
GNB2L1,5.728950001344731e-06
RNF145,5.640907756873789e-06
RPS19,5.606971011220445e-06
RPL26,5.564313365485487e-06
RPS3,5.529775707528627e-06
CD3D,5.526412299945759e-06
TRAT1,5.491485816978376e-06
RPS8,5.352562489217014e-06
RPL18A,5.295259088933544e-06
RPS16,5.218165426762922e-06
CD27,5.064082653976356e-06
LIMD2,5.025968978340579e-06
CD9,5.020229942166649e-06
LAG3,4.941062483380951e-06
TSPAN3,4.897695768262039e-06
PTPRCAP,4.841310242807874e-06
RPL24,4.7678746638593156e-06
PFKL,4.752688047400079e-06
RPS4X,4.680024475155236e-06
RPL13,4.65276641988991e-06
ITM2A,4.639905843637307e-06
DNAJC15,4.583346158042429e-06
GIMAP7,4.441583760454322e-06
RPL13A,4.294224397848715e-06
TIGIT,4.282829805690306e-06
RAC2,4.166795288985336e-06
PHGDH,4.159702915666793e-06
RPS5,4.094052456540297e-06
FAU,4.066355507289932e-06
TESC,4.026065903400348e-06
CD226,3.976705147020929e-06
GALK1,3.8985985014266266e-06
HILPDA,3.868268873949239e-06
GRAP,3.6937780524081527e-06
RILPL2,3.563860254356905e-06
CDK2AP2,3.5076065720047745e-06
SLFN1,3.4921001287785262e-06
ZAP70,3.4454943791173474e-06
PTPN6,3.4068112214620252e-06
RPS2,3.3884271417937797e-06
CD69,3.328135801993595e-06
SCD1,-3.281507741113429e-06
ANGPTL2,-3.29234320639192e-06
AKTIP,-3.340862740912078e-06
ILDR1,-3.3446508270681717e-06
RPS27A,-3.4009978693834314e-06
SMOX,-3.4098838083463313e-06
CD6,-3.4105017076268757e-06
USMG5,-3.4393561769728698e-06
GNG5,-3.4923963073443562e-06
TMEM176B,-3.493284285985891e-06
CLCN4-2,-3.4979432691122667e-06
TMEM176A,-3.558557537297599e-06
PNP2,-3.562217835407551e-06
TAGAP1,-3.597660427879099e-06
ACSBG1,-3.6165787614871115e-06
RELB,-3.696236127482756e-06
PROCR,-3.6981109227428447e-06
ANAPC15,-3.726962849268127e-06
KCTD14,-3.8081490989071295e-06
THRAP3,-3.8119543467246717e-06
CD83,-3.830162591608889e-06
CCL4,-3.84181900543291e-06
PLAC8,-3.902576751097994e-06
RNH1,-4.013726317934331e-06
CYP11A1,-4.0174369093585616e-06
APLP2,-4.086454696499163e-06
GM20594,-4.11422223909599e-06
NAA10,-4.184414700228085e-06
IL10,-4.328849320137129e-06
CNDP2,-4.457449131923867e-06
GPR15,-4.576572141179611e-06
ZFYVE19,-4.641821885695037e-06
RPS28,-4.765385690779593e-06
TMEM14C,-4.872375586545934e-06
RPS21,-4.877372740971349e-06
SLC39A8,-5.003228031894731e-06
SLC4A11,-5.073139158567196e-06
TUBB6,-5.347917876700129e-06
NDUFA3,-5.397006130227344e-06
TMEM254B,-5.401465352197307e-06
TNIP2,-5.416595854449254e-06
S100A6,-5.471790750909958e-06
MAF,-5.548802937190403e-06
CHPT1,-5.552068181901569e-06
RPLP1,-5.63186129255407e-06
SLC25A4,-5.635575886782891e-06
CALM2,-5.7097385395990334e-06
NINJ1,-5.764725361525203e-06
EMP1,-5.774585627499063e-06
INTS4,-5.96388650667279e-06
IRF4,-6.09811239080224e-06
HMGN1,-6.160623644803146e-06
APRT,-6.335114163411295e-06
SCD2,-6.362685948708793e-06
RGS1,-6.411931993339183e-06
APOL9B,-6.467241109234074e-06
TUBA1B,-6.483153802864838e-06
RPL41,-6.79008899423522e-06
CD5,-6.79177832389179e-06
H3F3B,-6.793865562313285e-06
FDPS,-6.8334056261384725e-06
MRRF,-6.900786504761315e-06
IL2RA,-7.331671738122928e-06
NT5E,-7.485335130753953e-06
GATM,-7.547750617911427e-06
PARK2,-7.95815483924135e-06
HMGB3,-8.09163217181658e-06
TUBB4B,-8.191519645370953e-06
PDCD1,-8.289480185127275e-06
HMGN2,-8.290126213116906e-06
SERPINB1A,-8.748643516622817e-06
RRM2,-8.791033152951248e-06
RPL39,-9.246954991603645e-06
LGALS1,-9.255356502346224e-06
PRR13,-9.678595121861413e-06
RPS29,-9.713719668128876e-06
RPS27L,-9.885402461206943e-06
CCL3,-1.0072159609743233e-05
TUBA1A,-1.0966347094803762e-05
ASS1,-1.1243512977752782e-05
SGK1,-1.1576032127708538e-05
PLP2,-1.1593192936537761e-05
FTH1,-1.2319844747183352e-05
FOXP3,-1.2835406839163771e-05
PDPN,-1.3301790107081415e-05
MT1,-1.4104481692230976e-05
TNFRSF13B,-1.410612373296733e-05
OLFM2,-1.4330025120855906e-05
CCL20,-1.4364802108455698e-05
CHURC1,-1.4750176630711121e-05
CTLA2B,-1.5293463548267666e-05
MT2,-1.5765042672226262e-05
SMIM3,-1.793628359554142e-05
CTLA2A,-1.9911751674342086e-05
CAPG,-1.997123629804968e-05
IL17A,-2.1572073299022328e-05
CTSW,-2.2084853791150905e-05
ACTG1,-3.0320727359466136e-05
IL22,-3.475888703447323e-05
VIM,-4.177504432823211e-05
LTA,-6.766337343181553e-05
AQP3,-6.993138962930853e-05
TIMP1,-0.00022746945292254523
IL9,-0.0003191798556167768
IL17F,-0.0007814314651974905
