,row_D6_data
CD52,6.136565417847159e-05
CCR7,6.022650515669141e-05
MIF,5.9914035121564724e-05
LY6A,4.47974288483623e-05
ID3,4.317278677722426e-05
DDT,3.737403542257596e-05
LTB,3.284968751827756e-05
CD53,3.222686946973129e-05
RPS4X,3.0157142948880817e-05
LSP1,3.0148404385097934e-05
TPI1,2.6609079862464273e-05
TCF7,2.6087714224094136e-05
MS4A4B,2.5624512943153414e-05
B2M,2.4741038663665286e-05
TMSB4X,2.46633828217756e-05
IFI27L2A,2.465706543607151e-05
LY6E,2.4059178220996183e-05
ALDOA,2.3121805270131607e-05
RPS19,2.146476448470976e-05
SHISA5,2.132633058606726e-05
IGFBP4,2.0990763730303026e-05
RPS2,2.016945653885745e-05
GIMAP6,1.9789237104169635e-05
TNFRSF4,1.9042617749928127e-05
SELL,1.9003547718213755e-05
LIMD2,1.7571889691688186e-05
SERPINB6B,1.697651436518951e-05
MS4A6B,1.628140176501966e-05
EEF1A1,1.5983739006629558e-05
H2-K1,1.597222869924131e-05
RPS18,1.5236270616735849e-05
RPL17,1.4358820602829354e-05
PGK1,1.4347112500986273e-05
SEPW1,1.4094286405938405e-05
RPS13,1.4021860312794278e-05
RPL13,1.4019592382676402e-05
H2-Q7,1.387327997453012e-05
PKM,1.3634998361923973e-05
CHCHD10,1.3003181358638906e-05
PIM2,1.2798597822004968e-05
GIMAP3,1.2280494665004654e-05
RPS15,1.21511989802331e-05
CD3G,1.1194038267369669e-05
RPS8,1.1155529597865993e-05
EIF3F,1.1132824026446254e-05
GZMB,1.0975904508734223e-05
TPT1,1.0957402731530521e-05
ECM1,1.0884489812853046e-05
GIMAP7,1.0509576968552747e-05
CKB,1.0164872454699109e-05
NR4A1,9.998989604898364e-06
RPS3A1,9.749359204718519e-06
CD3D,9.699346731050599e-06
TNFRSF18,9.65699712887331e-06
IL2RG,9.572818847611905e-06
CD27,9.316463757712906e-06
ITGB7,9.30572435560222e-06
SERPINB9,9.300858881988546e-06
CORO1A,9.29589159311623e-06
RPS5,9.154572370690815e-06
H2-D1,8.985972670642526e-06
RPL18A,8.967099217931692e-06
RPS3,8.9349812655779e-06
RPS16,8.923569530255268e-06
CD69,8.917694486700904e-06
RPL34,8.825640425503655e-06
RPS20,8.74325020461814e-06
RPL13A,8.535831711200045e-06
GPI1,8.312905009678402e-06
RPL6,8.108634425657243e-06
RPL10,8.056219009436338e-06
NPC2,7.922023661609648e-06
ITK,7.8797314169383e-06
TNFRSF9,7.697454189779519e-06
RPS12,7.541442964044312e-06
RAC2,7.515893052188554e-06
RPL26,7.3950927840942026e-06
RPS14,7.170930588052039e-06
RNF145,7.095465621592517e-06
RPL4,6.8895356187179384e-06
FAM162A,6.8366054712980175e-06
DUSP2,6.813421109570328e-06
THY1,6.702547859943414e-06
TESC,6.597077200982921e-06
SLAMF6,6.587064646872792e-06
GIMAP4,6.560792469625381e-06
RPL5,6.544302509954204e-06
RPL28,6.536614465099197e-06
LY6C1,6.43980570524975e-06
CDK2AP2,6.2329226650850315e-06
CD48,6.20689450880042e-06
FAU,6.041224872746487e-06
BNIP3,6.017869572362266e-06
RPL12,5.885031528589976e-06
TRIB2,5.840198616887775e-06
RPL18,5.813124325083316e-06
AKR1C18,5.738639832351726e-06
RPS10,5.393242957619986e-06
SLFN1,5.35153693281426e-06
ICOS,5.334404462624332e-06
TRAT1,5.213395989879251e-06
TAPBP,5.1405080664004285e-06
UBA52,5.104530472693777e-06
SRM,5.0969233925731995e-06
LDHA,5.072564342231239e-06
RRAD,5.071458691842383e-06
CD2,5.039675070739086e-06
SELPLG,4.907073103835149e-06
RILPL2,4.896692332511303e-06
RPS7,4.817639059052467e-06
RPL23A,4.807995406951916e-06
PSMB8,4.727976800766253e-06
LAD1,4.461821205997352e-06
RPL10A,4.454672727423689e-06
ENO1,4.4039198776464855e-06
PSME1,4.383511245311366e-06
IL10,-4.328849320137129e-06
FTH1,-4.338419228486302e-06
EIF4A1,-4.382987238518752e-06
NME2,-4.428748639216976e-06
HMGB2,-4.460938138851211e-06
MAPKAPK3,-4.504074530692042e-06
HSPD1,-4.570269086653247e-06
GPR15,-4.576572141179611e-06
IL1RN,-4.676614895027476e-06
NINJ1,-4.760903336172505e-06
APLP2,-4.813200483427898e-06
TUBB6,-5.126032735722332e-06
BATF,-5.13093644545971e-06
DYNLT1C,-5.282645409117241e-06
ATP5B,-5.319478961292849e-06
NDUFA3,-5.328412552615944e-06
INTS4,-5.340298652366427e-06
MAF,-5.444305704489776e-06
SLC4A11,-5.5280383870315705e-06
TGM2,-5.752471314707384e-06
EMP1,-5.774585627499063e-06
RPL38,-6.0334555980443456e-06
CKS2,-6.189798665561255e-06
APOL9B,-6.198709235425944e-06
UBE2C,-6.232976805190313e-06
CALM2,-6.426055809534419e-06
NT5E,-6.497931326118841e-06
IL2RA,-6.586455093773851e-06
TUBA1B,-7.040373680261932e-06
APRT,-7.249145851958574e-06
SCD2,-7.37638977936886e-06
HIST1H2AO,-7.501860916331695e-06
PLP2,-7.812667087219752e-06
TNIP2,-7.990882913060245e-06
SGK1,-8.05445772702091e-06
SLC25A4,-8.081872554033915e-06
HMGN1,-8.126848753834579e-06
HIST1H2AP,-8.352043990533646e-06
RPL39,-8.39100682182786e-06
GATM,-8.41463946198468e-06
PRR13,-8.731434214445061e-06
ASS1,-8.829451794380786e-06
TUBB4B,-8.863655443736002e-06
LUM,-9.31759618678789e-06
PDCD1,-1.0199262486586423e-05
SERPINB1A,-1.0416398402725298e-05
LGALS1,-1.0680411129230818e-05
RAPGEF4,-1.1892863286086721e-05
HMGN2,-1.1944868425124271e-05
RGS1,-1.2074052491595685e-05
CCL20,-1.214824485392861e-05
FOXP3,-1.2298565159868103e-05
MT2,-1.2483187294625913e-05
RRM2,-1.2974879793780094e-05
PDPN,-1.3301790107081415e-05
CCL4,-1.4349212378149553e-05
OLFM2,-1.4828443045983346e-05
RPS28,-1.528043702977931e-05
TNFRSF13B,-1.5761365823450434e-05
CTLA2B,-1.5997516263085958e-05
MT1,-1.639943577084886e-05
CTSW,-1.657919134251548e-05
RPS27L,-1.760081872562932e-05
CCL3,-1.819401947803383e-05
CHPT1,-1.879713523235082e-05
CTLA2A,-1.9337245410678468e-05
CAPG,-1.9965604905410975e-05
SMIM3,-2.064440773967106e-05
ACTG1,-2.2601418955171143e-05
RPL41,-2.3074986026934733e-05
H3F3B,-2.3174450982911895e-05
GM20594,-2.3210585176981107e-05
RPS29,-2.5081912178317377e-05
PARK2,-2.759094556696339e-05
