,row_E2_data
IL17F,0.00019978279546199794
IL9,0.0001699771938024895
LTA,0.0001686648080899654
EEF1A1,0.000142418195669701
TIMP1,0.00013558720148804337
CAPG,8.919256940200806e-05
AQP3,6.657209780656279e-05
VIM,6.0846670084562144e-05
CTLA2A,6.0155968715266175e-05
UBA52,5.4548822655970004e-05
IGFBP4,5.3664043036621284e-05
RPS20,5.256507727532142e-05
RPS18,3.921141072141536e-05
CTSW,3.9084471757139166e-05
LGALS1,3.829722292804041e-05
RPS16,3.573423470086117e-05
RPS23,3.392282685626887e-05
ASS1,3.201735391630967e-05
RPS27,3.11315795017594e-05
RPS14,3.104212636353108e-05
TNFRSF13B,3.0099312808352203e-05
PLP2,2.9686172148470026e-05
PPIA,2.9471975506912e-05
RPS21,2.5857592579316894e-05
RPLP2,2.572797644523274e-05
IRF8,2.5667343262357825e-05
RPS15,2.4924397651911623e-05
CNDP2,2.4814682594004903e-05
RPS11,2.4546598546895768e-05
RPL36A,2.4423896488987002e-05
RPL35,2.4011057196493416e-05
RPS19,2.3199141539433663e-05
RPS2,2.236411137087653e-05
RPL28,2.2148257577770953e-05
RPL18A,2.1141442696878877e-05
RPL26,2.113267914106748e-05
RPL32,2.0871594010046606e-05
OLFM2,2.0296644982541233e-05
SGK1,1.9903184658906952e-05
UBE2C,1.9761382926479848e-05
RPS28,1.912754023934872e-05
RPL10A,1.879786790473002e-05
RPL41,1.8474896647533497e-05
RPL39,1.819556023818859e-05
RPL35A,1.791153114673365e-05
FTH1,1.7899718288265576e-05
MYL12B,1.7030625461837397e-05
RPS17,1.6825944676727755e-05
FAU,1.6755956004827545e-05
RPS7,1.6439876170972156e-05
ATP5H,1.6125511260497248e-05
RPL6,1.5985167030445536e-05
IFI47,1.55381816214403e-05
HIST1H2AP,1.5328655229258586e-05
TMSB10,1.4601801623179015e-05
RPL36,1.4569936104200424e-05
RPS29,1.4447034166215544e-05
TNIP2,1.3993859151252962e-05
FOXP3,1.3928477863681035e-05
RPS12,1.3749656205280266e-05
ME2,1.3552741311146049e-05
RPL38,1.306145604670992e-05
RPL37A,1.2407154724714518e-05
CTLA2B,1.2029109911210697e-05
RPS8,1.1731132514825109e-05
CRIP1,1.1460295641737622e-05
RPL3,1.1314901155773654e-05
IL2RB,1.1277487128749929e-05
LTB,1.1122908645780714e-05
GATM,1.1018930578334034e-05
RPS10,1.0971486010994959e-05
HIST1H2AO,1.093807192476761e-05
RPL17,1.0846251029526929e-05
RPL27,1.0825525158374936e-05
LPXN,1.0658310562978714e-05
RPS13,1.0621444208766794e-05
SERPINB1A,1.0411210074201016e-05
RPS4X,1.007275750339895e-05
SOCS2,1.0053522561808095e-05
RPL13,1.003333897229517e-05
RPL34,9.788533817636411e-06
RPL37,9.545052786303097e-06
CYP11A1,9.361820671213975e-06
TSPAN13,9.216528683947282e-06
NT5E,9.084935095842406e-06
RPL18,8.964491316087116e-06
RPS26,8.913600620977284e-06
STMN1,8.859141428078041e-06
HMGN2,8.788300507626607e-06
NINJ1,8.536400976267026e-06
HIST2H3C2,8.317877370107446e-06
MAPKAPK3,8.052219231585939e-06
B4GALT1,7.96204389978491e-06
1600014C10RIK,7.931202262759668e-06
PTPRC,-7.895530421798946e-06
CD3G,-7.945759187536285e-06
CXCR3,-8.033450897598222e-06
HNRNPDL,-8.05045470199855e-06
BLOC1S2,-8.25599171225799e-06
LCP2,-8.262866646315658e-06
MAPRE2,-8.372550142580861e-06
MED30,-8.494372546864184e-06
BCL2A1B,-8.519154470048576e-06
ANXA2,-8.626457956236828e-06
CRTAM,-8.694988361754657e-06
CRABP2,-8.799587642704396e-06
PRELID2,-8.9753854667932e-06
STAT4,-9.06843092010884e-06
GIMAP6,-9.134183823266184e-06
PSRC1,-9.216734672390606e-06
GZMB,-9.306332127113745e-06
IL3,-9.475613906310519e-06
TFRC,-9.713667008546764e-06
TNFSF11,-9.735259322639724e-06
PDZK1IP1,-9.810517970507788e-06
LRMP,-9.833437309586508e-06
BSG,-9.841676757864222e-06
TXN2,-9.958738707865916e-06
B3GNT2,-1.020601187859415e-05
ZBTB32,-1.0489398465354663e-05
HSPA9,-1.0624540407653765e-05
LAD1,-1.0728426815426182e-05
PHLDA3,-1.0764951479636373e-05
SHISA5,-1.110116222563859e-05
ICOS,-1.1166124512589676e-05
GPR183,-1.153807318323127e-05
HSP90AA1,-1.1901785793305255e-05
CTH,-1.2104910046806038e-05
MBNL1,-1.2305153925952542e-05
CD81,-1.2360029518278308e-05
PSMB8,-1.2469385379282941e-05
SERPINB9,-1.2500279179973904e-05
GIMAP4,-1.2768819125492841e-05
NAA20,-1.2848974098826614e-05
MS4A4B,-1.3648579562736687e-05
GRAP,-1.3799913808633534e-05
SLFN2,-1.445336066474093e-05
CD6,-1.448224151352851e-05
GSTT2,-1.4504507104821109e-05
GAPDH,-1.4898923517435734e-05
BCL2A1D,-1.4951474132918399e-05
PTPRCAP,-1.5068763475518441e-05
