,row_F8_data
IL9,0.0005487722710417629
IL17F,0.0005222066563184741
LTA,0.0002884463716328794
CAPG,0.00012730213855997535
EEF1A1,0.00011923463353353105
AQP3,0.00011193227363808174
LGALS1,9.56633571047617e-05
IL17A,8.825600185206703e-05
VIM,7.887116935170594e-05
ASS1,6.604936926815768e-05
TIMP1,6.557395716453064e-05
CCL20,5.807957354634954e-05
CTLA2A,4.804380853242904e-05
PLP2,4.5614390092823767e-05
TNFRSF13B,4.559405358396763e-05
CTSW,3.6529520415477654e-05
ACTB,3.641282510491841e-05
GM20594,3.559762091155536e-05
IGFBP4,3.53473389547417e-05
FTH1,2.8691322284897514e-05
PDPN,2.828711367705589e-05
CTLA2B,2.4245861753277907e-05
RRM2,2.414870817948489e-05
PTMA,2.3954266993777993e-05
ME2,2.2074045027002864e-05
SGK1,2.029534557014926e-05
HCLS1,1.9706947664861064e-05
IFI47,1.9530516435394433e-05
IRF8,1.907648745641513e-05
NINJ1,1.8908367800101637e-05
IL2RB,1.8716889280902824e-05
FOXP3,1.8710761042643264e-05
INTS4,1.8426942293630625e-05
AA467197,1.8333634990377586e-05
MAPKAPK3,1.7143207116798377e-05
LAT,1.7042984125233065e-05
CCR8,1.70400985212733e-05
LTB,1.6900893602028817e-05
OLFM2,1.6787909092352023e-05
TMEM176B,1.660883706819561e-05
CYP11A1,1.6217099833901756e-05
SERPINB1A,1.6179244214405706e-05
RPS18,1.6066926345511493e-05
B4GALT1,1.5865762138868354e-05
RAPGEF4,1.5762163749241227e-05
UCP2,1.534978120728165e-05
APLP2,1.5016790640943273e-05
HMGB1,1.4795679241980922e-05
LPXN,1.4697475819024323e-05
TNIP2,1.4603269216157504e-05
TGM2,1.4029782785356348e-05
TES,1.3485800916928865e-05
TMEM176A,1.3254982639957591e-05
EIF4A1,1.2464232304002445e-05
CD5L,1.223323888991517e-05
ID1,1.2122551006039266e-05
HMGB2,1.2008577603526665e-05
CNDP2,1.175884396845076e-05
NT5E,1.1607227760983631e-05
SOCS2,1.0983125936411632e-05
GNG5,1.0877139386157453e-05
GATM,1.0657902998910946e-05
CTSC,1.0449837844439923e-05
RPL30,1.0440902248670038e-05
CRIP1,1.0366920635623951e-05
ACSBG1,9.893016250884207e-06
RAP1B,9.76224790283371e-06
PRPS1,9.449329432328581e-06
PAK1IP1,9.380262825141935e-06
MAF,8.95400467879204e-06
SMIM3,8.605233434072866e-06
APOL9B,8.485838658276322e-06
HSPA8,8.39751655060201e-06
EPB4.1L2,8.2678631032851e-06
CAPZA2,8.17093670698771e-06
GDI2,8.158825012477299e-06
EMP3,8.108418750792113e-06
RBPJ,8.041443299621573e-06
STX11,7.894009492992048e-06
RPS11,7.74107923021174e-06
PROCR,7.662266211481731e-06
RPL35A,7.434989286204629e-06
IKZF3,7.409883851929357e-06
NACA,7.272619180543556e-06
CBX3,7.220589933744408e-06
SEPT9,7.105792664649024e-06
ID2,7.017637379825284e-06
CALM2,6.978431012350295e-06
SLC43A3,6.884089210073963e-06
TUBB4B,6.876607691124086e-06
GALK2,-6.890411872923471e-06
GADD45G,-6.931497108008474e-06
SFT2D1,-6.996339428814901e-06
PFKL,-7.229249456394009e-06
GPI1,-7.380083204877491e-06
TNFSF4,-7.478442341839929e-06
SATB1,-7.482804362446614e-06
UBB,-7.496507460145313e-06
ITK,-7.554097176480446e-06
DYNLT1C,-7.570553772237444e-06
LSP1,-7.5868344726003825e-06
FAM162A,-7.668090477924545e-06
TNFSF11,-7.819303463505536e-06
LRMP,-7.90479679299155e-06
BHLHE40,-7.936357797924406e-06
EIF1,-7.965452344839478e-06
SH2D1A,-8.021162398545088e-06
BLOC1S2,-8.078760365100858e-06
SRGN,-8.085425360407353e-06
FAS,-8.143539153205722e-06
CD3G,-8.407861675756995e-06
LAG3,-8.489594724716088e-06
HSD17B10,-8.589504410869398e-06
NPM1,-8.643714190438904e-06
NPC2,-8.722640463619668e-06
PDZK1IP1,-8.966969038607422e-06
RPLP0,-9.28225434667718e-06
GZMB,-9.306332127113745e-06
IL12RB2,-9.449523514209524e-06
IL3,-9.475613906310519e-06
STAT4,-9.49493330608229e-06
GPR183,-9.499821296598216e-06
ANXA2,-9.591201872093372e-06
NR4A1,-9.597835361790757e-06
1500012F01RIK,-9.599942475727928e-06
PRELID2,-9.824391180652387e-06
TNFRSF9,-1.0240758997610635e-05
CTH,-1.0474916642196734e-05
GRAP,-1.0508336946950422e-05
UQCR10,-1.0732809532665435e-05
CCL4,-1.0932629226415353e-05
LAD1,-1.0997524928751115e-05
IFITM3,-1.1633892699077788e-05
CD3D,-1.1640118997031925e-05
BSG,-1.1703260650643585e-05
SLFN2,-1.2358927450352668e-05
PHLDA3,-1.2698445482184027e-05
SERPINB9,-1.2960031605585917e-05
CD6,-1.318776757616259e-05
CD9,-1.3188889449276882e-05
CD81,-1.3434839905305238e-05
GLIPR1,-1.3665474102470497e-05
PSRC1,-1.3811697536651499e-05
