,IL17F,IL2,IL9,LTA,EEF1A1,TIMP1,RPS2,AQP3,ID3,CAPG,VIM,IGFBP4,MIF,TNFRSF4,CTLA2A,CDKN1A,IL22,LGALS1,RPS27L,CTSW,CD200,CD53,NFKBIA,TNFRSF13B,IL17A
A1,-2.2581064833406635e-06,-2.3325059100326424e-05,-0.0002992022625896912,-0.00010699782286061914,2.9162845128447316e-06,-8.81743836083327e-06,-0.0010920941347624593,-7.505102819028813e-05,-3.768845774174331e-06,-5.147179710350517e-05,-6.109869557427737e-05,-2.3235269149571476e-05,8.130237173289463e-06,-3.334264637259276e-06,-3.5789174419116946e-05,-1.3992635073493774e-05,2.1124009753309803e-05,-1.8965329611670767e-05,-3.0535311596826566e-06,-2.7846617078481325e-05,5.003157177347519e-06,4.858336570964597e-06,-1.1564911247362303e-06,-2.655151993261736e-05,-9.635774105566125e-06
A2,7.001002775408588e-07,-8.348866542338382e-05,-0.00030933161711455557,-0.00011591368178156154,1.6936653216127566e-07,6.949501888137092e-07,-0.0001981266362907682,-7.553048774940081e-05,-8.86065465663048e-06,-4.3423991796750176e-05,-4.5579903641385154e-05,-4.4072482985861274e-05,1.846047453257874e-05,-7.793801793137036e-07,-3.872254227825222e-05,-1.883451829627367e-05,5.534547656463504e-05,-1.2173854008996333e-05,-1.2918629027809943e-05,-3.0124841429673663e-05,5.2664233561640124e-08,4.5288113575595256e-07,-6.154144423328761e-07,-2.9308982850396838e-05,-3.7805539614737362e-06
A3,-7.49309045845822e-06,-0.00011136450262288588,-0.0002996095871716839,-0.00013455378472114485,6.08271906971004e-07,-8.713817674118467e-06,-6.401215534253084e-05,-7.500892317942482e-05,-8.839003863782708e-06,-5.336365447211975e-05,-5.551871927610419e-05,-2.639969042620965e-05,1.2924407506578707e-05,-3.1738706761780312e-06,-3.5545187558443595e-05,-1.6019155756935473e-05,2.5254595721336104e-05,-3.1804630950169575e-05,-2.999089547842343e-06,-2.876375538555808e-05,-6.702950017367651e-10,1.5733950916224669e-06,-1.521973189063696e-06,-3.236209934346775e-05,-1.0668040461309572e-05
A4,-2.022864897227819e-05,-7.512368021602366e-05,-0.0003068634243585962,-0.00011761541344553018,1.349904596450774e-05,5.454912976900373e-10,-3.910841633949976e-05,-7.26728144041722e-05,-4.108645017781247e-06,-5.322952140628851e-05,-4.78021583218746e-05,-2.573423658825241e-05,2.0440297958597398e-05,-1.0771683092422114e-06,-3.135522079239187e-05,-3.977582370323082e-05,5.793692948946109e-05,-1.4067916927043339e-05,-2.404017783268393e-05,-2.566289128698332e-05,1.7935976706979444e-06,9.208786827414523e-07,-1.6365964077694328e-06,-2.6975295920336732e-05,-1.2152372265044692e-05
A5,-4.426615553276348e-06,-7.846532047678964e-05,-0.00031002857358757,-0.00011096882265087635,8.971432866009238e-06,-3.4951957685600403e-06,-0.00010094788351053567,-7.522701572272757e-05,-1.5242926326300497e-06,-5.154996825006638e-05,-5.127083668403746e-05,-2.4384015490713017e-05,4.1697176255651666e-05,-1.1542455718814328e-06,-2.9952751499552485e-05,-2.253427743098056e-05,2.101733532615096e-05,-3.127456582024798e-05,-9.160637800668779e-06,-2.7972695163911274e-05,1.4517864733842986e-06,6.840555138484321e-07,2.2946103151871607e-08,-3.039167680269096e-05,-1.7432292802415484e-06
A6,-0.00030441750848411963,-4.9486628017945164e-05,-0.00029058246488562723,-8.858011213315256e-05,6.473861887296115e-08,-8.741460113281295e-05,-0.00021231703937254955,-7.468394166617753e-05,6.037684193357934e-07,-4.1497720735128696e-05,-8.799512720669315e-05,-9.694970759353293e-06,2.4517706305346725e-05,-3.4424687718454634e-06,-3.067103001451083e-05,-1.876407330899793e-05,-4.154458757121458e-06,-7.721670966138589e-06,-1.0149564162210845e-05,-2.5667859591993556e-05,7.096475159464517e-06,2.2498369343074124e-06,-4.5419245097551616e-07,-2.0582735142296014e-05,-2.8541509198693942e-05
A7,-0.00019606808987612768,-2.2025002319858424e-05,-0.0002976499908024568,-7.130544199696538e-05,-1.1772739185842522e-07,-2.7682552014407854e-05,-0.00013945083783789938,-7.390450151059194e-05,-4.6459028639885965e-07,-4.174150119548173e-05,-7.226378462077971e-05,-2.5417604808692492e-05,2.2733818609295625e-05,-3.7100005022429515e-06,-3.871782446269906e-05,-3.217332007394015e-05,4.149536129927122e-06,-7.446432086168023e-06,-1.442292765621937e-05,-2.8659494970790677e-05,2.1778836075886103e-06,4.316662495728267e-07,-3.690595125923141e-07,-2.1070623895770997e-05,-2.9149681498582083e-05
A8,-6.416664206258614e-05,-1.7605244999392998e-05,-0.0003028061261505869,-8.621548042920528e-05,7.130269296880037e-06,-3.745591593127657e-05,-7.357901207525263e-05,-7.678446466267862e-05,1.295572723191843e-06,-4.570161720236795e-05,-8.498990281129021e-05,-2.7453101882328362e-05,1.8898107881405003e-05,-2.1728350971431692e-06,-4.207239709921992e-05,-1.6492019939126092e-05,1.4207597846690835e-05,-2.8302736010214514e-05,-3.445035840532083e-05,-2.90227260713663e-05,1.2874654410357683e-05,3.6399384145397263e-07,8.603132964098267e-07,-1.7943879911055403e-05,-1.1159555897739912e-05
B1,3.3167525427015145e-06,-0.00013136187664510788,-0.00031178332160249045,-0.00010504007711489757,-1.0558163967601408e-06,2.699745605850155e-06,-0.000272522326901589,-7.636695548445984e-05,-1.4676048556635437e-05,-5.949532953475235e-05,-2.8868436043554734e-05,-4.4250984336912996e-05,1.005936088264013e-06,-1.6793262106804915e-05,-4.2382205379794614e-05,-1.1083636442894631e-05,2.9849060274807177e-05,-6.3357373486258884e-06,-9.053503359015808e-07,-2.767322460623944e-05,1.555872618963424e-06,4.7038889769782686e-07,-8.893267832579219e-07,-2.8591580616605285e-05,-6.9354424933296335e-06
B2,1.1592642457851587e-05,-3.7997710827849905e-05,-0.0002545278161805006,-0.00011869017627584641,-1.0558428248486128e-05,1.4127818078507248e-05,-5.858573489389018e-07,-7.758273010561109e-05,-1.091003571549396e-05,-6.076794765868703e-05,-2.0126377955760713e-05,-6.492527421243851e-05,1.2957471286466089e-06,-1.001667790433013e-05,-4.627016218043384e-05,-1.6854596600129533e-05,7.342528691703743e-05,-4.476320137218759e-06,-4.4400259782816646e-07,-2.9760251800489225e-05,-1.788337156145388e-08,-2.737790256250784e-07,1.278871840650916e-06,-2.7129785943629585e-05,-8.992655806105796e-07
