element,frequency_in_document
1110025L11RIK,0.0
1110057P08RIK,0.0
1600014K23RIK,0.0
1700001F09RIK,0.0
1700007B14RIK,0.0
1700008I05RIK,0.0
1700011A15RIK,0.0
1700011L22RIK,0.0
1700011M02RIK,0.0
1700012P22RIK,0.0
1700013H16RIK,0.0
1700015E13RIK,0.0
1700015F17RIK,0.0
1700015G11RIK,0.0
1700017D01RIK,0.0
1700020N15RIK,0.0
1700021F07RIK,0.0
1700024G13RIK,0.0
1700034E13RIK,0.0
1700042B14RIK,0.0
1700057G04RIK,0.0
1700063H04RIK,0.0
1700067P10RIK,0.0
1700080O16RIK,0.0
1700123K08RIK,0.0
1700129C05RIK,0.0
1810065E05RIK,0.0
2310061N02RIK,0.0
2310079G19RIK,0.0
3110039M20RIK,0.0
3110079O15RIK,0.0
3830417A13RIK,0.0
4833423E24RIK,0.0
4921504E06RIK,0.0
4921506M07RIK,0.0
4921511C20RIK,0.0
4921524L21RIK,0.0
4921530L21RIK,0.0
4930412D23RIK,0.0
4930415L06RIK,0.0
4930428D18RIK,0.0
4930435E12RIK,0.0
4930447A16RIK,0.0
4930447C04RIK,0.0
4930455H04RIK,0.0
4930505A04RIK,0.0
4930524N10RIK,0.0
4930533K18RIK,0.0
4930557A04RIK,0.0
4930564B18RIK,0.0
4930564D02RIK,0.0
4930595M18RIK,0.0
4931400O07RIK,0.0
4931422A03RIK,0.0
4932429P05RIK,0.0
4933403O08RIK,0.0
4933409G03RIK,0.0
4933411G06RIK,0.0
4933417A18RIK,0.0
4933428M09RIK,0.0
4933436I01RIK,0.0
5430401F13RIK,0.0
5530400C23RIK,0.0
6030469F06RIK,0.0
6030498E09RIK,0.0
8030411F24RIK,0.0
9230112D13RIK,0.0
9430007A20RIK,0.0
9430069I07RIK,0.0
A1BG,0.0
A330070K13RIK,0.0
A530053G22RIK,0.0
A630073D07RIK,0.0
A730017C20RIK,0.0
AADAT,0.0
ABCA14,0.0
ABO,0.0
ACCSL,0.0
ACSM5,0.0
ACTL6B,0.0
ACTRT1,0.0
ADAM18,0.0
ADAM2,0.0
ADAM20,0.0
ADAM25,0.0
ADAM3,0.0
ADAM5,0.0
ADCY9,0.0
ADPRHL1,0.0
AF251705,0.0
AFF2,0.0
AFM,0.0
AGBL4,0.0
AGTR1A,0.0
AGTR2,0.0
AHSG,0.0
AI607873,0.0
AKAP4,0.0
AKR1C6,0.0
ALS2CR11,0.0
AMBN,0.0
AMBP,0.0
AMTN,0.0
AMY2A5,0.0
ANG4,0.0
ANG5,0.0
ANG6,0.0
ANKEF1,0.0
ANKRD65,0.0
ANTXRL,0.0
APOC3,0.0
ARHGEF37,0.0
ASB9,0.0
ASGR1,0.0
ASPA,0.0
ASZ1,0.0
AU022751,0.0
AY761185,0.0
AYM1,0.0
BANF2,0.0
BC030500,0.0
BC048679,0.0
BC049702,0.0
BC051665,0.0
BC061212,0.0
BC080695,0.0
BCHE,0.0
BFSP1,0.0
BHLHA9,0.0
BHLHE23,0.0
BMP15,0.0
BMP4,0.0
BMP5,0.0
BPIFA6,0.0
BPIFB1,0.0
BPIFB2,0.0
BSPH1,0.0
BTG4,0.0
C4BP,0.0
C7,0.0
CABS1,0.0
CACNA2D2,0.0
CACNA2D3,0.0
CALM5,0.0
CALML3,0.0
CAPZA3,0.0
CASP14,0.0
CCDC113,0.0
CCDC172,0.0
CCDC54,0.0
CCDC70,0.0
CCER1,0.0
CCL12,0.0
CCL21A,0.0
CCL21C,0.0
CCL26,0.0
CD177,0.0
CD209D,0.0
CD209F,0.0
CDH26,0.0
CDH4,0.0
CDHR2,0.0
CDK15,0.0
CDR1,0.0
CDRT4,0.0
CEACAM11,0.0
CEACAM13,0.0
CES1C,0.0
CES1E,0.0
CES1F,0.0
CETN1,0.0
CHP2,0.0
CLDN1,0.0
CLDN17,0.0
CLDN2,0.0
CLDN22,0.0
CLDN24,0.0
CLEC18A,0.0
CLEC4A4,0.0
CLEC4B1,0.0
CLEC4B2,0.0
CLEC4D,0.0
CLEC4E,0.0
CLEC4N,0.0
CLPS,0.0
CML3,0.0
CMTM2B,0.0
CMTM5,0.0
CNTNAP3,0.0
COL4A6,0.0
COL6A4,0.0
CPB1,0.0
CPB2,0.0
CPN1,0.0
CPS1,0.0
CPXCR1,0.0
CPXM2,0.0
CRCT1,0.0
CREBL2,0.0
CRHR2,0.0
CRISP4,0.0
CRYGF,0.0
CRYM,0.0
CSN1S2B,0.0
CSRNP3,0.0
CST10,0.0
CST11,0.0
CTAG2,0.0
CTRC,0.0
CTS7,0.0
CTSG,0.0
CTTNBP2,0.0
CTXN2,0.0
CTXN3,0.0
CUX2,0.0
