element_name,element
Acute hepatitis,Acute hepatitis
Alcohol use disorders,Alcohol use disorders
Alzheimer's disease and other dementias,Alzheimer's disease and other dementias
Cardiovascular diseases,Cardiovascular diseases
Chronic kidney disease,Chronic kidney disease
Chronic respiratory diseases,Chronic respiratory diseases
Cirrhosis and other chronic liver diseases,Cirrhosis and other chronic liver diseases
Conflict and terrorism,Conflict and terrorism
Diabetes mellitus,Diabetes mellitus
Diarrheal diseases,Diarrheal diseases
Digestive diseases,Digestive diseases
Drowning,Drowning
Drug use disorders,Drug use disorders
Environmental heat and cold exposure,Environmental heat and cold exposure
Exposure to forces of nature,Exposure to forces of nature
"Fire, heat, and hot substances","Fire, heat, and hot substances"
HIV/AIDS,HIV/AIDS
Interpersonal violence,Interpersonal violence
Lower respiratory infections,Lower respiratory infections
Malaria,Malaria
Maternal disorders,Maternal disorders
Meningitis,Meningitis
Neonatal disorders,Neonatal disorders
Neoplasms,Neoplasms
Nutritional deficiencies,Nutritional deficiencies
Parkinson's disease,Parkinson's disease
Poisonings,Poisonings
Protein-energy malnutrition,Protein-energy malnutrition
Road injuries ,Road injuries 
Self-harm,Self-harm
Tuberculosis,Tuberculosis
