,document,Cause,Deaths
0,1990,HIV/AIDS,-0.0033616386602331435
1,1991,HIV/AIDS,-0.0024000926750690826
2,1992,HIV/AIDS,-0.001566375245971357
3,1993,HIV/AIDS,-0.0009188617119143573
4,1994,HIV/AIDS,-0.0004650889603030838
5,1995,HIV/AIDS,-0.00015146559703321555
6,1996,HIV/AIDS,-2.316264234167374e-05
7,1997,HIV/AIDS,1.7486336420068224e-06
8,1998,HIV/AIDS,6.337257177253569e-05
9,1999,HIV/AIDS,0.00020266839383096787
10,2000,HIV/AIDS,0.00038412001561047987
11,2001,HIV/AIDS,0.0005757810404576455
12,2002,HIV/AIDS,0.0007327357113572725
13,2003,HIV/AIDS,0.0008714754181114222
14,2004,HIV/AIDS,0.0009436095835455224
15,2005,HIV/AIDS,0.000888331050481599
16,2006,HIV/AIDS,0.0007399274815046565
17,2007,HIV/AIDS,0.0005091426171806913
18,2008,HIV/AIDS,0.00026975853753211836
19,2009,HIV/AIDS,0.00013336142394359575
20,2010,HIV/AIDS,4.00964268569261e-05
21,2011,HIV/AIDS,4.581920635946305e-06
22,2012,HIV/AIDS,-7.0923880768719e-06
23,2013,HIV/AIDS,-5.0316545693829e-05
24,2014,HIV/AIDS,-0.00011061859827163952
25,2015,HIV/AIDS,-0.0001877739560935982
26,2016,HIV/AIDS,-0.00026268953205033237
27,2017,HIV/AIDS,-0.0003846578931014973
28,2018,HIV/AIDS,-0.0005621345723316891
29,2019,HIV/AIDS,-0.0006937097624866223
30,1990,Diarrheal diseases,0.0013943891003021904
31,1991,Diarrheal diseases,0.0013178003156540776
32,1992,Diarrheal diseases,0.0011666138879579749
33,1993,Diarrheal diseases,0.0008809537391513116
34,1994,Diarrheal diseases,0.0006354374388789349
35,1995,Diarrheal diseases,0.0005143238659748115
36,1996,Diarrheal diseases,0.0004056768444949221
37,1997,Diarrheal diseases,0.0003233863753126934
38,1998,Diarrheal diseases,0.0002501524925032205
39,1999,Diarrheal diseases,0.0001626870553227233
40,2000,Diarrheal diseases,9.506897558300177e-05
41,2001,Diarrheal diseases,4.414212574901932e-05
42,2002,Diarrheal diseases,9.283561600453979e-06
43,2003,Diarrheal diseases,-3.1543946044836416e-08
44,2004,Diarrheal diseases,-1.3476613901855245e-05
45,2005,Diarrheal diseases,-3.3752731252898686e-05
46,2006,Diarrheal diseases,-3.8465941753662147e-05
47,2007,Diarrheal diseases,-5.9341160989814226e-05
48,2008,Diarrheal diseases,-0.00010206845399529652
49,2009,Diarrheal diseases,-0.00015862626678448451
50,2010,Diarrheal diseases,-0.0002417157380202985
51,2011,Diarrheal diseases,-0.00027726867276272986
52,2012,Diarrheal diseases,-0.0003966856837724431
53,2013,Diarrheal diseases,-0.0005065642372872573
54,2014,Diarrheal diseases,-0.0006663330045162466
55,2015,Diarrheal diseases,-0.0008292942437265602
56,2016,Diarrheal diseases,-0.000978296275317445
57,2017,Diarrheal diseases,-0.00104119602773495
58,2018,Diarrheal diseases,-0.001280838657799886
59,2019,Diarrheal diseases,-0.0015087213555670474
