,row_2002_data
HIV/AIDS,0.0007327357113572725
Malaria,2.620486226599455e-05
Tuberculosis,2.6196101086148707e-05
Protein-energy malnutrition,2.2666965839419093e-05
Nutritional deficiencies,1.6877174855040164e-05
Neonatal disorders,1.5778922208688358e-05
Interpersonal violence,1.0993897136009085e-05
Diarrheal diseases,9.283561600453979e-06
Environmental heat and cold exposure,5.558432753074901e-06
Alcohol use disorders,4.872470133918778e-06
Maternal disorders,3.6279860878128017e-06
Meningitis,3.074974885679797e-06
Road injuries ,2.076835521781236e-06
Drowning,1.93282086734428e-06
Self-harm,1.5353864512775183e-06
Acute hepatitis,1.3534618820435022e-06
"Fire, heat, and hot substances",7.022041394588578e-07
Poisonings,3.3980920666108153e-07
Drug use disorders,-4.301369833359709e-07
Lower respiratory infections,-8.68489539317726e-07
Cirrhosis and other chronic liver diseases,-8.788055310691219e-07
Digestive diseases,-2.4853981280199594e-06
Parkinson's disease,-7.485377263048303e-06
Diabetes mellitus,-1.6029346123375382e-05
Chronic kidney disease,-2.4567537962688797e-05
Cardiovascular diseases,-3.2336697275111344e-05
Neoplasms,-6.264476749687177e-05
Alzheimer's disease and other dementias,-7.04480817886765e-05
Conflict and terrorism,-8.184172180247497e-05
Exposure to forces of nature,-0.00023327135106364453
