,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis,Parkinson's disease,Acute hepatitis,Maternal disorders,Self-harm,Cirrhosis and other chronic liver diseases,Digestive diseases,Road injuries ,Interpersonal violence,Environmental heat and cold exposure,Drug use disorders,"Fire, heat, and hot substances",Alcohol use disorders,Poisonings,Chronic respiratory diseases
1990,-0.0033616386602331435,0.0013943891003021904,0.0008186305721466051,0.0007761928234513637,-0.0006887669084989327,0.0006958659121982622,0.0009448597403745032,-0.000559134331706913,2.8506212540802925e-06,-0.0004439673183884857,0.0004294044653384002,-0.00034922736984153513,1.2464047936864772e-05,-0.0003594478804665063,0.0002450540389961457,3.669021386619399e-05,0.00015071755666850575,-9.301352767806902e-05,8.176094099131661e-05,7.85084150468333e-05,6.285502714596051e-06,-3.56065363651683e-05,-1.6804412414894807e-05,4.662873787957683e-06,-4.803286984457155e-07,2.0299408758350813e-07,-3.0310553648109346e-05,8.877114797712477e-06,-2.2310417722881887e-05,5.488081701099186e-06,-9.316671781202813e-08
1991,-0.0024000926750690826,0.0013178003156540776,0.0006704486457189884,0.0006451043560447003,-0.0006292890965449187,0.000564966177526357,0.0007871183760312615,-0.0004990762164016581,0.0005341802514517817,-0.00043774820747066734,0.00040517969186751063,-0.00033358795371891655,-9.382036531283436e-06,-0.0003297017893205173,0.00021156004460132086,4.391676468630838e-05,0.00013003829315701382,-8.711454645168686e-05,7.315354232864722e-05,6.307308070594006e-05,8.097222611623404e-06,-3.4221488797760266e-05,-1.6781045134684402e-05,2.4977466295979505e-06,-1.6006097045261125e-10,4.812243851294152e-07,-1.7476183577765206e-05,8.123060129942614e-06,-1.4960069530761986e-05,4.317130324944026e-06,9.669258416389543e-08
1992,-0.001566375245971357,0.0011666138879579749,0.0005417579604631705,0.0005519764802137551,-0.0005350789366147879,0.0004539104642595248,0.0006846093426028047,-0.00043722920414474486,-0.00016815537709368383,-0.0003605399153105097,0.0004150626974837807,-0.0003020768235427443,-7.427994202463507e-05,-0.0002857113891812993,0.00018134721755541238,3.5007185480722346e-05,0.00011697066843885915,-7.930796795080466e-05,6.51411499381924e-05,6.0023533935799035e-05,1.3238377316193586e-05,-2.9450655706580162e-05,-1.3470295438524466e-05,2.2063630004021833e-06,4.038176739073291e-06,2.0124995499144895e-06,-9.523166472729966e-06,8.051873457998009e-06,-5.898107851758384e-06,4.163775521087663e-06,2.003855948989083e-06
1993,-0.0009188617119143573,0.0008809537391513116,0.0004168864293026633,0.00043170046705263195,-0.00045244942720658755,0.0003500866702845387,0.0005381097002666382,-0.00039252450899022106,-7.464687081641712e-05,-0.00026047579344849747,0.00030402866588421715,-0.00028382030069080315,-7.577042521528997e-05,-0.0002508513296573692,0.00015947592058198788,2.8736163807347153e-05,9.220636692925071e-05,-7.153968213404431e-05,5.442349184307918e-05,4.25251629152417e-05,1.832871334892861e-05,-2.4535581395837948e-05,-1.1954854418498302e-05,1.2098182250680034e-06,1.487496926071472e-05,8.379544663712538e-06,-4.862803144896585e-06,8.515639715997523e-06,-5.169114332852353e-07,4.298666197588203e-06,2.6843331071235124e-06
1994,-0.0004650889603030838,0.0006354374388789349,0.00030384383739355146,0.0003031535875509385,-0.0004599566175432822,0.0002571638087197933,0.00037457323251926123,-0.0003662777846281239,-0.00016517650680935588,-0.0002940100060458044,0.00021403767466777546,-0.0002740354959230595,0.0027307022543669266,-0.00023486776275083616,0.0001327358408122057,1.3296812542345463e-05,6.45568389386229e-05,-6.999617812039822e-05,4.14986090052611e-05,3.284540028868814e-05,2.3586475354387283e-05,-2.570845017465335e-05,-1.6893762102159946e-05,3.402582570662452e-07,1.4560093633227361e-05,1.4751380807969869e-05,-1.9563193976152824e-06,7.827601564318397e-06,1.397547194047154e-07,3.388778892654369e-06,4.774927650721435e-08
1995,-0.00015146559703321555,0.0005143238659748115,0.0005261238194735555,0.00027497823380395357,-0.0003526815921636832,0.0004933959760429383,0.00032459630610427075,-0.00030281507741006654,-9.559482431954243e-05,-0.00023532782131276825,0.00019401518676884656,-0.0002297165389305864,-6.326230649197342e-05,-0.0001885281257728924,0.00012007946938693875,1.6993592869323708e-05,5.857123597405008e-05,-5.892332137670883e-05,3.711628474801197e-05,2.953967989424407e-05,2.949921919225202e-05,-1.7343975760252504e-05,-1.1302395319413199e-05,1.2615146111528855e-06,1.6275717304021955e-05,1.5360547897450583e-05,-4.4491924309304e-07,6.819107730838211e-06,6.881764220369296e-07,2.993763813093818e-06,6.120621983020781e-07
1996,-2.316264234167374e-05,0.0004056768444949221,0.0003600798343437995,0.0002265732806888605,-0.0002929590939963287,0.0003359098620028542,0.00024464609180122054,-0.0002534149863226943,-0.00013900035509671935,-0.00021299945129405785,0.00016452578485308747,-0.00018914735478718224,-1.220946021923252e-05,-0.00014658272533274496,9.025755063722999e-05,2.117612950356708e-05,6.805115769334283e-05,-4.917983024360916e-05,2.9377651839433992e-05,2.505242731518022e-05,2.358571580270629e-05,-1.387880526738342e-05,-9.845855508081448e-06,8.360813640534241e-07,7.922112323863965e-06,7.1955450247589955e-06,-1.1882547561080711e-07,5.025142182584418e-06,4.838770842197483e-07,1.8522395224688503e-06,2.0475536400617767e-06
1997,1.7486336420068224e-06,0.0003233863753126934,0.00028024175086006757,0.00017931082854783257,-0.00025584415551859526,0.0002633593303578165,0.0001760676222129602,-0.00021863089632911232,-0.00010920066196257774,-0.00020024805859399607,0.00015506479291287198,-0.00014914039496869889,-1.4484993087563591e-06,-0.00011132259980589448,6.798862789537084e-05,3.0426912327397612e-05,4.040678560498655e-05,-4.087064804243328e-05,2.4970655416134722e-05,2.4520635551524646e-05,2.1188162862475894e-05,-1.1679605937914056e-05,-8.776360313486999e-06,6.54323905643488e-07,3.988725942015935e-06,2.703415108678928e-06,-8.47044357648482e-08,3.926238520319357e-06,1.3258316928977637e-07,8.256425000303312e-07,3.616419510631163e-06
1998,6.337257177253569e-05,0.0002501524925032205,0.00020210801373007924,0.0001352667640512526,-0.00021085703948884888,0.00019476171411205432,0.00011352393531076973,-0.00018701710579244147,-1.34363178256032e-12,-0.00019594783918317187,0.0001365834937029609,-0.00011401785378429403,2.2173491891515278e-07,-8.510658958792009e-05,5.347327675061706e-05,3.104810641080865e-05,2.7962354189112963e-05,-3.341780513399381e-05,1.955223718275303e-05,2.164974970678672e-05,2.13468978521031e-05,-1.0512394085714593e-05,-9.049741591827675e-06,4.95680983491332e-07,4.398958668246723e-06,3.115559708399338e-06,9.394654752671096e-09,2.3391411061226013e-06,8.551735982059984e-08,3.714177347054528e-07,2.5621514845758126e-06
1999,0.00020266839383096787,0.0001626870553227233,0.00013186352474224658,8.738009652449691e-05,-0.00016514579121090518,0.00013322843875812878,5.7475642259356566e-05,-0.0001615515477701075,2.7962346185068514e-05,-0.00015558333566952683,0.00010904118380384393,-8.977282550652783e-05,3.556748242185566e-05,-6.84425354710844e-05,3.425896810615336e-05,1.898515586887088e-05,2.0179774035975232e-05,-2.7008038718301158e-05,1.38417200601443e-05,1.7547311433040353e-05,2.176798714477327e-05,-9.488994527562776e-06,-9.489006847834152e-06,7.436068520259224e-07,5.768811840491252e-06,1.4653079617534906e-06,1.193067321766353e-07,2.143076016787181e-06,4.340874320153321e-07,2.7147903806788487e-07,6.371747799609044e-07
