element_name,element
USA,USA
Taiwan,Taiwan
China,China
Japan,Japan
France,France
Bermuda,Bermuda
Germany,Germany
Sweden,Sweden
Switzerland,Switzerland
Finland,Finland
Hong Kong,Hong Kong
Canada,Canada
Singapore,Singapore
South Korea,South Korea
Argentina,Argentina
Netherlands,Netherlands
Ireland,Ireland
Poland,Poland
India,India
Luxembourg,Luxembourg
UK,UK
Denmark,Denmark
Israel,Israel
Australia,Australia
Spain,Spain
South Africa,South Africa
Hungary,Hungary
Belgium,Belgium
Italy,Italy
Brazil,Brazil
Indonesia,Indonesia
Russia,Russia
Saudi Arabia,Saudi Arabia
Czech Republic,Czech Republic
Norway,Norway
Austria,Austria
Colombia,Colombia
Portugal,Portugal
Turkey,Turkey
Romania,Romania
Mexico,Mexico
Chile,Chile
Peru,Peru
Cayman Islands,Cayman Islands
New Zealand,New Zealand
Philippines,Philippines
Isle of Man,Isle of Man
Kazakhstan,Kazakhstan
Iceland,Iceland
Malaysia,Malaysia
Greece,Greece
Gibraltar,Gibraltar
Jordan,Jordan
Kuwait,Kuwait
