,element,Country,Marketcap
0,Electricity,Saudi Arabia,-0.019078288928215392
1,Food,Saudi Arabia,-0.008446145928102673
2,Insurance,Saudi Arabia,-0.019078288928215392
3,Oil&Gas,Saudi Arabia,0.08183905110626377
4,Pharmaceuticals,Saudi Arabia,-0.019078288928215392
5,Real Estate,Saudi Arabia,-0.019078288928215392
6,Retail,Saudi Arabia,-0.01571338088195676
7,Technology,Saudi Arabia,-0.019078288928215392
8,Electricity,Switzerland,-0.012644495358061045
9,Food,Switzerland,0.025098170995476312
10,Insurance,Switzerland,0.0026522064739568883
11,Oil&Gas,Switzerland,-0.017495625861867575
12,Pharmaceuticals,Switzerland,0.005989312077389994
13,Real Estate,Switzerland,-0.012193465335005989
14,Retail,Switzerland,-0.019849511503618
15,Technology,Switzerland,-0.010451541031389313
16,Electricity,Spain,0.010205009167501847
17,Food,Spain,-0.0026023038264620436
18,Insurance,Spain,-0.001693590703663392
19,Oil&Gas,Spain,-0.0015091016428946888
20,Pharmaceuticals,Spain,-0.0022608268001933812
21,Real Estate,Spain,-0.005717655605425824
22,Retail,Spain,0.0022508714723407514
23,Technology,Spain,-0.0035655876916161327
24,Electricity,Italy,0.008731962998517202
25,Food,Italy,-0.003081741959225893
26,Insurance,Italy,0.0004936214893278847
27,Oil&Gas,Italy,0.0001193334554303782
28,Pharmaceuticals,Italy,-0.0017133431311085092
29,Real Estate,Italy,-0.0045020904654426595
30,Retail,Italy,-0.0045020904654426595
31,Technology,Italy,-0.0045020904654426595
32,Electricity,China,0.007904788849844555
33,Food,China,-0.0002872253414442547
34,Insurance,China,0.0004415522596077151
35,Oil&Gas,China,0.0010314972653586527
36,Pharmaceuticals,China,-0.005439636220604626
37,Real Estate,China,-0.00572390964396941
38,Retail,China,-0.00019045365933639162
39,Technology,China,-0.00022303538118012426
40,Electricity,South Korea,0.00768340767950051
41,Food,South Korea,-0.0013592327494766118
42,Insurance,South Korea,-0.00030286444770748243
43,Oil&Gas,South Korea,-0.002326003972849022
44,Pharmaceuticals,South Korea,-0.00265063215041387
45,Real Estate,South Korea,-0.002939842570149119
46,Retail,South Korea,4.791263548256143e-05
47,Technology,South Korea,-0.0007590330507189105
48,Electricity,Norway,0.007068819195739635
49,Food,Norway,5.61628231032145e-05
50,Insurance,Norway,-0.0011423732389187714
51,Oil&Gas,Norway,0.0011214248467873132
