document,element,frequency_in_document
Technology,USA,1966000000000.0
Technology,Taiwan,64750000000.0
Technology,China,42500000000.0
Technology,USA,170420000000.0
Technology,Japan,21530000000.0
Technology,China,187120000000.0
Technology,USA,3179000000000.0
Technology,USA,1991000000000.0
Technology,Japan,29020000000.0
Technology,USA,338720000000.0
Technology,USA,2702000000000.0
Technology,France,129970000000.0
Technology,USA,88530000000.0
Technology,USA,556060000000.0
Technology,Bermuda,5720000000.0
Technology,USA,160180000000.0
Technology,Japan,20160000000.0
Technology,Japan,103810000000.0
Technology,Germany,216710000000.0
Technology,China,376920000000.0
Technology,Sweden,16750000000.0
Technology,Taiwan,24160000000.0
Technology,China,81230000000.0
Technology,Switzerland,45300000000.0
Technology,USA,43320000000.0
Technology,Finland,18970000000.0
Technology,USA,200550000000.0
Technology,Hong Kong,13180000000.0
Technology,Japan,34890000000.0
Technology,Canada,2380000000.0
Technology,China,5090000000.0
Technology,USA,290170000000.0
Technology,USA,41590000000.0
Technology,USA,1333000000000.0
Technology,Singapore,31670000000.0
Technology,USA,100400000000.0
Technology,South Korea,34180000000.0
Technology,USA,23310000000.0
Technology,USA,690000000.0
Technology,Germany,45300000000.0
Technology,USA,28600000000.0
Technology,USA,15410000000.0
Technology,Switzerland,38430000000.0
Technology,USA,195440000000.0
Technology,France,4960000000.0
Technology,Germany,9320000000.0
Technology,USA,17090000000.0
Technology,Canada,57030000000.0
Technology,USA,141200000000.0
Technology,China,36080000000.0
Technology,USA,90420000000.0
Technology,Argentina,76420000000.0
Technology,Netherlands,391610000000.0
Technology,Netherlands,62660000000.0
Technology,USA,176960000000.0
Technology,USA,3300000000.0
Technology,South Korea,11590000000.0
Technology,Ireland,18600000000.0
Technology,China,50730000000.0
Technology,USA,155800000000.0
Technology,Poland,1350000000.0
Technology,China,32920000000.0
Technology,Japan,12220000000.0
Technology,USA,158570000000.0
Technology,USA,8240000000.0
Technology,China,63380000000.0
Technology,USA,30340000000.0
Technology,USA,1460000000.0
Technology,USA,10170000000.0
Technology,USA,70520000000.0
Technology,India,3640000000.0
Technology,USA,216950000000.0
Technology,Taiwan,9240000000.0
Technology,USA,15200000000.0
Technology,Luxembourg,8640000000.0
Technology,USA,31760000000.0
Technology,USA,2265000000000.0
Technology,USA,98500000000.0
Technology,USA,7770000000.0
Technology,China,5290000000.0
Technology,China,27220000000.0
Technology,USA,275550000000.0
Technology,France,56070000000.0
Technology,Finland,2450000000.0
Technology,Canada,9610000000.0
Technology,USA,3020000000.0
Technology,Japan,5670000000.0
Technology,USA,124300000000.0
Technology,USA,24440000000.0
Technology,USA,48240000000.0
Technology,China,21710000000.0
Technology,USA,1250000000.0
Technology,Japan,31020000000.0
Technology,Netherlands,35950000000.0
Technology,China,23660000000.0
Technology,France,2870000000.0
Technology,USA,158120000000.0
Technology,USA,2140000000.0
Technology,USA,640660000000.0
Technology,Taiwan,20720000000.0
Pharmaceuticals,USA,87900000000.0
Pharmaceuticals,USA,15590000000.0
Pharmaceuticals,USA,358550000000.0
Pharmaceuticals,China,7740000000.0
Pharmaceuticals,Switzerland,198610000000.0
Pharmaceuticals,Switzerland,192830000000.0
Pharmaceuticals,Germany,28780000000.0
Pharmaceuticals,France,119500000000.0
Pharmaceuticals,UK,215320000000.0
Pharmaceuticals,USA,149150000000.0
Pharmaceuticals,UK,83960000000.0
Pharmaceuticals,USA,319490000000.0
Pharmaceuticals,Hong Kong,3860000000.0
Pharmaceuticals,Germany,71840000000.0
Pharmaceuticals,Denmark,559500000000.0
Pharmaceuticals,USA,17370000000.0
Pharmaceuticals,USA,21450000000.0
Pharmaceuticals,USA,296610000000.0
Pharmaceuticals,Japan,42610000000.0
Pharmaceuticals,China,17350000000.0
Pharmaceuticals,Ireland,25770000000.0
Pharmaceuticals,USA,722190000000.0
Pharmaceuticals,India,44320000000.0
Pharmaceuticals,USA,13740000000.0
Pharmaceuticals,USA,99550000000.0
Pharmaceuticals,Israel,15540000000.0
Pharmaceuticals,Japan,22610000000.0
Pharmaceuticals,Australia,88770000000.0
Pharmaceuticals,China,6540000000.0
Pharmaceuticals,India,13550000000.0
Pharmaceuticals,India,12140000000.0
Pharmaceuticals,USA,144690000000.0
Pharmaceuticals,Spain,5460000000.0
Pharmaceuticals,India,11610000000.0
Pharmaceuticals,India,8860000000.0
Pharmaceuticals,China,38860000000.0
Pharmaceuticals,Canada,3270000000.0
Pharmaceuticals,South Africa,3690000000.0
Pharmaceuticals,Switzerland,44190000000.0
Pharmaceuticals,USA,10280000000.0
Pharmaceuticals,Japan,57950000000.0
Pharmaceuticals,USA,85600000000.0
Pharmaceuticals,India,6790000000.0
Pharmaceuticals,India,12030000000.0
Pharmaceuticals,India,4070000000.0
Pharmaceuticals,India,7650000000.0
Pharmaceuticals,India,3560000000.0
Pharmaceuticals,India,3930000000.0
Pharmaceuticals,India,2310000000.0
Pharmaceuticals,Japan,18380000000.0
Pharmaceuticals,USA,74500000000.0
Pharmaceuticals,India,10450000000.0
Pharmaceuticals,USA,101010000000.0
Pharmaceuticals,China,7470000000.0
Pharmaceuticals,Hungary,4860000000.0
Pharmaceuticals,Japan,11310000000.0
Pharmaceuticals,USA,28370000000.0
Pharmaceuticals,China,12140000000.0
Pharmaceuticals,China,15850000000.0
Pharmaceuticals,USA,4670000000.0
Pharmaceuticals,USA,7270000000.0
Pharmaceuticals,Ireland,4230000000.0
Pharmaceuticals,Japan,4590000000.0
Pharmaceuticals,USA,29600000000.0
Pharmaceuticals,UK,5070000000.0
Pharmaceuticals,South Africa,5190000000.0
Pharmaceuticals,Belgium,23900000000.0
Pharmaceuticals,Japan,56250000000.0
