element,frequency_in_document
Argentina,81060000000.0
Australia,454390000000.0
Austria,33170000000.0
Belgium,83130000000.0
Bermuda,124170000000.0
Brazil,194670000000.0
Canada,1004500000000.0
Cayman Islands,2060000000.0
Chile,24080000000.0
China,2635898140000.0
Colombia,24050000000.0
Czech Republic,39820000000.0
Denmark,671220000000.0
Finland,90630000000.0
France,743190000000.0
Germany,829880000000.0
Gibraltar,270000000.0
Greece,14150000000.0
Hong Kong,374130000000.0
Hungary,11390000000.0
Iceland,8520000000.0
India,871546260000.0
Indonesia,95430000000.0
Ireland,89900070000.0
Isle of Man,8220000000.0
Israel,53650000000.0
Italy,236610000000.0
Japan,1451737850000.0
Jordan,620000000.0
Kazakhstan,42840000000.0
Kuwait,2130000000.0
Luxembourg,24907330000.0
Malaysia,40300000000.0
Mexico,112660000000.0
Netherlands,631360000000.0
New Zealand,4230000000.0
Norway,227780000000.0
Peru,2700000000.0
Philippines,13510000000.0
Poland,45040000000.0
Portugal,47870000000.0
Romania,5350000000.0
Russia,54030000000.0
Saudi Arabia,1986340000000.0
Singapore,117140000000.0
South Africa,47190000000.0
South Korea,174570000000.0
Spain,340910000000.0
Sweden,141280000000.0
Switzerland,1181640000000.0
Taiwan,158220000000.0
Turkey,23530000000.0
UK,1295814520000.0
USA,34001543430000.0
