,row_Electricity_data
Spain,0.010205009167501847
Italy,0.008731962998517202
China,0.007904788849844555
South Korea,0.00768340767950051
Norway,0.007068819195739635
Germany,0.004685565914194941
Czech Republic,0.0021251320629057067
Malaysia,0.001812331261507689
India,0.0018087346715485444
Portugal,0.0014051032852681045
Brazil,0.00111954591027722
Chile,0.0008652156555005535
Finland,0.00044955943927229625
Greece,0.00041831696158990255
Philippines,0.0002786285211888395
Denmark,0.00020905892980269515
Austria,0.00010820597031569308
Poland,9.490435763830166e-05
Romania,5.5461734496430206e-05
Israel,-1.1086739862490645e-06
France,-3.2189555896682215e-06
Argentina,-7.557426704505472e-06
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
Isle of Man,-2.1570703443223967e-05
Kuwait,-3.7924915561332835e-05
Indonesia,-4.3623555343856254e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
Hong Kong,-6.321246048436168e-05
New Zealand,-9.11302633158355e-05
Kazakhstan,-0.00011241957852891908
Hungary,-0.00011801960332542044
Iceland,-0.000166583567559516
Colombia,-0.000227248345084384
Canada,-0.00023652363122754006
Turkey,-0.00028946675727865346
Luxembourg,-0.0003084927638440422
UK,-0.00042128248337079286
Russia,-0.0005105292342997617
South Africa,-0.0008143202655509809
Taiwan,-0.0010027904495646183
Ireland,-0.001185444203857115
Sweden,-0.001343496694703124
Belgium,-0.0013936057425842174
Australia,-0.0014259023075369852
Mexico,-0.001770785093829847
Bermuda,-0.0022010452565368304
Singapore,-0.0022853844757250654
Japan,-0.0033754864220641003
Netherlands,-0.003688433943111101
USA,-0.006494501968184602
Switzerland,-0.012644495358061045
Saudi Arabia,-0.019078288928215392
