,row_Food_data
Switzerland,0.025098170995476312
UK,0.008047808508069406
India,0.0031137106117556934
Singapore,0.0026606140176775026
Indonesia,0.0020236927164604176
Mexico,0.0019912989575931552
Ireland,0.0016305506652888315
Netherlands,0.0008336074136298696
Philippines,0.0008108823591730618
South Africa,0.0006112280341605362
Malaysia,0.00040710210541493384
Iceland,0.00037421161781375404
New Zealand,0.00031425718772831935
France,0.0003099721104905598
Cayman Islands,0.00012219896730654165
Canada,9.350014768507082e-05
Turkey,6.350191044049628e-05
Norway,5.61628231032145e-05
Gibraltar,3.410996084416124e-05
Belgium,2.5104589882459795e-05
Brazil,1.9169382326509948e-05
Sweden,1.731867794633595e-05
Japan,4.149535192991599e-06
Jordan,-1.1039177299542891e-05
Isle of Man,-2.1570703443223967e-05
Kuwait,-3.7924915561332835e-05
Peru,-4.8073836627041624e-05
Romania,-6.805547278553926e-05
Israel,-9.585555990734087e-05
Kazakhstan,-0.00011241957852891908
Hungary,-0.00011801960332542044
Austria,-0.00013850916418962022
Colombia,-0.000227248345084384
Greece,-0.00022942802765420353
Argentina,-0.00028289550772035395
China,-0.0002872253414442547
Luxembourg,-0.0003084927638440422
Chile,-0.0005102371246488687
Russia,-0.0005105292342997617
Poland,-0.0006114477368035189
Czech Republic,-0.0007468085678582201
Portugal,-0.0008180720825609576
Taiwan,-0.0010027904495646183
Finland,-0.0011249987676018854
South Korea,-0.0013592327494766118
Hong Kong,-0.0018980165844861615
Bermuda,-0.0022010452565368304
Spain,-0.0026023038264620436
Italy,-0.003081741959225893
Germany,-0.003917067099378446
Denmark,-0.005615849650053188
USA,-0.00591709413059139
Australia,-0.006586109838784663
Saudi Arabia,-0.008446145928102673
