,row_Insurance_data
Bermuda,0.006739661132858239
Germany,0.006730633077168915
Switzerland,0.0026522064739568883
Taiwan,0.0024226349572270597
Belgium,0.001866913455029977
Canada,0.0018204561316334609
India,0.0006553908069558143
Finland,0.000636284977300523
Italy,0.0004936214893278847
Japan,0.0004785859290026115
China,0.0004415522596077151
France,0.0003202316862818107
Poland,0.0002696471749224887
Peru,0.00021492249893856195
Kuwait,0.00016954997138486546
South Africa,0.0001661381632977766
Netherlands,0.00010942894283200058
Austria,6.265550953816668e-05
Jordan,4.935257383033645e-05
Hong Kong,2.690068588288429e-05
UK,2.3456564794996403e-05
Cayman Islands,2.3295536476809963e-05
Australia,9.63996422659796e-06
Gibraltar,-7.62971160802364e-06
Iceland,-1.545418248728527e-05
Portugal,-1.9519818003100058e-05
Isle of Man,-2.1570703443223967e-05
Brazil,-5.103259639616613e-05
Romania,-6.805547278553926e-05
New Zealand,-9.11302633158355e-05
Kazakhstan,-0.00011241957852891908
Hungary,-0.00011801960332542044
Colombia,-0.000227248345084384
Greece,-0.00022942802765420353
Israel,-0.00024914955745575565
Argentina,-0.00028289550772035395
Turkey,-0.00028946675727865346
South Korea,-0.00030286444770748243
Luxembourg,-0.0003084927638440422
Philippines,-0.00038082131742286105
Singapore,-0.0004434709172693522
Chile,-0.0005102371246488687
Russia,-0.0005105292342997617
Czech Republic,-0.0007468085678582201
Malaysia,-0.0010528451462601483
Norway,-0.0011423732389187714
Ireland,-0.001185444203857115
Sweden,-0.001343496694703124
Indonesia,-0.0015897785970304563
Spain,-0.001693590703663392
Mexico,-0.001770785093829847
Denmark,-0.002559350826114987
USA,-0.003195900450111762
Saudi Arabia,-0.019078288928215392
