,row_Oil&Gas_data
Saudi Arabia,0.08183905110626377
Canada,0.003638836911300748
Russia,0.002282410277926003
Brazil,0.001873643272391284
Norway,0.0011214248467873132
China,0.0010314972653586527
Colombia,0.0010159534922102608
UK,0.0009858055971762895
Indonesia,0.0004753407453476409
France,0.00045151590221072756
Poland,0.0002682830192001046
Turkey,0.00020675082405315878
Czech Republic,0.00018812887037088097
Hungary,0.0001788313848459916
Austria,0.00014737211395549467
Romania,0.00013782701154652332
Italy,0.0001193334554303782
Finland,8.182514052053412e-05
Greece,4.417878003098301e-05
Portugal,3.302699744304178e-05
New Zealand,1.865060874594028e-06
Argentina,-6.141269072030012e-06
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
Isle of Man,-2.1570703443223967e-05
Kuwait,-3.7924915561332835e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
South Africa,-8.982736487790912e-05
Kazakhstan,-0.00011241957852891908
Iceland,-0.000166583567559516
Ireland,-0.00019393582442959198
Australia,-0.00021292587943879423
Luxembourg,-0.0003084927638440422
Philippines,-0.00038082131742286105
Malaysia,-0.00044766420877236156
Chile,-0.0005102371246488687
Taiwan,-0.0006483427345397971
Bermuda,-0.0007231144843819523
Israel,-0.0008891079274926982
Belgium,-0.0009203560780491843
India,-0.0009896015410406464
Sweden,-0.001343496694703124
Spain,-0.0015091016428946888
Mexico,-0.001770785093829847
Singapore,-0.0022853844757250654
South Korea,-0.002326003972849022
Hong Kong,-0.0035454037415474163
Netherlands,-0.003688433943111101
Japan,-0.0052694648340876095
Denmark,-0.008814313244644024
Germany,-0.009240060581391702
USA,-0.015188526005697409
Switzerland,-0.017495625861867575
