,row_Technology_data
USA,0.023424947059691517
Netherlands,0.0025453378126255107
Argentina,0.0007367788401612582
Kazakhstan,0.0005025913977804779
Taiwan,0.000474512054782473
Isle of Man,9.643560433603005e-05
Sweden,2.7503934438196482e-05
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
Luxembourg,-2.4065692025524322e-05
Kuwait,-3.7924915561332835e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
Romania,-6.805547278553926e-05
New Zealand,-9.11302633158355e-05
Hungary,-0.00011801960332542044
Iceland,-0.000166583567559516
Finland,-0.00019905548613089548
Israel,-0.00021176062656954285
China,-0.00022303538118012426
Colombia,-0.000227248345084384
Greece,-0.00022942802765420353
Ireland,-0.00025290876431523067
Turkey,-0.00028946675727865346
Philippines,-0.00038082131742286105
Japan,-0.0004129993382458296
Singapore,-0.0004134813137995178
Poland,-0.00047238127472863146
Austria,-0.0004931051383250585
Chile,-0.0005102371246488687
Russia,-0.0005105292342997617
Czech Republic,-0.0007468085678582201
South Korea,-0.0007590330507189105
South Africa,-0.0008143202655509809
Portugal,-0.0008180720825609576
Malaysia,-0.0010528451462601483
Indonesia,-0.001099562820269425
Germany,-0.0012720679918221968
Belgium,-0.0013936057425842174
France,-0.001565411923042134
Bermuda,-0.0016393672075081995
Mexico,-0.001770785093829847
Brazil,-0.00296907444797192
Australia,-0.003012286302615885
Spain,-0.0035655876916161327
Norway,-0.0041856515275199065
Italy,-0.0045020904654426595
Canada,-0.004641966237366215
Hong Kong,-0.007553059053440164
Denmark,-0.008814313244644024
Switzerland,-0.010451541031389313
India,-0.0141634399343389
UK,-0.01778997292422367
Saudi Arabia,-0.019078288928215392
