element_name,element
Gene_1,Gene_1
Gene_10,Gene_10
Gene_11,Gene_11
Gene_12,Gene_12
Gene_13,Gene_13
Gene_14,Gene_14
Gene_15,Gene_15
Gene_16,Gene_16
Gene_17,Gene_17
Gene_18,Gene_18
Gene_19,Gene_19
Gene_2,Gene_2
Gene_20,Gene_20
Gene_21,Gene_21
Gene_22,Gene_22
Gene_23,Gene_23
Gene_24,Gene_24
Gene_25,Gene_25
Gene_26,Gene_26
Gene_27,Gene_27
Gene_28,Gene_28
Gene_29,Gene_29
Gene_3,Gene_3
Gene_30,Gene_30
Gene_31,Gene_31
Gene_32,Gene_32
Gene_33,Gene_33
Gene_34,Gene_34
Gene_35,Gene_35
Gene_36,Gene_36
Gene_37,Gene_37
Gene_38,Gene_38
Gene_39,Gene_39
Gene_4,Gene_4
Gene_40,Gene_40
Gene_41,Gene_41
Gene_42,Gene_42
Gene_43,Gene_43
Gene_44,Gene_44
Gene_45,Gene_45
Gene_46,Gene_46
Gene_47,Gene_47
Gene_48,Gene_48
Gene_49,Gene_49
Gene_5,Gene_5
Gene_50,Gene_50
Gene_6,Gene_6
Gene_7,Gene_7
Gene_8,Gene_8
Gene_9,Gene_9
