element,frequency_in_document
Gene_1,59.641840986130404
Gene_10,58.047734421293626
Gene_11,60.47143233057272
Gene_12,60.14132754174649
Gene_13,61.12736353323428
Gene_14,59.43058649152772
Gene_15,60.20693746881164
Gene_16,59.44537772567057
Gene_17,59.33968751268183
Gene_18,60.749016625447496
Gene_19,61.067401264523305
Gene_2,58.82598478801725
Gene_20,60.109501154212694
Gene_21,60.134017996552345
Gene_22,60.06297061381303
Gene_23,61.254374128548406
Gene_24,60.43322125576556
Gene_25,59.526026781085754
Gene_26,60.28499801738928
Gene_27,59.9106075008406
Gene_28,59.568024939265506
Gene_29,60.81313050271671
Gene_3,59.784583738589276
Gene_30,59.16456501177091
Gene_31,60.85852967831667
Gene_32,60.52257632415265
Gene_33,60.57525724221331
Gene_34,59.73810347823128
Gene_35,59.67448379232721
Gene_36,60.154135722028364
Gene_37,58.905284345252944
Gene_38,60.086785722687615
Gene_39,60.080507563578394
Gene_4,59.44544514629562
Gene_40,59.40917809911311
Gene_41,60.51279434366592
Gene_42,59.939266440797596
Gene_43,60.23856460527651
Gene_44,60.135660069491045
Gene_45,60.621077586215165
Gene_46,60.00186059853212
Gene_47,58.612838554640845
Gene_48,59.33136790237902
Gene_49,60.16189398722849
Gene_5,60.03843616970208
Gene_50,61.24471712579957
Gene_6,58.83341518428731
Gene_7,60.563268972542424
Gene_8,60.49872067368648
Gene_9,60.27511834135089
