,Gene_10,Gene_5,Gene_46,Gene_23,Gene_13,Gene_42,Gene_22,Gene_20,Gene_11,Gene_30,Gene_37,Gene_35,Gene_33,Gene_36,Gene_44,Gene_17,Gene_15,Gene_21,Gene_41,Gene_6,Gene_7,Gene_39,Gene_29,Gene_25,Gene_32,Gene_38,Gene_18,Gene_34,Gene_28,Gene_48,Gene_3,Gene_49,Gene_4,Gene_14,Gene_8,Gene_40,Gene_1,Gene_27,Gene_2,Gene_45,Gene_19,Gene_43,Gene_50,Gene_12,Gene_31,Gene_9,Gene_47,Gene_16,Gene_24,Gene_26
a1,-0.00557335654234686,0.00448894351848835,0.0043955035566524536,-0.0036414402171784954,0.003626208757431946,0.0031255300457011534,-0.0030934381672734585,-0.0024987424603167044,-0.0023749235307330553,0.0017602635494360225,-0.001665548566722794,0.0016144434212932999,-0.0013146277362338405,0.0012170647181414486,-0.0011961555281763572,-0.0010271223072953412,-0.0009411252828180868,0.0008820713180448529,0.0008321329902540699,0.0008054335253063708,-0.0007852916743929495,-0.0007804572607709114,-0.0007791045020211075,0.0006924810023675458,-0.0006025388874544638,-0.0004402358371564004,-0.0004372627027505161,0.0004058424964515487,-0.000405088942410905,-0.00039214039515937443,-0.0003077580677993896,-0.00029964141114374406,-0.0002959357290043033,-0.0002834535056362268,0.00026147567467954937,-0.0002286217092164276,0.00022214788145039945,-0.00015980765591591109,-0.00015670452199334256,-9.830301752040212e-05,-8.81766064809613e-05,6.590750825692562e-05,4.7778110850800275e-05,3.6794693700171023e-05,3.3598598644488174e-05,7.160219582928642e-06,-6.431352180161058e-06,-5.400497436141725e-06,2.504660187603575e-07,-2.373152735044785e-07
a10,-0.0005813404618474232,-0.00023396868243360245,-2.694792233155378e-06,-0.0009998206553112087,0.0024923587083215803,0.0031245314666583706,0.0026287631972583495,0.00241362980170515,0.0017232836200591134,-0.0004609220246363263,0.001595162802037739,-0.0011752712187066252,4.517489547921046e-05,-0.0014996214052934165,-0.001428595510247128,-9.150730805618625e-05,-7.020890759843758e-06,-0.0009914876948738088,0.00016842638680916234,0.00028301111449873743,0.0007127739024558929,-0.0013087398045676462,0.0008157374672333748,-0.0026120958992567915,-5.221896599723569e-05,0.0024682695977953735,0.0010475599459458624,-0.0014690389928725144,-1.1605158541408227e-05,-0.00040623374804062444,-0.0029096362543606018,-0.0019864248510907713,0.001094934989777226,-2.3656389509745142e-05,-0.00119245476802941,-0.0012122839390841349,2.4150772327546552e-05,-0.000224069315490248,-1.4314540099449673e-05,-0.0008846995717175601,-0.0012346305213310508,0.004574838287859144,-0.00026344896707213364,-0.0022985046905649328,2.733040637590856e-06,-0.0009737809615875327,3.382672198080553e-06,0.0006548794181243391,-0.0006462606062872557,-0.0019008894103574986
a100,-0.0026944150843929483,0.00204110760792499,-0.0009135021078711236,0.00014169645316293878,-0.008257639702119025,-0.0005749599897686038,-0.001332018745350274,0.0005083586041980306,1.8853287093474852e-05,-0.004064453004735405,-0.00023524037950976308,-0.005169557216300159,9.079031563172398e-05,-0.0013692391930594633,0.00028525690151408843,8.219618820948731e-08,-0.005063742657530576,1.7926895225092655e-05,0.00012409762146914556,0.0045166458255578605,0.0006458084831259285,-0.00017089690211218576,-0.0004909103293874585,-4.5083174045588395e-05,0.0010032016044328098,-0.00018564047297901917,0.004398883342033196,-0.0027694205670859137,2.324097658756635e-05,0.004151063891739885,-8.5277087247838e-05,-0.0025847082287601447,-1.3293713332674176e-05,-2.437845674249314e-06,0.0016138252870647107,-4.096713073925681e-05,-0.00022083771665262482,9.145303081033369e-07,-0.00532877162056848,0.0010774278425488143,-5.8269114552347216e-05,-0.0020103152962542763,-0.005132683364594929,0.0019488854626220943,-0.0003133291829569742,-0.00024105459254605095,0.008314641399447454,-0.0014443164299163406,-0.003030807451566628,0.002889308826663089
a1000,-0.00019169832091748607,0.0021998573112998474,0.004716297852609611,-0.0011096396648596872,-0.0011301903828692889,-0.0045252992280771925,0.006359874131462611,-0.0007764340634002606,-0.0005713501842508364,-3.783140774798869e-06,-5.263364022258606e-07,-5.3172448755067596e-05,1.561683070198575e-05,-0.00020594202790927317,-0.002585649088144352,0.0028972397794331407,0.0042532805296760364,-0.0019391902565096637,0.0037280662581547254,1.3549240534694933e-05,-0.0021635651847278546,-0.0014952254118371098,-0.00019167107777261086,4.7819672546086365e-06,-3.302417853623743e-05,5.1415133076767455e-05,-0.0038820743087523224,0.0006618011139990433,-1.8616746291599237e-08,-0.0009140876087656929,-2.767903583371519e-05,-0.0024266455018396717,6.9429283604925e-07,-7.075438097340638e-05,-0.0013121831741004291,-6.598295732858036e-05,-0.0018680325498525536,-9.9692075894803e-05,-0.0031109913202635123,0.003204182313704035,-0.0008466867606341283,0.00011001529830845843,-0.0028190056256878525,0.0004624119319105546,0.00020674947436287536,8.374666449985596e-06,5.1655350261535656e-05,0.003149187031922472,-0.0011735303308928694,-0.0004930480269287169
a1001,0.00019450788898892502,0.0005536407338629528,-0.001793558461222573,0.0013259006437343112,-0.001076444380229653,0.00017965114941604645,-3.6172018545694933e-06,0.001002566196668784,-6.0706435215362987e-05,0.000724226841006028,7.986792674412845e-06,2.583303050618141e-06,0.0036053059729307304,-0.00283594652970047,0.0001973311885058494,0.00010169516529045359,0.000904973170532731,-0.0017300753483832096,-0.0026398841869389508,-0.0006948790910386816,-0.002889589668276227,-0.00023421208391065547,-0.0020825940756409324,-0.0003313525531718816,0.00840813787355329,-4.754193600298596e-06,0.00030514078034206806,-0.0008650810096963025,4.695481880085306e-05,0.0001810051567911388,-6.587166103243772e-07,-0.0029615602110135007,0.00013689684577129118,-0.00017182918737888029,-2.5297791550862587e-05,-0.0005344971618500886,-0.0017610267387237095,0.0013676707244031066,-0.0004227470728265523,-0.002939744252104968,-0.0005676349627665119,-0.0006756082860419374,-0.0010080223814401372,-0.00041620944948218917,0.002269753839073567,-0.00010985970214948929,-3.2042888277798406e-06,-9.010635289053771e-05,0.005367488260597778,-0.002201007241841668
a1002,0.006675983575845262,0.00040132855432079267,-0.00020150652650672944,0.0002406646444991392,-0.004326653467951356,0.00012439445948110649,-9.353829116021334e-05,5.079019028972245e-05,0.0014890783073288894,-0.004577835467578363,0.0027192923451797527,0.0014150237938628926,-0.002196768657022819,-0.001425789816509925,6.832002167741808e-05,-0.0028631696940804837,0.0001777255151976223,0.004526255640247183,0.00042373279485849935,0.0001810978687012189,-0.0038970388643105825,-0.0005308802614160187,-0.00044218745598836916,0.00015964766625571202,0.0016061325081114354,-0.0002830506245583061,-0.0010387219430017594,-0.00012528053176130293,-0.0004770211196038466,-0.0007775866022656942,0.003717020460406695,-0.0006061933451908886,-3.846359716946636e-06,0.00039261357018196457,0.00044023266412489053,-0.0031229838605969186,-3.085039734886661e-05,0.0012143428103545259,-0.0012754749417623829,-0.0056674533066970855,2.213072042380864e-06,0.0010179375253150146,0.00024643798116052713,-0.001419150074456125,-0.00042007282024611806,-0.002789794402776024,0.00011544172280703816,-8.096383348366802e-05,-0.0019316174024835418,-0.002563331745753494
a1003,-0.0008576185251950889,0.0017104573162488694,-0.003109776059854316,0.0005050896318860901,-0.0062437777156928095,-0.0031920117840596647,-0.0027831259962668798,-0.00732295018196483,0.0016569505383123044,-0.0003906443726426332,-0.0034279190689858402,-0.00410086365904855,0.0006397724521962599,-0.0016961568332228946,-0.00024473908343072034,0.0008612014910236859,-0.004034737582527777,7.00488442790157e-05,0.005796510766010432,1.587258383995105e-05,0.0003266558514773486,0.0019082991493516652,-0.0004422766220011005,2.553296549252901e-06,-0.0005059261682080975,1.5208521673620074e-10,0.006795279810591651,-0.0007141281272845228,0.01144840407590728,-0.0009257982328575117,-0.0048155638988785715,-0.00016413713992553445,-0.00253679285519097,-0.005352689202013384,0.0004988663061043074,-0.0015124346507532842,-2.101964673939191e-05,-0.0003050882586071622,-0.00014417875087227106,-0.0003714463509220127,0.00020444450621284272,-0.002731851319944777,-0.0006369655817221108,-0.0001517524860250555,0.004081678788691929,-0.005311023428936985,0.0035174499279150137,-0.0014950483405203286,0.0014921202669148656,0.003711144144349935
a1004,-0.0060847686105620045,-0.0012733635999166832,-5.499295875899311e-06,-0.0029876225649573904,-0.00041020224284886355,-0.00019693431672622745,-6.416942595163875e-05,-0.0009518330934039695,-0.0007980339436022715,0.007762418323510385,0.0006728552818451757,-0.00038941913902466874,0.0010874100945457493,-0.005364537634915227,6.151980264121478e-05,-0.000664704071639652,0.000629240969096253,3.5100199581427705e-05,0.0008917504653369267,0.00026470205346433877,-0.002118474718635271,0.0003162331623355829,-1.4941982856304242e-07,0.0008903248873393171,-0.00011864915538533998,-2.922120407772863e-05,0.0013954880506639256,-0.0005193906731866317,0.0008593954253515832,-0.004071588389419017,5.356229851658683e-06,-2.8599998309810932e-05,0.003612436623520448,0.0008023652803244839,-0.0003817233001669183,0.004307528781237175,0.0003240676266444151,-6.339168636107604e-05,0.0004166866270849164,-0.000810259287640217,-8.612154616330025e-09,-0.004104444486184643,-0.00019880745007963248,-0.0022661889198377456,-0.00318038259416021,-0.003210758109923285,0.005349131146830737,-1.5121284256466503e-05,-0.00015010419791802428,-0.00358920010311043
a1005,-0.002826113958558112,-0.0003915143082325544,-0.00021947278224583328,0.00017589742707577226,-0.00040727856788056425,0.0005435410984760405,-0.0049595152594728974,-0.0016812681650834843,0.003920257897183747,0.0003953804097355947,-0.0037442482322267994,-0.00037654812381271116,-0.0040852116707107144,-0.0013841160913706462,0.0006028844456953389,2.0535865267998546e-05,-0.001961533407588573,0.005462083616709938,-0.0026752728321054083,-0.00022255132025781688,0.0030023110726460217,-0.006097691522850465,0.000255526380299857,-0.0003169091212007092,0.0002330536855459451,-2.2421142581536537e-05,-0.0017443923668958626,0.000999279303094115,0.004005991619426085,0.0003202676465044736,-0.0027849725421934396,0.00631207506119179,0.00011827549103872372,0.00033204780466728314,0.0003368774305886461,-0.003675257349984372,0.002413545565091304,-0.0003056136459165708,0.00011341251559267274,0.001243563249665936,0.0030191922213061682,0.00018255024422951798,-0.003167912947264426,-0.003304408932567867,-0.0005698516472430158,-0.0013378384292550092,-0.0016710292095928761,-0.0027734269053347575,-1.866733281419904e-05,-0.00022873143737004386
a1006,-0.002348250820941272,-0.001629252695134187,-0.00012478070469406277,-0.0022396727348719826,-0.00029482795310298315,0.0019757370201236944,0.004785527527547333,-0.0014785112613614993,2.4539630780589833e-05,-0.0006344535547859087,-0.00029905212825158986,-0.001325071316304674,-1.943873700422944e-05,0.001944981829218105,6.922466414760594e-05,-0.0016002389172584037,-0.0026640351342808967,-6.286661065087098e-06,0.0010042034097296417,-0.00010289389697063639,-0.0009328741513360923,0.01484757313320273,-0.00056810308002844,0.0006462599908342425,-0.0009743129130519715,-0.00010730003602603508,-0.0029346924123382274,-0.0008682741814689822,-0.0029495096856014115,-0.00021177501542009617,-0.00019159345636983395,-0.007116646764565214,0.0043874586818317155,0.0003161949955631819,0.0001684358290609865,-0.0012215171037245139,0.0001068358051038536,0.004567141420424312,-0.0009538896842986051,0.0021834121366433017,-0.000680564667422071,-0.004439046137711277,0.002324201372719631,-0.004186646375827467,-0.0064542185690447396,0.004200522779642796,-0.0023810307918227585,0.0027390343606638508,-0.0029792051947049834,-0.00030963278371614104
