,row_a69_data
Gene_27,0.010153805874219364
Gene_28,0.0062768795909408145
Gene_5,0.004129534623980615
Gene_49,0.0026968322968541234
Gene_18,0.002373151112564491
Gene_37,0.002178857986281304
Gene_19,0.0015152933484951277
Gene_46,0.001193242440585279
Gene_31,0.001182394723145276
Gene_13,0.001101120394836795
Gene_50,0.0009855769271748865
Gene_4,0.0009278975795688244
Gene_41,0.0007514348965100108
Gene_39,0.00018362909211932653
Gene_8,8.827271080718278e-05
Gene_48,4.977451058248584e-05
Gene_43,9.337212730455209e-06
Gene_30,-8.987877876606113e-06
Gene_3,-9.001390366561034e-06
Gene_32,-2.0274226413211018e-05
Gene_35,-7.34239965945046e-05
Gene_17,-9.491571383807144e-05
Gene_38,-0.00011848404562906376
Gene_15,-0.00014960876232479386
Gene_1,-0.0002488775636183562
Gene_22,-0.0002501572815418213
Gene_11,-0.00027358586142409093
Gene_7,-0.0002835206671132522
Gene_45,-0.00037586402032966943
Gene_14,-0.0004685964104872843
Gene_40,-0.000508015403536359
Gene_23,-0.0005376528199014085
Gene_44,-0.000610959369144314
Gene_24,-0.0006148870434917624
Gene_9,-0.0006543818185596848
Gene_29,-0.0007202884049213217
Gene_33,-0.0008812406243574539
Gene_25,-0.0010006406098857236
Gene_6,-0.0011063280903491918
Gene_42,-0.001234075300777611
Gene_47,-0.0014861132144882187
Gene_16,-0.001529364984941885
Gene_2,-0.002002722888212027
Gene_20,-0.002666176225920598
Gene_26,-0.00275886887718685
Gene_36,-0.003112880986332362
Gene_12,-0.003162242368578395
Gene_10,-0.0033463811042208857
Gene_34,-0.0034769635749632576
Gene_21,-0.008671445628130114
