,Gene_45,Gene_44,Gene_22,Gene_15,Gene_36,Gene_21,Gene_43,Gene_11,Gene_9,Gene_50,Gene_13,Gene_31,Gene_28,Gene_12,Gene_30,Gene_24,Gene_32,Gene_38,Gene_2,Gene_33,Gene_7,Gene_23,Gene_19,Gene_26,Gene_39
a1,-9.830301752040212e-05,-0.0011961555281763572,-0.0030934381672734585,-0.0009411252828180868,0.0012170647181414486,0.0008820713180448529,6.590750825692562e-05,-0.0023749235307330553,7.160219582928642e-06,4.7778110850800275e-05,0.003626208757431946,3.3598598644488174e-05,-0.000405088942410905,3.6794693700171023e-05,0.0017602635494360225,2.504660187603575e-07,-0.0006025388874544638,-0.0004402358371564004,-0.00015670452199334256,-0.0013146277362338405,-0.0007852916743929495,-0.0036414402171784954,-8.81766064809613e-05,-2.373152735044785e-07,-0.0007804572607709114
a10,-0.0008846995717175601,-0.001428595510247128,0.0026287631972583495,-7.020890759843758e-06,-0.0014996214052934165,-0.0009914876948738088,0.004574838287859144,0.0017232836200591134,-0.0009737809615875327,-0.00026344896707213364,0.0024923587083215803,2.733040637590856e-06,-1.1605158541408227e-05,-0.0022985046905649328,-0.0004609220246363263,-0.0006462606062872557,-5.221896599723569e-05,0.0024682695977953735,-1.4314540099449673e-05,4.517489547921046e-05,0.0007127739024558929,-0.0009998206553112087,-0.0012346305213310508,-0.0019008894103574986,-0.0013087398045676462
a100,0.0010774278425488143,0.00028525690151408843,-0.001332018745350274,-0.005063742657530576,-0.0013692391930594633,1.7926895225092655e-05,-0.0020103152962542763,1.8853287093474852e-05,-0.00024105459254605095,-0.005132683364594929,-0.008257639702119025,-0.0003133291829569742,2.324097658756635e-05,0.0019488854626220943,-0.004064453004735405,-0.003030807451566628,0.0010032016044328098,-0.00018564047297901917,-0.00532877162056848,9.079031563172398e-05,0.0006458084831259285,0.00014169645316293878,-5.8269114552347216e-05,0.002889308826663089,-0.00017089690211218576
a1000,0.003204182313704035,-0.002585649088144352,0.006359874131462611,0.0042532805296760364,-0.00020594202790927317,-0.0019391902565096637,0.00011001529830845843,-0.0005713501842508364,8.374666449985596e-06,-0.0028190056256878525,-0.0011301903828692889,0.00020674947436287536,-1.8616746291599237e-08,0.0004624119319105546,-3.783140774798869e-06,-0.0011735303308928694,-3.302417853623743e-05,5.1415133076767455e-05,-0.0031109913202635123,1.561683070198575e-05,-0.0021635651847278546,-0.0011096396648596872,-0.0008466867606341283,-0.0004930480269287169,-0.0014952254118371098
a1001,-0.002939744252104968,0.0001973311885058494,-3.6172018545694933e-06,0.000904973170532731,-0.00283594652970047,-0.0017300753483832096,-0.0006756082860419374,-6.0706435215362987e-05,-0.00010985970214948929,-0.0010080223814401372,-0.001076444380229653,0.002269753839073567,4.695481880085306e-05,-0.00041620944948218917,0.000724226841006028,0.005367488260597778,0.00840813787355329,-4.754193600298596e-06,-0.0004227470728265523,0.0036053059729307304,-0.002889589668276227,0.0013259006437343112,-0.0005676349627665119,-0.002201007241841668,-0.00023421208391065547
a1002,-0.0056674533066970855,6.832002167741808e-05,-9.353829116021334e-05,0.0001777255151976223,-0.001425789816509925,0.004526255640247183,0.0010179375253150146,0.0014890783073288894,-0.002789794402776024,0.00024643798116052713,-0.004326653467951356,-0.00042007282024611806,-0.0004770211196038466,-0.001419150074456125,-0.004577835467578363,-0.0019316174024835418,0.0016061325081114354,-0.0002830506245583061,-0.0012754749417623829,-0.002196768657022819,-0.0038970388643105825,0.0002406646444991392,2.213072042380864e-06,-0.002563331745753494,-0.0005308802614160187
a1003,-0.0003714463509220127,-0.00024473908343072034,-0.0027831259962668798,-0.004034737582527777,-0.0016961568332228946,7.00488442790157e-05,-0.002731851319944777,0.0016569505383123044,-0.005311023428936985,-0.0006369655817221108,-0.0062437777156928095,0.004081678788691929,0.01144840407590728,-0.0001517524860250555,-0.0003906443726426332,0.0014921202669148656,-0.0005059261682080975,1.5208521673620074e-10,-0.00014417875087227106,0.0006397724521962599,0.0003266558514773486,0.0005050896318860901,0.00020444450621284272,0.003711144144349935,0.0019082991493516652
a1004,-0.000810259287640217,6.151980264121478e-05,-6.416942595163875e-05,0.000629240969096253,-0.005364537634915227,3.5100199581427705e-05,-0.004104444486184643,-0.0007980339436022715,-0.003210758109923285,-0.00019880745007963248,-0.00041020224284886355,-0.00318038259416021,0.0008593954253515832,-0.0022661889198377456,0.007762418323510385,-0.00015010419791802428,-0.00011864915538533998,-2.922120407772863e-05,0.0004166866270849164,0.0010874100945457493,-0.002118474718635271,-0.0029876225649573904,-8.612154616330025e-09,-0.00358920010311043,0.0003162331623355829
a1005,0.001243563249665936,0.0006028844456953389,-0.0049595152594728974,-0.001961533407588573,-0.0013841160913706462,0.005462083616709938,0.00018255024422951798,0.003920257897183747,-0.0013378384292550092,-0.003167912947264426,-0.00040727856788056425,-0.0005698516472430158,0.004005991619426085,-0.003304408932567867,0.0003953804097355947,-1.866733281419904e-05,0.0002330536855459451,-2.2421142581536537e-05,0.00011341251559267274,-0.0040852116707107144,0.0030023110726460217,0.00017589742707577226,0.0030191922213061682,-0.00022873143737004386,-0.006097691522850465
a1006,0.0021834121366433017,6.922466414760594e-05,0.004785527527547333,-0.0026640351342808967,0.001944981829218105,-6.286661065087098e-06,-0.004439046137711277,2.4539630780589833e-05,0.004200522779642796,0.002324201372719631,-0.00029482795310298315,-0.0064542185690447396,-0.0029495096856014115,-0.004186646375827467,-0.0006344535547859087,-0.0029792051947049834,-0.0009743129130519715,-0.00010730003602603508,-0.0009538896842986051,-1.943873700422944e-05,-0.0009328741513360923,-0.0022396727348719826,-0.000680564667422071,-0.00030963278371614104,0.01484757313320273
