,document,Industry,Marketcap
0,Argentina,Technology,0.20718916263865372
1,Australia,Technology,-0.003619620078539207
2,Austria,Technology,-0.04836667018099622
3,Belgium,Technology,-0.08859024423092386
4,Bermuda,Technology,-0.029642772038273812
5,Brazil,Technology,-0.08859024423092386
6,Canada,Technology,-0.00037898106500052365
7,Cayman Islands,Technology,-0.08859024423092386
8,Chile,Technology,-0.08859024423092386
9,China,Technology,0.03871394256717539
10,Colombia,Technology,-0.08859024423092386
11,Czech Republic,Technology,-0.08859024423092386
12,Denmark,Technology,-0.08859024423092386
13,Finland,Technology,0.0042300384283469675
14,France,Technology,0.006279094232417896
15,Germany,Technology,0.019860676134876368
16,Gibraltar,Technology,-0.08859024423092386
17,Greece,Technology,-0.08859024423092386
18,Hong Kong,Technology,-0.02715536258957539
19,Hungary,Technology,-0.08859024423092386
20,Iceland,Technology,-0.08859024423092386
21,India,Technology,-0.04966021190082176
22,Indonesia,Technology,-0.02333903182795663
23,Ireland,Technology,0.0029386778735687805
24,Isle of Man,Technology,0.22889004112551345
25,Israel,Technology,0.007551929069988379
26,Italy,Technology,-0.08859024423092386
27,Japan,Technology,0.03289956297894392
28,Jordan,Technology,-0.08859024423092386
29,Kazakhstan,Technology,0.22889004112551345
30,Kuwait,Technology,-0.08859024423092386
31,Luxembourg,Technology,0.020182527139722718
32,Malaysia,Technology,-0.08859024423092386
33,Mexico,Technology,-0.08859024423092386
34,Netherlands,Technology,0.15620449742914666
35,New Zealand,Technology,-0.08859024423092386
36,Norway,Technology,-0.08859024423092386
37,Peru,Technology,-0.08859024423092386
38,Philippines,Technology,-0.08859024423092386
39,Poland,Technology,-0.041804243546713395
40,Portugal,Technology,-0.08859024423092386
41,Romania,Technology,-0.08859024423092386
42,Russia,Technology,-0.08859024423092386
43,Saudi Arabia,Technology,-0.08859024423092386
44,Singapore,Technology,0.02822402773698788
45,South Africa,Technology,-0.08859024423092386
46,South Korea,Technology,0.005969445846959735
47,Spain,Technology,-0.014413306134276431
48,Sweden,Technology,0.0775686339410407
49,Switzerland,Technology,-0.005278430718715164
50,Taiwan,Technology,0.13778439965406414
51,Turkey,Technology,-0.08859024423092386
52,UK,Technology,-0.05512602800890412
53,USA,Technology,0.0855950849962351
54,Argentina,Insurance,-0.07553666701444652
55,Australia,Insurance,-0.0025501726989534176
56,Austria,Insurance,0.002512880449165103
57,Belgium,Insurance,0.05958326564221565
58,Bermuda,Insurance,0.16740360678692695
59,Brazil,Insurance,-0.006768301479245849
60,Canada,Insurance,8.818510103614013e-05
61,Cayman Islands,Insurance,0.04683368580092463
62,Chile,Insurance,-0.07553666701444652
63,China,Insurance,-0.005629804858493487
64,Colombia,Insurance,-0.07553666701444652
65,Czech Republic,Insurance,-0.07553666701444652
66,Denmark,Insurance,-0.03406294752379145
67,Finland,Insurance,0.00623400690161011
68,France,Insurance,-0.0013586552073534732
69,Germany,Insurance,0.011070055053997073
70,Gibraltar,Insurance,-0.07553666701444652
71,Greece,Insurance,-0.07553666701444652
72,Hong Kong,Insurance,0.00204983973390159
73,Hungary,Insurance,-0.07553666701444652
74,Iceland,Insurance,-0.009038642656814078
75,India,Insurance,0.0009605447499930683
76,Indonesia,Insurance,-0.07553666701444652
77,Ireland,Insurance,-0.07553666701444652
78,Isle of Man,Insurance,-0.07553666701444652
79,Israel,Insurance,-0.027724963659305032
80,Italy,Insurance,0.004355427372842235
81,Japan,Insurance,-0.003248796547398399
82,Jordan,Insurance,0.25275013018131653
83,Kazakhstan,Insurance,-0.07553666701444652
84,Kuwait,Insurance,0.25275013018131653
85,Luxembourg,Insurance,-0.07553666701444652
86,Malaysia,Insurance,-0.07553666701444652
87,Mexico,Insurance,-0.07553666701444652
88,Netherlands,Insurance,-0.017427007790391528
89,New Zealand,Insurance,-0.07553666701444652
90,Norway,Insurance,-0.024601490924142773
91,Peru,Insurance,0.25275013018131653
92,Philippines,Insurance,-0.07553666701444652
93,Poland,Insurance,0.006092776000402849
94,Portugal,Insurance,-0.005417037579293613
95,Romania,Insurance,-0.07553666701444652
96,Russia,Insurance,-0.07553666701444652
97,Saudi Arabia,Insurance,-0.07553666701444652
98,Singapore,Insurance,-0.01708053215444743
99,South Africa,Insurance,0.005928197465003223
100,South Korea,Insurance,-0.013351405096380053
101,Spain,Insurance,-0.02860838155719259
102,Sweden,Insurance,-0.07553666701444652
103,Switzerland,Insurance,0.0025533215546056157
104,Taiwan,Insurance,0.007551970308883448
105,Turkey,Insurance,-0.07553666701444652
106,UK,Insurance,-0.0014879673540472236
107,USA,Insurance,-0.02085531248291517
108,Argentina,Food,-0.05912095725704912
109,Australia,Food,-0.05912095725704912
110,Austria,Food,-0.022213848836580237
111,Belgium,Food,-0.001217054230921966
112,Bermuda,Food,-0.05912095725704912
113,Brazil,Food,-0.003200815280882308
114,Canada,Food,-0.005108279159851186
115,Cayman Islands,Food,0.12095341229491997
116,Chile,Food,-0.05912095725704912
117,China,Food,-0.015131191164074777
118,Colombia,Food,-0.05912095725704912
119,Czech Republic,Food,-0.05912095725704912
120,Denmark,Food,-0.04593303365482078
121,Finland,Food,-0.05912095725704912
122,France,Food,-0.003558995187731404
123,Germany,Food,-0.0320199437138618
124,Gibraltar,Food,0.2868690062868734
125,Greece,Food,-0.05912095725704912
126,Hong Kong,Food,-0.01264095108429095
127,Hungary,Food,-0.05912095725704912
128,Iceland,Food,0.07433970661148268
129,India,Food,0.0018476460742415587
130,Indonesia,Food,0.024860307018347537
131,Ireland,Food,0.013578322574990628
132,Isle of Man,Food,-0.05912095725704912
133,Israel,Food,-0.015296613974268087
134,Italy,Food,-0.04435666612789939
135,Japan,Food,-0.009826185195129473
136,Jordan,Food,-0.05912095725704912
137,Kazakhstan,Food,-0.05912095725704912
138,Kuwait,Food,-0.05912095725704912
139,Luxembourg,Food,-0.05912095725704912
140,Malaysia,Food,0.021382407509457878
141,Mexico,Food,0.017435156837142612
142,Netherlands,Food,-0.0100986947871974
143,New Zealand,Food,0.14349872502963146
144,Norway,Food,-0.0007039918793827569
145,Peru,Food,-0.05912095725704912
146,Philippines,Food,0.1379943254335966
147,Poland,Food,-0.05912095725704912
148,Portugal,Food,-0.05912095725704912
149,Romania,Food,-0.05912095725704912
150,Russia,Food,-0.05912095725704912
151,Saudi Arabia,Food,-0.041760283063563414
152,Singapore,Food,0.033672975514217544
153,South Africa,Food,0.012855216812310076
