element_name,element
abroad,abroad
accession,accession
according,according
add,add
adequate,adequate
administration,administration
admitted,admitted
adopted,adopted
advancement,advancement
affair,affair
afford,afford
affording,affording
aggressor,aggressor
agree,agree
agriculture,agriculture
aid,aid
allowed,allowed
already,already
among,among
answered,answered
appointment,appointment
arduous,arduous
armed,armed
arrangement,arrangement
ascertained,ascertained
attended,attended
attention,attention
auspicious,auspicious
authority,authority
avoiding,avoiding
basis,basis
best,best
better,better
blessed,blessed
blessing,blessing
branch,branch
burthen,burthen
call,call
care,care
carolina,carolina
certain,certain
character,character
chearful,chearful
cherishing,cherishing
circumstance,circumstance
citizen,citizen
close,close
comfortable,comfortable
commerce,commerce
common,common
commonwealth,commonwealth
communication,communication
community,community
compensation,compensation
competent,competent
comprehending,comprehending
concerned,concerned
conciliate,conciliate
concord,concord
concur,concur
conducive,conducive
conduct,conduct
confidence,confidence
congratulating,congratulating
consideration,consideration
consistent,consistent
constituent,constituent
constitution,constitution
consultation,consultation
contained,contained
contributes,contributes
convenience,convenience
convey,convey
convincing,convincing
cool,cool
country,country
course,course
credit,credit
currency,currency
declaration,declaration
deemed,deemed
deeply,deeply
defence,defence
defined,defined
defraying,defraying
degree,degree
deliberate,deliberate
deliberation,deliberation
derive,derive
deserve,deserve
designated,designated
desirable,desirable
devise,devise
difficulty,difficulty
digested,digested
direct,direct
directed,directed
discern,discern
disciplined,disciplined
discriminate,discriminate
disregard,disregard
distant,distant
distinguish,distinguish
due,due
duly,duly
duty,duty
effectual,effectual
efficient,efficient
effort,effort
embrace,embrace
eminent,eminent
employed,employed
enable,enable
encouragement,encouragement
encroachment,encroachment
end,end
endeavor,endeavor
engage,engage
enlightened,enlightened
ensuring,ensuring
entered,entered
entirely,entirely
entitled,entitled
entrusted,entrusted
equal,equal
essential,essential
established,established
establishment,establishment
estimate,estimate
exercise,exercise
exertion,exertion
exigency,exigency
expect,expect
expectation,expectation
expediency,expediency
expedient,expedient
expense,expense
explicit,explicit
expressive,expressive
facilitated,facilitated
facilitating,facilitating
favourable,favourable
fellow,fellow
firmness,firmness
first,first
forbear,forbear
foreign,foreign
foreigner,foreigner
free,free
frontier,frontier
fulfill,fulfill
fund,fund
general,general
genius,genius
gentleman,gentleman
giving,giving
good,good
government,government
gracious,gracious
great,great
happiness,happiness
high,high
home,home
honor,honor
hope,hope
hostile,hostile
house,house
immediately,immediately
importance,importance
important,important
impression,impression
incident,incident
increasing,increasing
independent,independent
indian,indian
indispensible,indispensible
inducement,inducement
inevitable,inevitable
information,information
inhabitant,inhabitant
institution,institution
intercourse,intercourse
interest,interest
interesting,interesting
intimating,intimating
introduction,introduction
invasion,invasion
invention,invention
inviolable,inviolable
know,know
knowledge,knowledge
laid,laid
last,last
law,law
lawful,lawful
lay,lay
le,le
learning,learning
legislature,legislature
liberty,liberty
licentiousness,licentiousness
literature,literature
made,made
manner,manner
manufactory,manufactory
manufacture,manufacture
matter,matter
mature,mature
may,may
mean,mean
measure,measure
merit,merit
military,military
nation,nation
national,national
naturalization,naturalization
nature,nature
necessary,necessary
need,need
new,new
north,north
nothing,nothing
novelty,novelty
object,object
obviously,obviously
officer,officer
official,official
one,one
opinion,opinion
opportunity,opportunity
oppression,oppression
others,others
ought,ought
pacific,pacific
paper,paper
part,part
particular,particular
particularly,particularly
patriotism,patriotism
patronage,patronage
peace,peace
peculiar,peculiar
people,people
percieve,percieve
perfect,perfect
permanent,permanent
person,person
persuaded,persuaded
place,place
placed,placed
plan,plan
pleasing,pleasing
pleasure,pleasure
plenty,plenty
post,post
prepared,prepared
present,present
preserving,preserving
proceeding,proceeding
producing,producing
promote,promote
promoted,promoted
promotion,promotion
proper,proper
proportionably,proportionably
prospect,prospect
prosperity,prosperity
protection,protection
provide,provide
providence,providence
