,element,global_weight
0,state,0.009784247787436228
1,government,0.00857043441026313
2,year,0.007424812945358092
3,congress,0.006045390609980233
4,united,0.005710921638912669
5,nation,0.0055364196912252505
6,people,0.0055026470139614625
7,country,0.005285468334806811
8,american,0.004875154208610196
9,may,0.004198276438340149
10,time,0.004149552289727054
11,great,0.004025719694206349
12,new,0.003938796087431556
13,world,0.0037592297900503916
14,war,0.003710781649328072
15,law,0.003679989877484377
16,public,0.003610852735040586
17,made,0.003583709042830355
18,one,0.00344374594374546
19,power,0.003348907007613567
20,last,0.003153978050865196
21,america,0.0030151304097136692
22,peace,0.0027847065626553933
23,interest,0.0027739566770552024
24,right,0.0027571578579732763
25,national,0.0026352554314235696
26,make,0.0025819068032858342
27,citizen,0.002559145024358833
28,work,0.002546471357031185
29,act,0.00246380814564739
30,present,0.002457565452146859
31,part,0.0024307764505557255
32,duty,0.002116127009904282
33,force,0.002097917765224755
34,need,0.0020581339512870294
35,service,0.002039569865581396
36,system,0.0020174327844257123
37,good,0.0019993743079037333
38,subject,0.0019993646922476776
39,necessary,0.0019628853534183217
40,first,0.0019304673186459115
41,treaty,0.0018402482463701496
42,policy,0.0017622942656250684
43,foreign,0.0017369455556439871
44,well,0.0017362464149441865
45,tax,0.0017267217928667014
46,two,0.0017175355266581557
47,mean,0.0016835531868038536
48,federal,0.0016764368563929196
49,million,0.0016763385453139458
50,measure,0.0016576322951667806
51,purpose,0.001646218345074515
52,free,0.0016324073085408313
53,life,0.0016270222787544376
54,program,0.0016236325667124722
55,security,0.0016131048221634922
56,department,0.0016100004640662714
57,general,0.0016043838656664663
58,condition,0.001563167081004059
59,increase,0.001514249865673417
60,way,0.001504862269596983
61,future,0.0014912004964076986
62,land,0.001474637116386466
63,union,0.0014728098824321639
64,men,0.001464332854805062
65,give,0.0014514519198978745
66,business,0.0014510364715233947
67,effort,0.0014503334934106214
68,action,0.0014425187035309057
69,important,0.001432334476667314
70,military,0.0014126801043291349
71,day,0.0013969928114150722
72,consideration,0.0013903881308206126
73,still,0.0013895097665190138
74,commerce,0.0013621311814356698
75,trade,0.0013514685656139504
76,hope,0.0013234238248136124
77,economic,0.001317915290177173
78,help,0.0013124840773921208
79,economy,0.0013041772056355155
80,relation,0.001298582208300158
81,result,0.0012969971551976289
82,report,0.001285504911251821
83,progress,0.0012718897531549512
84,legislation,0.0012682163053716446
85,child,0.0012624391250231097
86,attention,0.0012619402011828905
87,let,0.001258938079177348
88,job,0.0012507747004826973
89,long,0.0012463681543535138
90,treasury,0.0012446023854279574
91,know,0.0012394397657417386
92,provision,0.0012361067565426207
93,home,0.0012348969766226453
94,president,0.0012319447809416733
95,authority,0.0012289684011653314
96,place,0.001219912178856108
97,freedom,0.0012154806145489175
98,take,0.0012148691085145883
99,defense,0.0012073437876496838
100,among,0.0012016294486538895
101,far,0.0012015964462876927
102,yet,0.0011960320398953343
103,revenue,0.0011824601723069894
104,question,0.001180420429300833
105,session,0.0011621247835403045
106,even,0.0011588372471136458
107,view,0.0011406491380387533
108,come,0.0011351376304165367
109,expenditure,0.0011347698580864035
110,debt,0.001119467968350293
111,family,0.0011182978161309416
112,opportunity,0.0011172005232433942
113,order,0.0011170659421249872
114,best,0.0011143238821785112
115,plan,0.0011119286245616096
116,together,0.0011104325635899926
117,continue,0.0011104019373964834
118,already,0.0011042079122352718
119,principle,0.0011038550158477204
120,change,0.001101498159409443
121,past,0.0010944990876762448
122,case,0.001089178823046374
123,effect,0.0010792226475362056
124,support,0.0010744029113155917
125,better,0.0010670064310581095
126,number,0.001066107732740495
127,large,0.0010648357837006054
128,officer,0.001062224121050807
129,whole,0.0010521656176279593
130,meet,0.0010487268045752064
131,toward,0.0010442929522702096
132,however,0.0010436118449403276
133,amount,0.0010408969492521417
134,use,0.0010399424112460124
135,constitution,0.0010383951429644063
136,justice,0.0010245026023235346
137,territory,0.0010229802504750187
138,le,0.001019664028439022
139,problem,0.0010157579961698503
140,course,0.0010012176846130403
141,resource,0.001000421780338506
142,cause,0.0010002574179182814
143,secretary,0.000994099037901777
144,community,0.0009916669758687747
145,indian,0.0009898994991459614
146,labor,0.0009883573350045938
147,representative,0.0009854865092970054
148,house,0.0009837167117125937
149,claim,0.0009833845566875141
150,might,0.0009808451801040406
151,cost,0.0009735866600519423
152,want,0.000966426221939617
153,tonight,0.0009655653073846595
154,health,0.0009613131433539072
155,period,0.0009599391174808483
156,full,0.0009598719482644629
157,believe,0.000955797942134024
158,never,0.0009536225450550404
159,rate,0.0009525134955684205
160,vessel,0.0009504553032876714
161,budget,0.0009500437927906625
162,end,0.0009463304506569306
163,money,0.0009422772207762346
164,administration,0.0009365978640068063
165,appropriation,0.0009331605372281087
166,like,0.0009306195178022469
167,object,0.0009301773023864298
168,next,0.0009283101942643343
169,price,0.0009251590104383515
170,given,0.000924131839319215
171,care,0.0009209002833938709
172,today,0.000919431579544009
173,spirit,0.0009165639728275827
174,proper,0.0009067369215880266
175,protection,0.0009043573813395363
176,taken,0.0009033862982352285
177,executive,0.0009012948190626332
178,individual,0.0009007403493588538
179,industry,0.0008987982663692912
180,thus,0.0008901926871807926
181,whether,0.0008900700536866577
182,matter,0.0008881649005823721
183,ever,0.000884399091830014
184,provide,0.0008822461388295707
185,commission,0.0008798151577973105
186,high,0.0008708877987156351
187,operation,0.0008585931638344308
188,fact,0.0008564564175566879
189,possible,0.0008535664181486285
190,value,0.0008533626533467385
191,done,0.0008498871912870265
192,several,0.0008487284093332203
193,prosperity,0.000845744059374122
194,recommend,0.0008452736384842375
195,party,0.0008394781957192769
196,senate,0.0008341857680716166
197,others,0.0008304806259073006
198,private,0.0008303841331318841
199,therefore,0.0008268566575301302
200,certain,0.0008194285346759835
201,another,0.0008155030372736133
202,thing,0.0008076269650156685
203,school,0.0008061801371274049
204,increased,0.0008049488078493746
205,pay,0.0008046034845871442
206,international,0.0008036043337496475
207,demand,0.0007988576743590444
208,due,0.0007979676780793472
209,greater,0.0007966929189352255
210,say,0.0007958334286092253
211,improvement,0.0007942039896906915
212,control,0.0007916790027780536
213,bank,0.0007909453983930823
214,line,0.0007903727214614755
215,history,0.000790144289589653
216,become,0.0007875617397464171
217,benefit,0.00078628825764473
218,republic,0.0007855004735501486
219,responsibility,0.0007775784640541893
220,energy,0.0007766798400632011
221,fiscal,0.0007717558059176727
222,go,0.0007681746487815485
223,strength,0.0007663159966119332
224,making,0.000763935791015834
225,political,0.0007605444092981794
226,army,0.0007599615647781904
227,reason,0.0007561615156966595
228,received,0.000755733360741541
229,expense,0.000743397853596625
230,regard,0.0007423558442660625
231,billion,0.0007405618279711327
232,secure,0.0007375625152704397
233,office,0.0007353747166850545
234,common,0.0007349339179850806
235,reform,0.0007336593601413213
236,month,0.0007324463535968268
237,hand,0.0007321222994475004
238,respect,0.0007318008029246227
239,british,0.0007283956916786517
240,development,0.0007283801087579654
241,special,0.0007270199902271588
242,navy,0.0007240184803498859
243,small,0.000723673952910254
244,production,0.0007228648353933626
245,member,0.0007221620452809323
246,importance,0.000718748792106356
247,education,0.000717509429196971
248,character,0.0007140536381849124
249,court,0.000713862561730452
250,point,0.0007071485854610384
251,strong,0.0007018779038746132
252,keep,0.0007010575448558427
253,message,0.0007009719126684711
254,city,0.000699866233543405
255,recommendation,0.000697885914955381
256,aid,0.0006974834575129903
257,establishment,0.0006974475105907632
258,see,0.0006950116675050435
259,europe,0.0006919068020715475
260,sum,0.0006887163072050566
261,found,0.0006868949643252094
262,three,0.0006858951135865187
263,put,0.000684765790118431
264,affair,0.0006841003092792488
265,minister,0.0006809346150445267
266,institution,0.000680841400458611
267,mexico,0.0006798764172491741
268,growth,0.0006798179309191972
269,reduction,0.0006756915880566011
270,whose,0.000675262493836904
271,form,0.0006723196439339889
272,existing,0.0006674139745848055
273,equal,0.0006668977456003218
274,commercial,0.000662887279605945
275,always,0.0006628433963650949
276,payment,0.0006603557867942801
277,bill,0.00065865346061082
278,advantage,0.000658648294789319
279,capital,0.0006524843175373353
280,call,0.000652010195530034
281,term,0.0006496513461299363
282,property,0.0006487802216616972
283,building,0.0006448605508379255
284,protect,0.0006439248579702071
285,human,0.0006429875356928773
286,convention,0.0006429087790127069
287,person,0.0006410277122195901
288,bring,0.0006406945850858677
289,local,0.0006403755153091643
290,fund,0.0006350993970973655
291,necessity,0.0006331747560902658
292,ago,0.0006302013015905044
293,social,0.0006275499458584009
294,faith,0.0006264505514120239
295,market,0.0006237785245747506
296,circumstance,0.0006210509338864879
297,ask,0.0006195833081111643
298,able,0.0006189788132659209
299,britain,0.0006182364983732158
300,ought,0.0006177319842895107
301,dollar,0.0006145333123611879
302,back,0.000609025997998154
303,working,0.000606229237157776
304,article,0.0006039503799916745
305,step,0.0006033742774783668
306,welfare,0.0006014305449977979
307,get,0.0006006784819597697
308,agreement,0.0005988537582378774
309,branch,0.0005973787332565285
310,negotiation,0.0005971697514860657
311,early,0.0005954263858717497
312,issue,0.0005925166946302734
313,confidence,0.0005921334722499655
314,port,0.0005918149835856976
315,spain,0.0005893006116679987
316,success,0.0005886188665717542
317,information,0.0005885873462428279
318,credit,0.0005881051670207593
319,either,0.0005848591566473217
320,supply,0.0005836332753912081
321,established,0.0005824056872058864
322,sea,0.0005806803017819558
323,portion,0.0005775114863855631
324,civil,0.0005767711835474182
325,danger,0.0005750944577817136
326,cut,0.0005750517194064446
327,nearly,0.0005735612667977476
328,income,0.0005728800827810273
329,enemy,0.0005728076432134285
330,essential,0.0005722662703276664
331,construction,0.0005717692817928347
332,required,0.0005703970008503198
