,document,element,frequency_in_document
0,1790,year,-0.003712406472679046
1,1791,year,-0.0012480630895576649
2,1792,year,-0.0006123437662899074
3,1793,year,-0.0005225360611463379
4,1794,year,-0.0022484121734980198
5,1795,year,-0.001903465877363379
6,1796,year,-0.0015263698847612763
7,1797,year,-0.0011165102655758367
8,1798,year,-0.0007088871644961266
9,1799,year,-0.0015774250026973902
10,1800,year,-0.0006079459630720999
11,1806,year,-0.0004072050266981709
12,1807,year,-0.00045349866621112174
13,1809,year,-0.0009077062072684109
14,1811,year,-0.0007557545737557562
15,1812,year,-0.0011401451256894254
16,1813,year,-0.0008132713348488372
17,1814,year,-0.0006813227835954191
18,1815,year,-0.0016443657982240707
19,1816,year,-0.00038357796962681413
20,1820,year,-0.0012115821980747351
21,1822,year,-0.001246879155043798
22,1826,year,0.0007913642609136901
23,1829,year,-0.0006984109470157098
24,1830,year,-0.0009022766479850617
25,1832,year,-0.00044262196163989556
26,1834,year,-0.00021300874286949963
27,1835,year,-0.00026890546466765966
28,1836,year,-0.000723531989108404
29,1838,year,-0.00041475778382914046
30,1841,year,-0.000695869158709817
31,1844,year,-0.000650285867078333
32,1845,year,-0.00020042758206279823
33,1846,year,-0.0003042040186305808
34,1848,year,-0.00018047827011113482
35,1849,year,-0.0006129141724028901
36,1850,year,-0.0008293643923061591
37,1852,year,-0.0002221597119523715
38,1855,year,-0.0005118962865935744
39,1856,year,-0.00028657605728996745
40,1860,year,-0.0003798254124530024
41,1861,year,-0.00027871659057587665
42,1867,year,-0.0003635049209232957
43,1868,year,0.00042171032667601637
44,1878,year,0.0003173044287003799
45,1880,year,-0.0005101205213905024
46,1886,year,0.00024781070896703807
47,1889,year,-0.00040066180242242654
48,1891,year,0.00024790753455874504
49,1892,year,0.0006751391899959822
50,1893,year,0.0013648827088112657
51,1894,year,0.0011895728310118668
52,1895,year,-0.0009445834715135024
53,1896,year,0.0005005483609552429
54,1897,year,-0.0006175661304796678
55,1901,year,-0.00043708728779668607
56,1902,year,-0.0008154938462022778
57,1904,year,-0.0007085899676898605
58,1905,year,-0.0004999408135670663
59,1906,year,-0.0007560525359971823
60,1907,year,-0.0002222611690171416
61,1908,year,-0.00024847345054916344
62,1909,year,-0.00023536710568457003
63,1913,year,-0.003712406472679046
64,1914,year,-0.0004540747426820845
65,1916,year,-0.0011401451256894254
66,1917,year,-0.003712406472679046
67,1918,year,-0.000547612145569535
68,1919,year,-0.001325165281497483
69,1921,year,-0.0015344734976477095
70,1922,year,-0.0016123280133143426
71,1923,year,-0.0010823081317075716
72,1928,year,0.0002408662541643488
73,1934,year,-0.002071371726481642
74,1941,year,-0.0006068134779853745
75,1944,year,-0.00037604289460914874
76,1946,year,0.001230961762568337
77,1950,year,0.0003997200096645943
78,1951,year,-0.0014654278062833886
79,1952,year,0.000987541375630987
80,1955,year,0.000301657764306349
81,1956,year,0.0003129174993359658
82,1957,year,-0.00042056556911668013
83,1958,year,-0.0003636922294007643
84,1963,year,0.000360380954353816
85,1966,year,0.0005320279965429851
86,1967,year,0.00044109436605158114
87,1968,year,0.0020329635961452096
88,1969,year,0.0035590571081646144
89,1970,year,0.0005206899979105072
90,1972,year,0.0015463052521716928
91,1974,year,0.005154178882734552
92,1975,year,0.0004873944819305193
93,1976,year,0.0008299138126460727
94,1977,year,0.00031110936933311157
95,1978,year,0.00047048695996550877
