element,frequency_in_document
aaa,7.18803910293272e-05
aana,0.00026670222696359517
aaron,0.0011867682871400343
abandon,0.024888800633364246
abandoned,0.02137087401149255
abandoning,0.00398764424695281
abandonment,0.005999248325198254
abate,0.0005821548502043435
abated,0.0009670168229898857
abatement,0.002450304896380828
abating,0.00036016983900200863
abbas,0.000390015600624025
abbreviation,0.0006583278472679394
abdicate,0.00019908421262193908
abdicated,0.0011527377521613833
abdicating,0.00016662541040626295
abdication,0.002648698742743633
abducted,0.00029342723004694836
abduction,0.00040096230954290296
aberdeen,0.00026567481402763017
abess,0.00036589828027808267
abet,0.00030196915598357607
abetted,0.0007757951900698216
abettor,0.0008863843171117602
abeyance,0.0014800405762165237
abhor,0.0005506607929515419
abhorrence,0.0005244375518846484
abhorrent,0.0009619002634779652
abhors,0.0006428055703782091
abide,0.006056319266952488
abides,0.00029342723004694836
abideth,0.00026595744680851064
abiding,0.006035704240759073
ability,0.0720534188301023
abject,0.0010592774819312204
abjured,0.00018556318426424197
ablaze,0.0006666666666666666
able,0.14360308467769362
ablest,0.0012865448079356961
ably,0.0037699564297203757
abnormal,0.0018242413283084133
abnormally,7.18803910293272e-05
aboard,0.001769100011400416
abode,0.001895584740608942
abolish,0.007018984888442309
abolished,0.010761547371640508
abolishes,0.0010165490905172402
abolishing,0.004457287873815447
abolishment,0.0008847910714120594
abolition,0.012458012408664936
abominable,0.0012899637230504226
aboriginal,0.0023664490939748458
aborigine,0.0013507813233894481
abortion,0.004320617947092896
abortive,0.0013034582496916731
abound,0.001200133240631556
abounding,0.0016777449959678534
abounds,0.002031989503960197
abra,0.0007940651375551465
abraham,0.005555718457107548
abreast,0.001840237223358178
abridge,0.0008711663801320588
abridged,0.0035755443853327956
abridges,0.0006013229104028864
abridging,0.0002694001604232807
abridgment,0.0005240079867632885
abroad,0.12032337542673122
abrogate,0.000995576919189694
abrogated,0.00213769230189836
abrogates,0.00013768415255404102
abrogating,0.00035310734463276836
abrogation,0.0009800524293405138
abrupt,0.0014365879396306804
abruptly,0.0010486730315811725
absconded,0.000335795836131632
absconding,0.00051440329218107
absence,0.01702933370770121
absent,0.0012876916313029917
absentee,0.000747266444759851
absolute,0.01770897318404845
absolutely,0.02428050402755065
absolve,0.0006080450322356125
absolved,0.0007053716367284454
absolves,0.00018406037180195104
absorb,0.003315944702451674
absorbed,0.005163410849049814
absorbent,0.00010521885521885521
absorbing,0.0006825881657630432
absorbs,0.0001723543605653223
absorption,0.003048022862100682
abstain,0.003316324746622082
abstained,0.0017730291944875634
abstaining,0.0016744596320673456
abstention,0.00010245901639344262
abstinence,0.0027869574755518666
abstract,0.004859224816583717
abstracted,0.00020855057351407716
abstracting,0.0001927153594141453
abstraction,0.0004171011470281543
abstractly,0.00018730099269526128
absurd,0.0028159941509219495
absurdity,0.001187135235698147
abundance,0.022059407076364983
abundant,0.02722815651090687
abundantly,0.007084996971087401
abuse,0.05731173611523001
abused,0.005766013405285845
abuser,0.0005165289256198347
abusing,0.001136843925048315
abusive,0.001656716083300395
abutting,8.69187309865276e-05
abyss,0.0004176778216493881
abyssinia,0.0006337135614702154
academia,0.00040096230954290296
academic,0.0020943504256839066
academy,0.016227509117252716
acapulco,0.0005619029780857839
accede,0.00407856700340546
acceded,0.00767441916856767
acceding,0.0007478878103570963
accelerate,0.005592860570149169
accelerated,0.003840532243834395
accelerates,0.0002585315408479835
accelerating,0.0037922610112517997
acceleration,0.002918758563229035
accent,0.00035310734463276836
accentuate,0.0008356629230949252
accentuated,0.0006203172386636696
accentuating,0.00023668169360192034
accept,0.034259473691086326
acceptability,0.00010925379656943078
acceptable,0.00942010763618768
acceptance,0.01558351679925111
accepted,0.040229282055952956
accepting,0.00694714181271766
accepts,0.0016195881220970822
access,0.038658016328516245
accessibility,0.0007705399412716486
accessible,0.004918654240430706
accessing,0.0002860411899313501
accession,0.008773379240574586
accessory,0.0008141077299200958
accident,0.00745789429786159
accidental,0.0032009296975487682
accidentally,0.0003834255124847799
acclaim,0.0016187081053333045
acclaimed,0.000354735721887194
acclimated,0.00012403870007442322
accomac,0.0003154574132492114
accommodate,0.0033107371785811644
accommodated,0.0020545738279129904
accommodates,0.0002949852507374631
accommodating,0.002373634015798579
accommodation,0.03233656560563421
accompanied,0.01944834691285862
accompanies,0.004698739937207701
accompany,0.004788962665949638
accompanying,0.017555570907498506
accomplish,0.03453996089577973
accomplished,0.06971212034766662
accomplishes,0.0005839352122909227
accomplishing,0.00864924036592464
accomplishment,0.031838896550113065
accord,0.019832984358770348
accordance,0.029365554007896096
accorded,0.01142056492414608
according,0.05524486016858232
accordingly,0.027645234564239837
account,0.0996796521259661
accountability,0.011799187010468611
accountable,0.009277105753285894
accountant,0.002103351410657947
accounted,0.0041386737067141835
accounting,0.002269378320425865
accoutrement,0.00037923445115358383
accredit,0.0007345017308690531
accredited,0.010408810350312698
accrediting,0.0005404881909863951
accretion,0.00010925379656943078
accrue,0.0066667618314304655
accrued,0.006479815424666075
accrues,0.0004234666442462891
accruing,0.007564423061612098
accumulate,0.004197484715373716
accumulated,0.010199741739017663
accumulates,0.0007659598490163456
accumulating,0.007119585988079949
accumulation,0.017912213375834436
accuracy,0.004448353024381872
accurate,0.006247047234329542
accurately,0.0036748703118592
accurs,0.0004269854824935952
accusation,0.00264439095336155
accuse,0.0005050876591213731
accused,0.005246358028502319
accuser,0.0005050876591213731
accustom,0.0001634798217503042
accustomed,0.006994940168328188
accustoming,0.00013768415255404102
ace,0.000354735721887194
acheen,0.00021621621621621621
achievable,0.0008176235021656813
achieve,0.07120431386008483
achieveable,5.450185306300414e-05
achieved,0.037124813713155846
achievement,0.04341265223161213
achieves,0.000648030922402155
achieving,0.01361366806586724
aching,0.0008482984209566291
acid,0.0016536586084657176
acknowledge,0.009468677273364279
acknowledged,0.021676094897585402
acknowledgement,0.0014602249625898657
acknowledges,0.0008843418952256566
acknowledging,0.0020301445039483876
acknowledgment,0.012513095331809354
acquaint,0.0015061015353491696
acquaintance,0.0020292458740293834
acquainted,0.004226921443895548
acquainting,0.0006559960880366398
acquaints,0.00023803856224708403
acquiesce,0.002878060545015899
acquiesced,0.004766523630671333
acquiescence,0.010538398717067583
acquiescently,0.0001798237727027513
acquiesces,0.00013335111348179759
acquiescing,0.00016977928692699492
acquire,0.01128210449670903
acquired,0.025072517444980624
acquirement,0.0014537353203743749
acquires,0.001932698680077921
acquiring,0.004495052965645326
acquisition,0.026044710318089623
acquit,0.0004860628271520823
acquittal,0.0002708081581553371
acquittance,0.00014436263894903998
acquitted,0.0014637164146449682
acre,0.04476172046264534
acreage,0.0042826656430484476
acrimonious,8.979885057471264e-05
across,0.07742072598649741
act,0.5716034897901946
acted,0.024707844675477392
acting,0.03103001830906146
action,0.3346643392191704
activated,0.000304228780042592
active,0.043169103594626335
actively,0.009467377942363889
activist,0.0011354872010179051
activity,0.07161870280844192
actor,0.0006045538693883516
actual,0.08075058908646635
actuality,0.0013293345871403725
actually,0.03713930267745849
actuarial,7.18803910293272e-05
actuary,0.0002538071065989848
actuate,0.0005212515077523274
actuated,0.004524413558366698
actuates,9.231905465288036e-05
acute,0.006829816522571166
acutely,0.002090975452325108
ad,0.006280667421039418
adam,0.003255574676869626
adapt,0.007224497375387496
adaptability,0.0014074006220068265
adaptable,0.0007004293985432151
adaptation,0.004524842030894192
adapted,0.03271412097225093
adapting,0.0031356048802790148
adapts,0.00022716946842344388
add,0.06908265047530641
added,0.06430740703203436
addict,0.0013826984714179363
addicted,0.0036655229687250963
addiction,0.004929400240132077
adding,0.017975171413511373
addition,0.07611758162482664
additional,0.1235316043604193
additionally,0.0005031735986888981
additive,0.0002949852507374631
address,0.04984591262048799
addressed,0.01764309658150899
addressing,0.008696791541682066
adduce,0.00016173378618793466
adduced,0.0017029673244930677
adept,0.00012403870007442322
adequacy,0.002665704471646423
adequate,0.1214483770469502
adequately,0.010034040162126204
adhere,0.010604276006153624
adhered,0.006671162454167134
adherence,0.01212979181820146
adherent,0.0007490389374009208
adheres,0.0019258267802060478
adhering,0.0026961424350453625
adhesion,0.0011187330145111523
adjacent,0.009539674377692473
adjoining,0.0053330049484744775
adjourn,0.0008003152554613986
adjourned,0.007417934787090052
adjournment,0.01462669543420115
adjourns,0.0008533706525098204
adjudged,0.0026699229452397865
adjudicate,0.0010838824921214835
adjudicated,0.0009484880851570789
adjudicating,0.00044504963270106275
adjudication,0.009325881307600335
adjunct,0.0006582294709423185
adjure,9.231905465288036e-05
adjust,0.016424452656554102
adjustable,0.0006666666666666666
adjusted,0.03450310696267382
adjusting,0.012508352776202224
adjustment,0.07671065329577437
adjusts,0.0004986186346273125
adjutant,8.979885057471264e-05
adlai,0.0001786033220217896
administer,0.013118542506624753
administered,0.0172719885125287
administering,0.004161632205718073
administers,0.0006013229104028864
administration,0.21729070444957904
administrative,0.03072910837631114
administratively,0.0010085180372063638
administrator,0.0031867843187080016
admirable,0.006197791209755614
admirably,0.000929708080899745
admiral,0.008610990404607442
admiralty,0.0008507089348334946
admiration,0.0037525030271344227
admire,0.0009326937434029419
admired,0.0009937214551819014
admissible,0.0010451902824953388
admission,0.027722128697119167
admit,0.0295680770617384
admits,0.003987811050009138
admittance,0.0008509317013565384
admitted,0.03696202672349334
admittedly,0.0026293527073149143
admitting,0.004901194144984031
admixed,0.00010245901639344262
admonish,0.005463599745561045
admonished,0.0026354516979921368
admonishes,0.0007559571412589295
admonishing,0.0007757951900698216
admonition,0.002678474701301812
admonitory,0.00041273265268768587
adnan,0.00037537537537537537
adolescent,0.00010900370612600828
adolfo,5.450185306300414e-05
adopt,0.042178462218922
adopted,0.09546228108832501
adopting,0.011779733941716896
adoption,0.047440238428860866
adoptive,0.0003119021104632615
adopts,0.000573488480050157
adore,0.00024449877750611245
adorn,0.0016498708601584632
adorned,0.0018287322318016703
adornment,0.000335795836131632
adrianople,0.00029877502240812666
adriatic,0.0004807692307692308
adrift,0.0002487908233419875
adriondacks,0.00011133377866844801
adroit,0.0006825938566552901
adult,0.009163054351370081
adulterated,0.0001738374619730552
adulteration,0.0009665588656284811
adulthood,0.000390015600624025
advance,0.10674811581216606
advanced,0.04727587460847078
advancement,0.027863412826039116
advancing,0.021626775406913143
advantage,0.1528064043911221
advantageous,0.01423517366079935
advantageously,0.005916188558214523
advent,0.0021061719834266027
adventitious,0.00015441630636195183
adventure,0.005401538848229655
adventurer,0.00827936634587169
adventuring,0.0002735229759299781
adventurous,0.0011472272628779952
adversary,0.016416158110442145
adverse,0.008445134531675499
adversely,0.0015235537115620005
adversity,0.005295220477334941
advert,0.004725541766694415
adverted,0.004454526902705267
adverting,0.004161296563017795
advertise,0.00032051188458417457
advertised,0.0001786033220217896
advertisement,0.0023953822006786813
advertising,0.0023593936887127444
advice,0.026313555443416386
advisability,0.0015929759130354697
advisable,0.02621196094549566
advise,0.007446396450743905
advised,0.012817492097081771
advisedly,0.00045578851412944393
advisement,0.0002443195699975568
adviser,0.003993759869545885
advises,0.0017403252258042278
advising,0.000715075553318842
advisor,0.0005076142131979696
advisory,0.0076226407882741464
advocacy,0.0013829588906164034
advocate,0.011613408078093057
advocated,0.005218162753177285
advocating,0.0024881911887200125
aegis,0.0004676697089236844
aerial,0.0007129654286827875
aero,0.0002894356005788712
aeronautical,0.0002538071065989848
aeronautics,0.0020166679542055204
aerospace,0.0003139717425431711
afar,0.00014154281670205238
affair,0.1587112717527859
affect,0.0358692380291458
affectation,0.00041476565740356696
affected,0.03404553620114181
affecting,0.029544875967589923
affection,0.012090938157408323
affectionate,0.002836525681212827
affidavit,0.0001798237727027513
affiliate,0.0019737219642975102
affiliated,0.0006440087324731181
affiliation,0.0022600936704459734
affinity,0.0002405002405002405
affirm,0.0020486012158272833
affirmation,0.00015941335883947074
affirmative,0.005141211962391365
affirmatively,0.0014646776902429146
affirmed,0.004949925414244664
affirming,0.0007902355096276949
affirms,0.0006619066114379891
affix,0.0003570802796222562
affixed,0.0003532679750406449
affixing,0.00021253985122210415
afflict,0.0007653054233688419
afflicted,0.008549506163634361
afflicting,0.001099179039359677
affliction,0.0029465375397737716
afflictive,0.00029717682020802375
affluence,0.0002607090157306577
affluent,0.0010703592617958629
afford,0.10491845085137812
affordability,0.000304228780042592
affordable,0.019786441886174507
afforded,0.03836456648849877
affording,0.01689220449748033
affords,0.022785908604147392
affront,0.0005387633542736579
afghan,0.009451569970929646
afghanistan,0.03553171509511344
afield,0.0004508566275924256
afloat,0.004019885239101153
afognak,0.00010245901639344262
aforesaid,0.0009508512152116276
afraid,0.007678334205646809
afresh,9.231905465288036e-05
africa,0.041075559660885594
african,0.01683834119517363
africanize,0.00018406037180195104
aftermath,0.0024624312373894798
afternoon,0.0013035453016718647
afterschool,0.0005148005148005148
afterward,0.0006297087933373518
afterwards,0.014761258608338693
age,0.0703261454335543
aged,0.006720814567577881
agency,0.08655296235472701
agenda,0.01937340803622385
