,row_1948_data
economic,0.002612033547346118
world,0.0018096974755509227
living,0.001766326638080852
price,0.0016939982881048728
high,0.001422230944624296
goal,0.0014172778237260956
income,0.0013987686661419856
farm,0.0011985032146890867
wage,0.00116040548794108
inflation,0.001128949413067966
program,0.0011265843376780866
nation,0.0011095186422927401
today,0.001065385159631272
tax,0.0010603455083635703
benefit,0.0010245195236412304
standard,0.0010194462887735446
resource,0.001000513931038539
level,0.0009029452069069185
element,0.0008054862289333499
veteran,0.0007286983724327707
housing,0.0007166033901253637
million,0.0007047298161183991
faith,0.0006991871579290706
forward,0.0006914654995424121
output,0.0006909354275742442
earner,0.0006876412786668848
toward,0.0006848632785834278
achieve,0.0006768402877849204
democracy,0.0006680917445008481
system,0.0006539361736840595
continue,0.0006434660351249911
decade,0.0006337831565751182
next,0.0006238572380811038
loss,0.0006193596648989972
restore,0.0006192829491764658
average,0.0006164615638159795
reconstruction,0.0006118275385420019
full,0.0006036146139722461
gain,0.0005892936102691299
industrial,0.0005740019348339147
farmer,0.0005716048737647854
learned,0.0005555346148753235
based,0.0005410140150253069
human,0.0005392758252824796
support,0.0005349740779494736
profit,0.000532925225588923
need,0.0005258295010116024
insecurity,0.0005226583769387767
ahead,0.0005044382568736593
consider,0.0005041447291563665
structure,0.0005039234850221425
people,0.0005029765748670546
foundation,0.0004992689892689252
education,0.00048816622020357185
following,0.00048632442923133667
production,0.0004846719592053993
billion,0.0004732862808354992
effort,0.0004627778360519338
ideal,0.00045950304527310384
go,0.0004560018373856395
belief,0.0004545578918074406
suffering,0.0004495932822433912
aspiration,0.00044750864878440684
share,0.0004387427513596052
expand,0.0004358550766756249
spiritual,0.0004331065801419438
sound,0.0004274152612889376
overcome,0.0004249081829322649
great,0.0004232783360257459
protect,0.0003998830429524523
medical,0.00039075265211589586
family,0.0003900316665622596
cooperative,0.00038698354947780053
equal,0.0003856799974201915
lead,0.00038448821707193524
industry,0.00038149579698886274
surmount,0.000379829416313579
employment,0.00037796486102827624
rededicate,0.00037708859507363553
look,0.0003745463911553884
extend,0.00037355391170799094
recovery,0.0003705672024952813
move,0.00036911620895649475
aid,0.00036746268248531516
distress,0.00036724808225454826
retail,0.0003570344054471141
brotherhood,0.00035563318119818704
importance,0.00035524242810012666
believe,0.0003523659929667853
development,0.0003498237866970814
strengthened,0.000348729897852104
basic,0.0003473546125321913
freedom,0.00034538447138985707
capacity,0.0003403292393546135
improve,0.0003392384961568152
wholesale,0.0003392300200401758
fertility,0.0003391033350161827
affect,0.00033718059121053774
paralysis,0.00033656208229565433
adjustment,0.00033570356508857854
percent,0.0003310052183364703
strength,0.00032915783867293514
vital,0.000328142403213894
strengthen,0.0003261573010145152
basin,0.0003235720713642487
conserve,0.0003200505708801397
dignity,0.00031682803731442966
denial,0.0003151092623907866
relationship,0.0003143605944261168
equality,0.00031186960602994334
anxiety,0.0003054057367318707
achievement,0.00030428209364720404
credit,0.0003022362755218368
framework,0.00029568151673477645
welfare,0.00029463756953736664
gap,0.0002935959530183096
hunger,0.00029337867995103147
security,0.00029179600100284113
either,-0.00029242957832366085
information,-0.00029429367312141396
spain,-0.0002946503058339993
law,-0.00029580080208180487
port,-0.0002959074917928488
issue,-0.0002962583473151367
negotiation,-0.00029858487574303285
branch,-0.00029868936662826425
get,-0.00030033924097988486
article,-0.00030197518999583727
part,-0.00030544173002463763
ought,-0.00030886599214475537
britain,-0.0003091182491866079
ask,-0.00030979165405558217
circumstance,-0.00031052546694324397
two,-0.00031466706553576613
convention,-0.00032145438950635343
property,-0.0003243901108308486
capital,-0.00032624215876866767
advantage,-0.0003293241473946595
bill,-0.00032932673030541
commercial,-0.0003314436398029725
form,-0.00033615982196699446
mexico,-0.00033993820862458703
institution,-0.0003404207002293055
affair,-0.0003420501546396244
put,-0.0003423828950592155
three,-0.00034294755679325936
found,-0.0003434474821626047
establishment,-0.0003487237552953816
recommendation,-0.0003489429574776905
court,-0.000356931280865226
character,-0.0003570268190924562
navy,-0.00036200924017494297
british,-0.00036419784583932585
reform,-0.00036682968007066064
office,-0.00036768735834252726
expense,-0.0003716989267983125
received,-0.0003778666803707705
army,-0.0003799807823890952
political,-0.0003802722046490897
republic,-0.0003927502367750743
line,-0.00039518636073073777
bank,-0.00039547269919654117
improvement,-0.00039710199484534577
say,-0.00039791671430461264
due,-0.0003989838390396736
senate,-0.0004170928840358083
several,-0.00042436420466661015
done,-0.00042494359564351325
operation,-0.0004292965819172154
commission,-0.00043990757889865526
spirit,-0.00045828198641379136
duty,-0.0004586198169964279
object,-0.0004650886511932149
money,-0.0004711386103881173
budget,-0.00047502189639533123
vessel,-0.0004752276516438357
never,-0.0004768112725275202
tonight,-0.00048278265369232977
claim,-0.0004916922783437571
house,-0.0004918583558562969
indian,-0.0004949497495729807
secretary,-0.0004970495189508885
cause,-0.0005001287089591407
constitution,-0.0005191975714822031
officer,-0.0005311120605254035
case,-0.000544589411523187
plan,-0.0005559643122808048
debt,-0.0005597339841751465
defense,-0.0006036718938248419
authority,-0.0006144842005826657
american,-0.0006148626812138534
treasury,-0.0006223011927139787
may,-0.0006264877913459355
one,-0.0006323466978110364
help,-0.0006562420386960604
commerce,-0.0006810655907178349
consideration,-0.0006951940654103063
interest,-0.0007143361241986621
treaty,-0.0009201241231850748
america,-0.0015075652048568346
