,row_1952_data
defense,0.0031830115815727417
thing,0.0024609973496273977
world,0.0022726952156581063
korea,0.0017662524868370672
free,0.0015125309334937684
production,0.0013789669916499697
fight,0.00132474016097859
communist,0.0013216176922867973
peace,0.0013091887007927665
europe,0.001088302158569441
force,0.001070499826899291
ahead,0.0009946805295476114
year,0.000987541375630987
side,0.0009862225060549125
want,0.0008597944441570882
aggression,0.0008064491971114774
think,0.0007729540201920069
strong,0.0007720586231656659
ally,0.000762289368419173
intend,0.0007420821856058979
working,0.0007007079739769734
effort,0.0006844713655265404
build,0.000671325964471004
india,0.000660722440716344
progress,0.0006600617342128146
real,0.0006597717329408133
way,0.0006547978691936508
disarmament,0.0006541293495822444
urgently,0.0006474730889850081
fair,0.0006400755580935565
help,0.0006369115267653153
run,0.0006366293752469402
steel,0.0006349080897024582
aid,0.000629278125695127
going,0.0006167441432593068
threat,0.0006151403114738831
atomic,0.0005862683239551027
military,0.0005827053689667803
strength,0.0005801512329939482
laughing,0.0005737478560519579
ledger,0.0005677501623891928
freedom,0.0005665949467132759
debit,0.000566350313496222
attack,0.0005590908323175725
civilian,0.0005549005398745117
curtain,0.0005497841880173009
soviet,0.0005418465755536478
chance,0.0005351441877003876
bushel,0.0005322667472753148
bring,0.000528508006721877
forward,0.0005241579372452397
equipment,0.0005229893819693471
european,0.0005226606794213404
expect,0.0005182495819636031
area,0.0005132240273327167
hope,0.0005096456345219525
win,0.0005051053263269664
see,0.0004910775087703793
keep,0.0004870673835562167
luxury,0.0004699563701518009
active,0.00046330487267284273
iron,0.0004627317878419858
full,0.0004602189233949473
ideal,0.00045110928277962024
technical,0.00043972836806583363
greater,0.00042744496996083184
needed,0.00042208182098107407
get,0.0004176370030089007
plane,0.00041352218236463353
soldier,0.00041220371091514504
farmer,0.00040962018528526936
need,0.00040803740772770044
people,0.00040799775597726625
burden,0.0004017570682408307
nation,0.0004003162029115831
economic,0.0003981768598520439
servant,0.00039573524719404706
kind,0.00039364535404851596
fighting,0.000390034369130651
bad,0.0003866950214437626
frill,0.0003861465123064046
vishinsky,0.0003861465123064046
together,0.0003822979496890251
decent,0.0003795696610995743
moral,0.00037877565217988055
sleep,0.0003757726338940358
advance,0.00037573935723381646
indochina,0.00037438213417532155
sunshine,0.0003724795593938563
falter,0.00036706934198865883
lose,0.0003666391373638816
aluminum,0.00036641002530238503
look,0.00036579863327985875
mean,0.00035181919275709356
hang,0.00034288102186359184
far,0.00034056906142611787
health,0.0003394812070206574
take,0.0003348049673548866
good,0.0003341052812868337
shortcoming,0.0003340974818428919
adequate,0.0003331786509866885
stabilization,0.00033004204231313646
hard,0.00032429247752032336
contest,0.00032158913886841335
job,0.00031958891762281236
talking,0.00031905820609406173
strengthen,0.00031889117517194246
east,0.0003177651653859484
increase,0.0003169960075806241
armistice,0.0003161092111949401
wheat,0.00031244654476981137
outcome,0.00031193391422642305
created,0.00031068700213686726
output,0.00030130699264550073
tank,0.0002993985524676169
meet,0.00029916698274764906
supply,0.00029685669810789524
information,-0.00029429367312141396
spain,-0.0002946503058339993
port,-0.0002959074917928488
issue,-0.0002962583473151367
article,-0.00030197518999583727
britain,-0.0003091182491866079
ask,-0.00030979165405558217
circumstance,-0.00031052546694324397
market,-0.0003118892622873753
ago,-0.0003151006507952522
local,-0.00032018775765458213
person,-0.00032051385610979506
convention,-0.00032145438950635343
property,-0.0003243901108308486
term,-0.0003248256730649682
bill,-0.00032932673030541
always,-0.00033142169818254746
commercial,-0.0003314436398029725
existing,-0.00033370698729240275
form,-0.00033615982196699446
whose,-0.000337631246918452
reduction,-0.00033784579402830055
mexico,-0.00033993820862458703
affair,-0.0003420501546396244
found,-0.0003434474821626047
sum,-0.0003443581536025283
establishment,-0.0003487237552953816
citizen,-0.00034890430474040466
city,-0.0003499331167717025
court,-0.000356931280865226
small,-0.000361836976455127
navy,-0.00036200924017494297
reform,-0.00036682968007066064
common,-0.0003674669589925403
office,-0.00036768735834252726
regard,-0.00037117792213303127
expense,-0.0003716989267983125
fiscal,-0.00038587790295883636
bank,-0.00039547269919654117
due,-0.0003989838390396736
demand,-0.0003994288371795222
international,-0.00040180216687482373
party,-0.00041973909785963844
prosperity,-0.000422872029687061
several,-0.00042436420466661015
thus,-0.0004450963435903963
protection,-0.00045217869066976814
duty,-0.0004627583375624913
object,-0.0004650886511932149
appropriation,-0.00046658026861405436
vessel,-0.0004752276516438357
never,-0.0004768112725275202
tonight,-0.00048278265369232977
claim,-0.0004916922783437571
secretary,-0.0004970495189508885
cause,-0.0005001287089591407
course,-0.0005006088423065201
territory,-0.0005114901252375094
constitution,-0.0005191975714822031
use,-0.0005199712056230062
officer,-0.0005311120605254035
case,-0.000544589411523187
change,-0.0005507490797047215
debt,-0.0005597339841751465
view,-0.0005703245690193766
question,-0.0005902102146504164
authority,-0.0006144842005826657
provision,-0.0006180533782713104
treasury,-0.0006223011927139787
attention,-0.0006309701005914452
child,-0.0006312195625115548
legislation,-0.0006341081526858223
trade,-0.0006757342828069752
commerce,-0.0006810655907178349
consideration,-0.0006951940654103063
interest,-0.0007193172113256199
future,-0.0007456002482038493
department,-0.0008050002320331357
america,-0.0008173484814076423
subject,-0.0009996823461238388
government,-0.0011052819714732882
may,-0.0013183193717215987
state,-0.0017292136821181572
