,document,element,frequency_in_document
0,AI,more,-0.004221301952338734
1,Collaborative,more,0.0019324982165865555
2,AI,dorms,-0.0038728663701476113
3,Collaborative,dorms,0.0033285723996499556
4,Human,dorms,-0.0018483929300484813
5,AI,project,-0.003587923082824514
6,Collaborative,project,0.003435647390456426
7,Human,project,-0.0023449125664378716
8,AI,sus,-0.0035778517583132437
9,Collaborative,sus,0.0012801078339603577
10,AI,bow,-0.002984731948111583
11,Collaborative,bow,0.0017496381577770145
12,Human,bow,-0.0008625792304788361
13,AI,area,-0.002836451995561168
14,Collaborative,area,0.0018853136783880463
15,Human,area,-0.0014027049061736021
16,AI,radiator,-0.002836451995561168
17,Collaborative,radiator,0.0018853136783880463
18,Human,radiator,-0.0014027049061736021
19,AI,renovations,-0.002836451995561168
20,Collaborative,renovations,0.0018853136783880463
21,Human,renovations,-0.0014027049061736021
22,AI,trainings,-0.0026881720430107525
23,Collaborative,trainings,0.0020292674789340556
24,Human,trainings,-0.0026881720430107525
25,AI,fix,-0.0026881720430107525
26,Collaborative,fix,0.0020292674789340556
27,Human,fix,-0.0026881720430107525
28,AI,form,-0.0026881720430107525
29,Collaborative,form,0.0020292674789340556
30,Human,form,-0.0026881720430107525
31,AI,revamp,-0.0026881720430107525
32,Collaborative,revamp,0.0020292674789340556
33,Human,revamp,-0.0026881720430107525
34,AI,airport,-0.0026881720430107525
35,Collaborative,airport,0.0020292674789340556
36,Human,airport,-0.0026881720430107525
37,AI,another,-0.0026881720430107525
38,Collaborative,another,0.0020292674789340556
39,Human,another,-0.0026881720430107525
40,AI,efficient,-0.002549996205989613
41,Collaborative,efficient,0.002966828125273443
42,Human,efficient,-0.0016411019923713672
43,AI,solar,-0.002502165269754262
44,Collaborative,solar,0.0022023178776023333
45,Human,solar,-0.0004530892059070304
46,AI,student,-0.002462047069540042
47,Collaborative,student,0.0029477017538578672
48,Human,student,-0.0016553584157236252
49,AI,panel,-0.002460168315221303
50,Collaborative,panel,0.0015810923075249557
51,Human,panel,-0.0005614494782824209
52,AI,compost,-0.002458022311822832
53,Collaborative,compost,0.001212638013237251
54,AI,will,-0.0022961785416210807
55,Collaborative,will,0.0020048959505644644
56,Human,will,-0.0027126638382593445
57,AI,hiring,-0.0022961785416210807
58,Collaborative,hiring,0.0020048959505644644
59,Human,hiring,-0.0027126638382593445
60,AI,convenient,-0.0022961785416210807
61,Collaborative,convenient,0.0020048959505644644
62,Human,convenient,-0.0027126638382593445
63,AI,shuttle,-0.0021130639614496552
64,Collaborative,shuttle,0.0016853143063333435
65,Human,shuttle,-0.0009086955774741676
66,AI,financial,-0.0021130639614496552
67,Collaborative,financial,0.0016853143063333435
68,Human,financial,-0.0009086955774741676
69,AI,make,-0.0020656670298805587
70,Collaborative,make,0.0015412410579485332
71,Human,make,-0.0005858420541829351
72,AI,bins,-0.001991038087261519
73,Collaborative,bins,0.0008571249115781397
74,AI,within,-0.001980032522112939
75,Collaborative,within,0.0018170828468434901
76,Human,within,-0.0014609206794889162
77,AI,new,-0.001767447641277155
78,Collaborative,new,0.0015021547660736142
79,Human,new,-0.0006105478252838898
80,AI,fund,-0.0016589483869889699
81,Collaborative,fund,0.00177269232227748
82,Human,fund,-0.0014999294430954456
83,AI,energy,-0.0013575093273467693
84,Collaborative,energy,0.004366795536122549
85,Human,energy,-0.003701292263068136
86,AI,installation,-0.0013143694341365697
87,Collaborative,installation,0.0015621517672400258
88,Human,installation,-0.0010026267438160382
89,AI,panels,-0.0012860699368449587
90,Collaborative,panels,0.0005900801347200201
91,AI,practices,0.0012236105115015895
92,Collaborative,practices,-0.0022803953202367596
93,Human,practices,-0.00045543142807795086
94,AI,reduce,0.0011832672088773449
95,Collaborative,reduce,-0.00156747489590987
96,Human,reduce,-0.00156747489590987
97,AI,increase,-0.00115855897031929
98,Collaborative,increase,0.001389341127383916
99,Human,increase,-0.0006864662742151141
100,AI,support,-0.0011381411398177397
101,Collaborative,support,0.001522664098650717
102,Human,support,-0.0010344152759722627
103,AI,research,-0.0009474504411229232
104,Collaborative,research,0.0013353497790642168
105,Human,research,-0.0007253932532792762
106,AI,projects,-0.0009316484743296675
107,Collaborative,projects,0.0006008838770138981
108,AI,community,0.000886477867979322
109,Collaborative,community,-0.0027252351778880054
110,AI,local,0.0008407760172339932
111,Collaborative,local,-0.002946990516184196
112,AI,transportation,-0.000804283655762684
113,Collaborative,transportation,0.0023822154539798997
114,Human,transportation,-0.002127795536380993
115,AI,led,-0.000772573332749179
116,Collaborative,led,0.0015632339764716304
117,Human,led,-0.0016971774807798077
118,AI,amount,-0.000741399762752076
119,Collaborative,amount,-0.000741399762752076
120,Human,amount,0.0005596734150085028
121,AI,promote,0.0006655878049935066
122,Collaborative,promote,-0.000881704628949302
123,Human,promote,-0.000881704628949302
124,AI,students,0.0006598568769797801
125,Collaborative,students,-0.002677580768449687
126,AI,workshops,0.0006275991730166582
127,Collaborative,workshops,-0.0014721660770332329
128,AI,halls,-0.0006045496166792374
129,Collaborative,halls,-0.0016052585017471107
130,Human,halls,0.0010021788277900724
131,AI,benefits,0.0006026940764761947
132,Collaborative,benefits,-0.001127951762494084
133,Human,benefits,-0.00022131626289630975
134,AI,etc,-0.0005931198102016607
135,Collaborative,etc,-0.0005931198102016607
136,Human,etc,0.00044773873200680233
137,AI,trash,-0.0005931198102016607
138,Collaborative,trash,-0.0005931198102016607
139,Human,trash,0.00044773873200680233
140,AI,educational,0.0005546565041612553
141,Collaborative,educational,-0.0007347538574577517
142,Human,educational,-0.0007347538574577517
143,AI,eco,0.0005480979289112246
144,Collaborative,eco,-0.001054476376748309
145,AI,program,0.0005389970413023696
146,Collaborative,program,-0.0013497071007902743
147,AI,create,0.000536167954022547
148,Collaborative,create,-0.0007102620622091599
149,Human,create,-0.0007102620622091599
150,AI,buildings,-0.0005323681294732423
151,Collaborative,buildings,0.0014658802508893697
152,Human,buildings,-0.0017970685056231013
153,AI,organize,0.0004807023036064212
154,Collaborative,organize,-0.0006367866764633847
155,Human,organize,-0.0006367866764633847
156,AI,promoting,0.0004807023036064212
157,Collaborative,promoting,-0.0006367866764633847
158,Human,promoting,-0.0006367866764633847
159,AI,as,0.0004755323223365381
160,Collaborative,as,-0.0009565091957539419
161,AI,their,0.00046221375346771276
162,Collaborative,their,-0.0006122948812147931
163,Human,their,-0.0006122948812147931
164,AI,where,0.00046221375346771276
165,Collaborative,where,-0.0006122948812147931
166,Human,where,-0.0006122948812147931
167,AI,educate,0.00046221375346771276
168,Collaborative,educate,-0.0006122948812147931
169,Human,educate,-0.0006122948812147931
170,AI,ai,-0.0004448398576512456
171,Collaborative,ai,-0.0004448398576512456
172,Human,ai,0.00033580404900510167
173,AI,no,-0.0004448398576512456
174,Collaborative,no,-0.0004448398576512456
175,Human,no,0.00033580404900510167
176,AI,sustenability,-0.0004448398576512456
177,Collaborative,sustenability,-0.0004448398576512456
178,Human,sustenability,0.00033580404900510167
179,AI,startups,-0.0004448398576512456
180,Collaborative,startups,-0.0004448398576512456
181,Human,startups,0.00033580404900510167
182,AI,sust,-0.0004448398576512456
183,Collaborative,sust,-0.0004448398576512456
184,Human,sust,0.00033580404900510167
185,AI,sure,-0.0004448398576512456
186,Collaborative,sure,-0.0004448398576512456
187,Human,sure,0.00033580404900510167
188,AI,thrifting,-0.0004448398576512456
189,Collaborative,thrifting,-0.0004448398576512456
190,Human,thrifting,0.00033580404900510167
191,AI,paulson,-0.0004448398576512456
192,Collaborative,paulson,-0.0004448398576512456
193,Human,paulson,0.00033580404900510167
194,AI,outside,-0.0004448398576512456
195,Collaborative,outside,-0.0004448398576512456
196,Human,outside,0.00033580404900510167
197,AI,maybe,-0.0004448398576512456
198,Collaborative,maybe,-0.0004448398576512456
199,Human,maybe,0.00033580404900510167
200,AI,accessible,-0.0004448398576512456
201,Collaborative,accessible,-0.0004448398576512456
202,Human,accessible,0.00033580404900510167
203,AI,each,-0.0004448398576512456
204,Collaborative,each,-0.0004448398576512456
205,Human,each,0.00033580404900510167
206,AI,card,-0.0004448398576512456
207,Collaborative,card,-0.0004448398576512456
208,Human,card,0.00033580404900510167
209,AI,carbon,0.0004437252033290044
210,Collaborative,carbon,-0.0005878030859662013
211,Human,carbon,-0.0005878030859662013
212,AI,such,0.0004437252033290044
213,Collaborative,such,-0.0005878030859662013
214,Human,such,-0.0005878030859662013
215,AI,campaigns,0.00043937428549383785
216,Collaborative,campaigns,-0.0009075256052567585
217,AI,impact,0.0004338919036370368
218,Collaborative,impact,-0.001202756329298724
219,AI,reduction,0.0004338919036370368
220,Collaborative,reduction,-0.001202756329298724
221,AI,use,0.0004338919036370368
222,Collaborative,use,-0.001202756329298724
223,AI,staff,-0.00042760666869577407
224,Collaborative,staff,0.0015643167550694697
225,Human,staff,-0.003202499743231179
226,AI,importance,0.00041654176344572047
227,Collaborative,importance,-0.0011782645340501323
228,AI,friendly,0.0003992491427787803
229,Collaborative,friendly,-0.0011537727388015407
230,AI,businesses,0.00038825955291287874
231,Collaborative,businesses,-0.0005143277002204262
232,Human,businesses,-0.0005143277002204262
233,AI,encouraging,0.00038825955291287874
234,Collaborative,encouraging,-0.0005143277002204262
235,Human,encouraging,-0.0005143277002204262
236,AI,develop,0.00038825955291287874
237,Collaborative,develop,-0.0005143277002204262
238,Human,develop,-0.0005143277002204262
239,AI,sources,0.0003697710027741702
240,Collaborative,sources,-0.0004898359049718344
241,Human,sources,-0.0004898359049718344
242,AI,establish,0.0003697710027741702
243,Collaborative,establish,-0.0004898359049718344
244,Human,establish,-0.0004898359049718344
245,AI,implement,0.000367392805113589
246,Collaborative,implement,-0.0008095584242623915
247,AI,class,-0.0003627297700075422
248,Collaborative,class,-0.0009631551010482664
249,Human,class,0.0006013072966740434
250,AI,swipe,-0.0003533452991377746
251,Collaborative,swipe,-0.0006176116054502524
252,Human,swipe,0.0004237848696692397
253,AI,fashion,0.0003494843711653189
254,Collaborative,fashion,-0.0007850666290137999
255,AI,products,0.0003327939024967533
256,Collaborative,products,-0.000440852314474651
257,Human,products,-0.000440852314474651
258,AI,host,0.0003327939024967533
259,Collaborative,host,-0.000440852314474651
260,Human,host,-0.000440852314474651
261,AI,organizations,0.0003143053523580448
262,Human,organizations,-0.0004163605192260593
263,AI,encourage,0.0003137995865083291
264,Collaborative,encourage,-0.0007360830385166164
265,AI,green,0.00030366147638075255
266,Collaborative,green,-0.0026312555400702328
267,AI,prizws,-0.00029655990510083033
268,Human,prizws,0.00022386936600340116
269,AI,near,-0.00029655990510083033
270,Human,near,0.00022386936600340116
271,AI,ppl,-0.00029655990510083033
272,Human,ppl,0.00022386936600340116
273,AI,mosr,-0.00029655990510083033
274,Human,mosr,0.00022386936600340116
275,AI,orgs,-0.00029655990510083033
276,Human,orgs,0.00022386936600340116
277,AI,plasric,-0.00029655990510083033
278,Human,plasric,0.00022386936600340116
279,AI,projecrs,-0.00029655990510083033
280,Human,projecrs,0.00022386936600340116
281,AI,sales,-0.00029655990510083033
282,Human,sales,0.00022386936600340116
283,AI,shower,-0.00029655990510083033
284,Human,shower,0.00022386936600340116
285,AI,sale,-0.00029655990510083033
286,Human,sale,0.00022386936600340116
287,AI,res,-0.00029655990510083033
288,Human,res,0.00022386936600340116
289,AI,0,-0.00029655990510083033
290,Human,0,0.00022386936600340116
291,AI,loco,-0.00029655990510083033
292,Human,loco,0.00022386936600340116
293,AI,suited,-0.00029655990510083033
294,Human,suited,0.00022386936600340116
295,AI,active,-0.00029655990510083033
296,Human,active,0.00022386936600340116
297,AI,adding,-0.00029655990510083033
298,Human,adding,0.00022386936600340116
299,AI,assemble,-0.00029655990510083033
300,Human,assemble,0.00022386936600340116
301,AI,bathroom,-0.00029655990510083033
302,Human,bathroom,0.00022386936600340116
303,AI,bathrooms,-0.00029655990510083033
304,Human,bathrooms,0.00022386936600340116
305,AI,waban,-0.00029655990510083033
306,Human,waban,0.00022386936600340116
307,AI,buckets,-0.00029655990510083033
308,Human,buckets,0.00022386936600340116
309,AI,case,-0.00029655990510083033
310,Human,case,0.00022386936600340116
311,AI,throughout,-0.00029655990510083033
312,Human,throughout,0.00022386936600340116
313,AI,cleanup,-0.00029655990510083033
314,Human,cleanup,0.00022386936600340116
315,AI,conferences,-0.00029655990510083033
316,Human,conferences,0.00022386936600340116
317,AI,fauna,-0.00029655990510083033
318,Human,fauna,0.00022386936600340116
319,AI,fundraiser,-0.00029655990510083033
320,Human,fundraiser,0.00022386936600340116
321,AI,sourcing,-0.00029655990510083033
322,Human,sourcing,0.00022386936600340116
323,AI,little,-0.00029655990510083033
324,Human,little,0.00022386936600340116
325,AI,expand,-0.00029655990510083033
326,Human,expand,0.00022386936600340116
327,AI,less,-0.00029655990510083033
328,Human,less,0.00022386936600340116
329,AI,sort,-0.00029655990510083033
330,Human,sort,0.00022386936600340116
331,AI,submit,-0.00029655990510083033
332,Human,submit,0.00022386936600340116
333,AI,es,-0.00029655990510083033
334,Human,es,0.00022386936600340116
335,AI,heads,-0.00029655990510083033
336,Human,heads,0.00022386936600340116
337,AI,ind,-0.00029655990510083033
338,Human,ind,0.00022386936600340116
339,AI,focused,0.0002958168022193362
340,Human,focused,-0.0003918687239774675
341,AI,by,0.0002958168022193362
342,Human,by,-0.0003918687239774675
343,AI,biodiversity,0.0002958168022193362
344,Human,biodiversity,-0.0003918687239774675
345,AI,dorm,-0.0002859813465982444
346,Collaborative,dorm,-0.0009876468962968581
347,Human,dorm,0.0005792239011709136
348,AI,challenge,0.00027732825208062766
349,Human,challenge,-0.00036737692872887586
350,AI,agriculture,0.00027732825208062766
351,Human,agriculture,-0.00036737692872887586
352,AI,featuring,0.00027732825208062766
353,Human,featuring,-0.00036737692872887586
354,AI,living,0.00027732825208062766
355,Human,living,-0.00036737692872887586
356,AI,consumption,0.00027732825208062766
357,Human,consumption,-0.00036737692872887586
358,AI,zero,0.00026068769627935633
359,Collaborative,zero,-0.0006626076527708413
360,AI,climate,0.00025883970194191916
361,Human,climate,-0.00034288513348028414
362,AI,single,0.00025883970194191916
363,Human,single,-0.00034288513348028414
364,AI,organizing,0.00025883970194191916
365,Human,organizing,-0.00034288513348028414
366,AI,launch,0.00025883970194191916
367,Human,launch,-0.00034288513348028414
368,AI,members,0.00025883970194191916
369,Human,members,-0.00034288513348028414
370,AI,awareness,-0.00024246071348522056
371,Collaborative,awareness,0.0010278032634392005
372,Human,awareness,-0.0009853502904297695
373,AI,competitions,-0.0002418198466716949
374,Collaborative,competitions,-0.0006421034006988442
375,Human,competitions,0.0004008715311160291
376,AI,donating,-0.0002418198466716949
377,Collaborative,donating,-0.0006421034006988442
378,Human,donating,0.0004008715311160291
379,AI,plant,0.0002403511518032106
380,Human,plant,-0.00031839333823169237
381,AI,wind,0.0002403511518032106
382,Human,wind,-0.00031839333823169237
383,AI,footprint,0.0002403511518032106
384,Human,footprint,-0.00031839333823169237
385,AI,topics,0.0002403511518032106
386,Human,topics,-0.00031839333823169237
387,AI,specific,-0.00023234208340825656
388,Collaborative,specific,-0.00046933165289983725
389,Human,specific,0.0003120255163469757
390,AI,science,-0.00023234208340825656
391,Collaborative,science,-0.00046933165289983725
392,Human,science,0.0003120255163469757
393,AI,clothes,-0.00023234208340825656
394,Collaborative,clothes,-0.00046933165289983725
395,Human,clothes,0.0003120255163469757
396,AI,school,-0.00023234208340825656
397,Collaborative,school,-0.00046933165289983725
398,Human,school,0.0003120255163469757
399,AI,compostable,-0.00023234208340825656
400,Collaborative,compostable,-0.00046933165289983725
401,Human,compostable,0.0003120255163469757
402,AI,can,0.00023077839488187856
403,Collaborative,can,-0.0009088547863156235
404,AI,campaign,0.0002218626016645022
