element,frequency_in_document
0,0.0017793594306049821
1,0.0008896797153024911
100,0.0008896797153024911
100000,0.00014695077149155033
10k,0.0008896797153024911
15,0.00014695077149155033
15k,0.0008896797153024911
2,0.0008896797153024911
25live,0.0008896797153024911
2k,0.0008896797153024911
3k,0.0008896797153024911
5,0.0008896797153024911
60k,0.00014695077149155033
abou,0.00014695077149155033
about,0.0113710350093217
absteact,0.0008896797153024911
academic,0.001330532029777142
accept,0.00014695077149155033
accessible,0.0026690391459074734
accurate,0.0008896797153024911
across,0.000440852314474651
action,0.0010286554004408524
actionable,0.00014695077149155033
actions,0.00029390154298310065
active,0.0017793594306049821
actively,0.0005878030859662013
activism,0.0010366304867940415
activists,0.000440852314474651
activities,0.001330532029777142
activity,0.00029390154298310065
adding,0.0017793594306049821
additionally,0.00014695077149155033
addressing,0.00029390154298310065
adjust,0.00029390154298310065
adjusting,0.00029390154298310065
adjustments,0.00029390154298310065
administration,0.00014695077149155033
administrative,0.0008896797153024911
adopt,0.0007347538574577516
adopting,0.00014695077149155033
advancements,0.00014695077149155033
advocacy,0.0007347538574577516
advocate,0.0016244335727602427
advocates,0.0007347538574577516
advocating,0.00014695077149155033
aesthetics,0.00014695077149155033
affinity,0.00014695077149155033
agricultural,0.00014695077149155033
agriculture,0.002204261572373255
ai,0.0026690391459074734
aimed,0.00014695077149155033
air,0.0007347538574577516
airport,0.016129032258064516
all,0.0023671625165711833
allocate,0.0010286554004408524
allowing,0.0005878030859662013
allows,0.00014695077149155033
along,0.0005878030859662013
alongside,0.00014695077149155033
also,0.0008896797153024911
alt,0.0008896797153024911
alternative,0.00014695077149155033
alternatives,0.0005878030859662013
ama,0.0008896797153024911
amazon,0.0008896797153024911
ambassador,0.00014695077149155033
ambassadors,0.0010286554004408524
among,0.001322556943423953
amount,0.004448398576512456
amounts,0.00014695077149155033
amplify,0.00014695077149155033
an,0.0014695077149155032
analogous,0.00014695077149155033
analysis,0.00029390154298310065
annual,0.00014695077149155033
another,0.016129032258064516
any,0.00014695077149155033
app,0.0005878030859662013
appealing,0.00014695077149155033
appliances,0.000881704628949302
appoint,0.0008896797153024911
approaches,0.00014695077149155033
appropriate,0.0008896797153024911
architects,0.00029390154298310065
area,0.017018711973367007
areas,0.0016164584864070536
around,0.001771384344251793
art,0.0011835812582855917
artisans,0.00014695077149155033
artists,0.00014695077149155033
arts,0.00014695077149155033
as,0.0057390551745236515
aside,0.00029390154298310065
assemble,0.0017793594306049821
assess,0.00029390154298310065
assessing,0.00029390154298310065
assigning,0.00014695077149155033
assignments,0.00029390154298310065
assistance,0.00014695077149155033
associated,0.00029390154298310065
association,0.00014695077149155033
at,0.0036976945463483256
attendees,0.00029390154298310065
audit,0.00014695077149155033
audits,0.000881704628949302
authorities,0.00029390154298310065
automatic,0.0008896797153024911
availability,0.000440852314474651
award,0.00014695077149155033
awareness,0.023794397634684702
away,0.00014695077149155033
b,0.0008896797153024911
bad,0.0008896797153024911
badge,0.00014695077149155033
barrels,0.00014695077149155033
based,0.003101916374028935
bathroom,0.0017793594306049821
bathrooms,0.0017793594306049821
beaches,0.00029390154298310065
beautify,0.00029390154298310065
become,0.000440852314474651
bee,0.00014695077149155033
bees,0.00014695077149155033
behavioral,0.00029390154298310065
being,0.00029390154298310065
benches,0.0010366304867940415
benefits,0.006767710574964504
best,0.0010366304867940415
better,0.0011835812582855917
between,0.00014695077149155033
bicycle,0.00014695077149155033
bicycles,0.000440852314474651
bike,0.006783660747670883
biking,0.001771384344251793
bin,0.0008896797153024911
bins,0.02560565741070244
biodegradable,0.000440852314474651
biodiversity,0.002351212343864805
biological,0.00014695077149155033
birdhouses,0.00014695077149155033
bit,0.0008896797153024911
body,0.00014695077149155033
bonding,0.00014695077149155033
book,0.00029390154298310065
books,0.00014695077149155033
booths,0.00014695077149155033
boston,0.0008896797153024911
bottle,0.00029390154298310065
bottles,0.002962940688890574
bow,0.0179083916886695
boxes,0.0008896797153024911
brand,0.000440852314474651
brands,0.000440852314474651
breakfast,0.00014695077149155033
bring,0.0005878030859662013
broken,0.00014695077149155033
buckets,0.0017793594306049821
budget,0.004881275804633918
builders,0.00029390154298310065
building,0.003836670231486687
buildings,0.019957727403198015
bus,0.0008896797153024911
buses,0.00014695077149155033
business,0.00014695077149155033
businesses,0.003085966201322557
butterflies,0.00014695077149155033
buying,0.00014695077149155033
by,0.002351212343864805
cafes,0.00029390154298310065
cafeteria,0.0008896797153024911
calendar,0.00029390154298310065
campaign,0.001763409257898604
campaigns,0.005445153631540551
campus,0.04549186208018087
campuses,0.00014695077149155033
can,0.005453128717893741
cannot,0.00014695077149155033
canopy,0.00014695077149155033
cans,0.0008896797153024911
car,0.0008896797153024911
carbon,0.003526818515797208
card,0.0026690391459074734
cardboard,0.0008896797153024911
cards,0.00014695077149155033
care,0.00029390154298310065
carpool,0.0005878030859662013
carpooling,0.0016164584864070536
cars,0.000440852314474651
case,0.0017793594306049821
catering,0.00014695077149155033
causes,0.0008896797153024911
celebrate,0.00014695077149155033
celebration,0.00014695077149155033
center,0.0010366304867940415
centers,0.00029390154298310065
ceremony,0.00014695077149155033
certain,0.0008896797153024911
certification,0.0011756061719324026
certifications,0.0008896797153024911
chairs,0.0008896797153024911
challenge,0.002204261572373255
challenges,0.001763409257898604
change,0.001763409257898604
changes,0.001771384344251793
charging,0.0020652858872348937
chemical,0.00029390154298310065
chemicals,0.00014695077149155033
children,0.0010366304867940415
choices,0.0007347538574577516
choosing,0.00014695077149155033
circular,0.00029390154298310065
city,0.0008896797153024911
class,0.005778930606289598
classes,0.002220211745079633
classrooms,0.0010366304867940415
clean,0.0042775225459613375
cleaning,0.0020652858872348937
cleanup,0.0017793594306049821
clear,0.00029390154298310065
clg,0.0008896797153024911
climate,0.002057310800881705
close,0.0008896797153024911
closely,0.00014695077149155033
closets,0.0008896797153024911
clothes,0.0028159899173990236
clothing,0.001322556943423953
club,0.00530617794640219
clubs,0.008285068807999143
coalition,0.00014695077149155033
coffee,0.0010366304867940415
collab,0.0008896797153024911
collaborate,0.0016164584864070536
collaborating,0.0005878030859662013
collaboration,0.002653088973201095
collaborations,0.00014695077149155033
collect,0.00014695077149155033
collected,0.0008896797153024911
collection,0.0028080148310458347
collective,0.00014695077149155033
college,0.004718374860435989
come,0.0011756061719324026
commitment,0.00014695077149155033
committee,0.005036201662478658
common,0.00014695077149155033
communications,0.00029390154298310065
communities,0.0019183351157433435
community,0.016351411067328032
commuting,0.00014695077149155033
comparison,0.00014695077149155033
compensate,0.00014695077149155033
compete,0.000440852314474651
competition,0.0011835812582855917
competitions,0.003852620404193065
competiton,0.0008896797153024911
components,0.00014695077149155033
comportable,0.00014695077149155033
comporting,0.00014695077149155033
