,row_AI_data
practices,0.0012236105115015895
reduce,0.0011832672088773449
community,0.000886477867979322
local,0.0008407760172339932
promote,0.0006655878049935066
students,0.0006598568769797801
workshops,0.0006275991730166582
benefits,0.0006026940764761947
educational,0.0005546565041612553
eco,0.0005480979289112246
program,0.0005389970413023696
create,0.000536167954022547
organize,0.0004807023036064212
promoting,0.0004807023036064212
as,0.0004755323223365381
their,0.00046221375346771276
educate,0.00046221375346771276
where,0.00046221375346771276
such,0.0004437252033290044
carbon,0.0004437252033290044
campaigns,0.00043937428549383785
impact,0.0004338919036370368
reduction,0.0004338919036370368
use,0.0004338919036370368
importance,0.00041654176344572047
friendly,0.0003992491427787803
businesses,0.00038825955291287874
encouraging,0.00038825955291287874
develop,0.00038825955291287874
establish,0.0003697710027741702
sources,0.0003697710027741702
implement,0.000367392805113589
fashion,0.0003494843711653189
host,0.0003327939024967533
products,0.0003327939024967533
organizations,0.0003143053523580448
encourage,0.0003137995865083291
green,0.00030366147638075255
focused,0.0002958168022193362
by,0.0002958168022193362
biodiversity,0.0002958168022193362
agriculture,0.00027732825208062766
challenge,0.00027732825208062766
living,0.00027732825208062766
consumption,0.00027732825208062766
featuring,0.00027732825208062766
zero,0.00026068769627935633
climate,0.00025883970194191916
members,0.00025883970194191916
organizing,0.00025883970194191916
single,0.00025883970194191916
launch,0.00025883970194191916
wind,0.0002403511518032106
topics,0.0002403511518032106
plant,0.0002403511518032106
footprint,0.0002403511518032106
can,0.00023077839488187856
campaign,0.0002218626016645022
install,0.0002218626016645022
issues,0.0002218626016645022
challenges,0.0002218626016645022
including,0.0002218626016645022
change,0.0002218626016645022
offer,0.0002218626016645022
club,0.00021456563106177662
rainwater,0.00020337405152579365
hosting,0.00020337405152579365
partner,0.00020337405152579365
plastics,0.00020337405152579365
carpooling,0.00020337405152579365
using,0.00020337405152579365
organic,0.00020337405152579365
residents,0.00020337405152579365
areas,0.00020337405152579365
collaborate,0.00020337405152579365
bike,0.00019715294361382144
programs,0.00019145044674719123
systems,0.00019100926588128076
implementing,0.00019100926588128076
landscaping,0.0001848855013870851
supporting,0.0001848855013870851
involvement,0.0001848855013870851
long,0.0001848855013870851
own,0.0001848855013870851
wildlife,0.0001848855013870851
an,0.0001848855013870851
infrastructure,0.0001848855013870851
stations,0.00017388188739120986
public,0.0001670030861957729
among,0.00016639695124837664
clothing,0.00016639695124837664
educating,0.00016639695124837664
paper,-0.00016951470841851027
information,-0.00016951470841851027
renewable,-0.00018269901909548597
committee,-0.00019747386953754243
specific,-0.00023234208340825656
science,-0.00023234208340825656
clothes,-0.00023234208340825656
school,-0.00023234208340825656
compostable,-0.00023234208340825656
donating,-0.0002418198466716949
competitions,-0.0002418198466716949
awareness,-0.00024246071348522056
dorm,-0.0002859813465982444
throughout,-0.00029655990510083033
ind,-0.00029655990510083033
heads,-0.00029655990510083033
es,-0.00029655990510083033
submit,-0.00029655990510083033
sort,-0.00029655990510083033
less,-0.00029655990510083033
expand,-0.00029655990510083033
little,-0.00029655990510083033
sourcing,-0.00029655990510083033
fundraiser,-0.00029655990510083033
fauna,-0.00029655990510083033
conferences,-0.00029655990510083033
cleanup,-0.00029655990510083033
mosr,-0.00029655990510083033
case,-0.00029655990510083033
res,-0.00029655990510083033
prizws,-0.00029655990510083033
near,-0.00029655990510083033
buckets,-0.00029655990510083033
orgs,-0.00029655990510083033
plasric,-0.00029655990510083033
projecrs,-0.00029655990510083033
sales,-0.00029655990510083033
shower,-0.00029655990510083033
sale,-0.00029655990510083033
ppl,-0.00029655990510083033
0,-0.00029655990510083033
assemble,-0.00029655990510083033
loco,-0.00029655990510083033
bathrooms,-0.00029655990510083033
bathroom,-0.00029655990510083033
waban,-0.00029655990510083033
adding,-0.00029655990510083033
active,-0.00029655990510083033
suited,-0.00029655990510083033
swipe,-0.0003533452991377746
class,-0.0003627297700075422
staff,-0.00042760666869577407
ai,-0.0004448398576512456
thrifting,-0.0004448398576512456
no,-0.0004448398576512456
sustenability,-0.0004448398576512456
startups,-0.0004448398576512456
sust,-0.0004448398576512456
sure,-0.0004448398576512456
card,-0.0004448398576512456
paulson,-0.0004448398576512456
outside,-0.0004448398576512456
maybe,-0.0004448398576512456
accessible,-0.0004448398576512456
each,-0.0004448398576512456
buildings,-0.0005323681294732423
trash,-0.0005931198102016607
etc,-0.0005931198102016607
halls,-0.0006045496166792374
amount,-0.000741399762752076
led,-0.000772573332749179
transportation,-0.000804283655762684
projects,-0.0009316484743296675
research,-0.0009474504411229232
support,-0.0011381411398177397
increase,-0.00115855897031929
panels,-0.0012860699368449587
installation,-0.0013143694341365697
energy,-0.0013575093273467693
fund,-0.0016589483869889699
new,-0.001767447641277155
within,-0.001980032522112939
bins,-0.001991038087261519
make,-0.0020656670298805587
shuttle,-0.0021130639614496552
financial,-0.0021130639614496552
hiring,-0.0022961785416210807
will,-0.0022961785416210807
convenient,-0.0022961785416210807
compost,-0.002458022311822832
panel,-0.002460168315221303
student,-0.002462047069540042
solar,-0.002502165269754262
efficient,-0.002549996205989613
revamp,-0.0026881720430107525
another,-0.0026881720430107525
airport,-0.0026881720430107525
form,-0.0026881720430107525
fix,-0.0026881720430107525
trainings,-0.0026881720430107525
renovations,-0.002836451995561168
radiator,-0.002836451995561168
area,-0.002836451995561168
bow,-0.002984731948111583
sus,-0.0035778517583132437
project,-0.003587923082824514
dorms,-0.0038728663701476113
more,-0.004221301952338734
