,row_Collaborative_data
energy,0.004366795536122549
project,0.003435647390456426
dorms,0.0033285723996499556
efficient,0.002966828125273443
student,0.0029477017538578672
transportation,0.0023822154539798997
solar,0.0022023178776023333
another,0.0020292674789340556
trainings,0.0020292674789340556
fix,0.0020292674789340556
form,0.0020292674789340556
revamp,0.0020292674789340556
airport,0.0020292674789340556
convenient,0.0020048959505644644
hiring,0.0020048959505644644
will,0.0020048959505644644
more,0.0019324982165865555
renovations,0.0018853136783880463
radiator,0.0018853136783880463
area,0.0018853136783880463
within,0.0018170828468434901
fund,0.00177269232227748
bow,0.0017496381577770145
shuttle,0.0016853143063333435
financial,0.0016853143063333435
panel,0.0015810923075249557
staff,0.0015643167550694697
led,0.0015632339764716304
installation,0.0015621517672400258
make,0.0015412410579485332
support,0.001522664098650717
new,0.0015021547660736142
buildings,0.0014658802508893697
increase,0.001389341127383916
research,0.0013353497790642168
sus,0.0012801078339603577
compost,0.001212638013237251
renewable,0.0011040955733483647
awareness,0.0010278032634392005
bins,0.0008571249115781397
conservation,0.0007244144502277995
sustainable,0.0006602460535217194
composting,0.0006346300028836909
projects,0.0006008838770138981
panels,0.0005900801347200201
initiatives,0.000515129165653355
from,-0.00041768970028492413
system,-0.00041768970028492413
savings,-0.00041768970028492413
day,-0.00041768970028492413
purchasing,-0.0004190188813437889
trees,-0.0004190188813437889
products,-0.000440852314474651
host,-0.000440852314474651
creating,-0.0004421814955335158
saving,-0.0004421814955335158
solutions,-0.0004421814955335158
collaboration,-0.0004421814955335158
habitat,-0.0004435106765923807
paulson,-0.0004448398576512456
sure,-0.0004448398576512456
each,-0.0004448398576512456
accessible,-0.0004448398576512456
maybe,-0.0004448398576512456
outside,-0.0004448398576512456
thrifting,-0.0004448398576512456
no,-0.0004448398576512456
sust,-0.0004448398576512456
startups,-0.0004448398576512456
sustenability,-0.0004448398576512456
ai,-0.0004448398576512456
card,-0.0004448398576512456
usage,-0.0004666732907821075
training,-0.00046800247184097246
collection,-0.00046800247184097246
specific,-0.00046933165289983725
science,-0.00046933165289983725
clothes,-0.00046933165289983725
school,-0.00046933165289983725
compostable,-0.00046933165289983725
sources,-0.0004898359049718344
establish,-0.0004898359049718344
efficiency,-0.0004911650860306994
harvesting,-0.0004911650860306994
this,-0.0004924942670895641
bottles,-0.0004938234481484291
heating,-0.0004938234481484291
develop,-0.0005143277002204262
encouraging,-0.0005143277002204262
businesses,-0.0005143277002204262
sharing,-0.000515656881279291
based,-0.0005169860623381559
money,-0.0005183152433970207
making,-0.0005183152433970207
stations,-0.0005401486765278827
fair,-0.0005414778575867476
like,-0.0005414778575867476
related,-0.0005428070386456124
lake,-0.0005428070386456124
free,-0.0005428070386456124
systems,-0.0005646404717764745
implementing,-0.0005646404717764745
wide,-0.0005659696528353392
utensils,-0.0005672988338942042
culture,-0.0005672988338942042
carbon,-0.0005878030859662013
such,-0.0005878030859662013
reusable,-0.000590461448083931
upgrades,-0.0005917906291427959
ways,-0.0005917906291427959
plan,-0.0005917906291427959
etc,-0.0005931198102016607
trash,-0.0005931198102016607
their,-0.0006122948812147931
where,-0.0006122948812147931
educate,-0.0006122948812147931
spaces,-0.0006149532433325228
management,-0.0006149532433325228
electric,-0.0006149532433325228
how,-0.0006149532433325228
at,-0.0006162824243913876
meal,-0.0006162824243913876
technology,-0.0006162824243913876
swipe,-0.0006176116054502524
organize,-0.0006367866764633847
promoting,-0.0006367866764633847
building,-0.0006394450385811145
through,-0.0006394450385811145
development,-0.0006407742196399793
donating,-0.0006421034006988442
competitions,-0.0006421034006988442
zero,-0.0006626076527708413
strategies,-0.0006639368338297062
incentives,-0.0006639368338297062
who,-0.000665266014888571
paper,-0.0006665951959474358
information,-0.0006665951959474358
gardens,-0.0006884286290782979
film,-0.0006897578101371628
create,-0.0007102620622091599
clean,-0.0007129204243268896
resources,-0.0007129204243268896
lighting,-0.0007129204243268896
educational,-0.0007347538574577517
encourage,-0.0007360830385166164
up,-0.0007374122195754814
ideas,-0.0007400705816932111
amount,-0.000741399762752076
rain,-0.0007645623769418027
funding,-0.0007645623769418027
fashion,-0.0007850666290137999
materials,-0.0007863958100726648
college,-0.0007863958100726648
implement,-0.0008095584242623915
public,-0.0008108876053212565
budget,-0.0008135459674389863
garden,-0.000836708581628713
share,-0.0008380377626875778
committee,-0.0008393669437464429
cost,-0.0008625295579361697
items,-0.0008638587389950347
promote,-0.000881704628949302
club,-0.0008843629910670316
initiative,-0.0008870213531847614
campaigns,-0.0009075256052567585
can,-0.0009088547863156235
as,-0.0009565091957539419
class,-0.0009631551010482664
provide,-0.0009849885341791282
dorm,-0.0009876468962968581
event,-0.00100948032942772
eco,-0.001054476376748309
options,-0.0011074475104220869
benefits,-0.001127951762494084
bike,-0.001130610124611814
friendly,-0.0011537727388015407
importance,-0.0011782645340501323
use,-0.001202756329298724
reduction,-0.001202756329298724
impact,-0.001202756329298724
efforts,-0.0012080730535341834
education,-0.0013033818724108206
program,-0.0013497071007902743
clubs,-0.0013808448013331906
hall,-0.0014298283918303739
workshops,-0.0014721660770332329
reduce,-0.00156747489590987
halls,-0.0016052585017471107
programs,-0.0016475961869499697
reducing,-0.0018720098873638898
about,-0.0018951725015536167
practices,-0.0022803953202367596
events,-0.0023386831781459973
dining,-0.0023903251307609103
green,-0.0026312555400702328
students,-0.002677580768449687
community,-0.0027252351778880054
local,-0.002946990516184196
environmental,-0.003569918845869907
food,-0.004485419537479856
