,row_Human_data
food,0.0012569301965650766
halls,0.0010021788277900724
dining,0.000633256218968206
class,0.0006013072966740434
dorm,0.0005792239011709136
amount,0.0005596734150085028
environmental,0.0005266647023375835
clubs,0.000494725297037626
committee,0.000468348907068979
hall,0.000461160631619807
trash,0.00044773873200680233
etc,0.00044773873200680233
items,0.0004474636832777836
swipe,0.0004237848696692397
efforts,0.0004070913412689772
sustainability,0.0004050039727666976
competitions,0.0004008715311160291
donating,0.0004008715311160291
reducing,0.00038421395259986054
information,0.0003789488816644575
paper,0.0003789488816644575
sust,0.00033580404900510167
maybe,0.00033580404900510167
card,0.00033580404900510167
each,0.00033580404900510167
accessible,0.00033580404900510167
outside,0.00033580404900510167
paulson,0.00033580404900510167
thrifting,0.00033580404900510167
sure,0.00033580404900510167
no,0.00033580404900510167
sustenability,0.00033580404900510167
startups,0.00033580404900510167
ai,0.00033580404900510167
events,0.00031898174327881553
ideas,0.00031868218006271727
specific,0.0003120255163469757
science,0.0003120255163469757
school,0.0003120255163469757
clothes,0.0003120255163469757
compostable,0.0003120255163469757
funding,0.0003002952287478177
rain,0.0003002952287478177
heating,0.0002896119505854568
bottles,0.0002896119505854568
money,0.0002684782099666702
making,0.0002684782099666702
budget,0.00026586509647836545
share,0.00024976015854718864
related,0.00024854764673889736
free,0.00024854764673889736
lake,0.00024854764673889736
cost,0.00023435737759879775
utensils,0.00022975093932173636
culture,0.00022975093932173636
sale,0.00022386936600340116
buckets,0.00022386936600340116
plasric,0.00022386936600340116
waban,0.00022386936600340116
orgs,0.00022386936600340116
mosr,0.00022386936600340116
projecrs,0.00022386936600340116
sales,0.00022386936600340116
shower,0.00022386936600340116
near,0.00022386936600340116
res,0.00022386936600340116
0,0.00022386936600340116
loco,0.00022386936600340116
suited,0.00022386936600340116
assemble,0.00022386936600340116
active,0.00022386936600340116
adding,0.00022386936600340116
bathrooms,0.00022386936600340116
bathroom,0.00022386936600340116
ppl,0.00022386936600340116
fundraiser,0.00022386936600340116
prizws,0.00022386936600340116
sort,0.00022386936600340116
ind,0.00022386936600340116
throughout,0.00022386936600340116
heads,0.00022386936600340116
cleanup,0.00022386936600340116
submit,0.00022386936600340116
es,0.00022386936600340116
less,0.00022386936600340116
expand,0.00022386936600340116
little,0.00022386936600340116
sourcing,0.00022386936600340116
fauna,0.00022386936600340116
conferences,0.00022386936600340116
case,0.00022386936600340116
clothing,-0.0002204261572373255
educating,-0.0002204261572373255
among,-0.0002204261572373255
curriculum,-0.0002204261572373255
participants,-0.0002204261572373255
tips,-0.0002204261572373255
benefits,-0.00022131626289630975
landscaping,-0.0002449179524859172
supporting,-0.0002449179524859172
involvement,-0.0002449179524859172
long,-0.0002449179524859172
own,-0.0002449179524859172
wildlife,-0.0002449179524859172
an,-0.0002449179524859172
infrastructure,-0.0002449179524859172
partner,-0.00026940974773450894
rainwater,-0.00026940974773450894
organic,-0.00026940974773450894
using,-0.00026940974773450894
carpooling,-0.00026940974773450894
plastics,-0.00026940974773450894
areas,-0.00026940974773450894
collaborate,-0.00026940974773450894
hosting,-0.00026940974773450894
residents,-0.00026940974773450894
campaign,-0.00029390154298310065
install,-0.00029390154298310065
issues,-0.00029390154298310065
change,-0.00029390154298310065
offer,-0.00029390154298310065
challenges,-0.00029390154298310065
including,-0.00029390154298310065
wind,-0.00031839333823169237
topics,-0.00031839333823169237
footprint,-0.00031839333823169237
plant,-0.00031839333823169237
members,-0.00034288513348028414
launch,-0.00034288513348028414
climate,-0.00034288513348028414
single,-0.00034288513348028414
organizing,-0.00034288513348028414
living,-0.00036737692872887586
featuring,-0.00036737692872887586
agriculture,-0.00036737692872887586
challenge,-0.00036737692872887586
consumption,-0.00036737692872887586
biodiversity,-0.0003918687239774675
by,-0.0003918687239774675
focused,-0.0003918687239774675
organizations,-0.0004163605192260593
composting,-0.00041926514659295765
products,-0.000440852314474651
host,-0.000440852314474651
solar,-0.0004530892059070304
practices,-0.00045543142807795086
establish,-0.0004898359049718344
sources,-0.0004898359049718344
encouraging,-0.0005143277002204262
businesses,-0.0005143277002204262
develop,-0.0005143277002204262
panel,-0.0005614494782824209
conservation,-0.0005801245804952177
make,-0.0005858420541829351
such,-0.0005878030859662013
carbon,-0.0005878030859662013
new,-0.0006105478252838898
educate,-0.0006122948812147931
where,-0.0006122948812147931
their,-0.0006122948812147931
promoting,-0.0006367866764633847
organize,-0.0006367866764633847
increase,-0.0006864662742151141
create,-0.0007102620622091599
research,-0.0007253932532792762
educational,-0.0007347538574577517
initiatives,-0.0007996338300874193
bow,-0.0008625792304788361
promote,-0.000881704628949302
shuttle,-0.0009086955774741676
financial,-0.0009086955774741676
awareness,-0.0009853502904297695
installation,-0.0010026267438160382
support,-0.0010344152759722627
area,-0.0014027049061736021
radiator,-0.0014027049061736021
renovations,-0.0014027049061736021
renewable,-0.0014321268111409523
within,-0.0014609206794889162
fund,-0.0014999294430954456
reduce,-0.00156747489590987
efficient,-0.0016411019923713672
student,-0.0016553584157236252
led,-0.0016971774807798077
buildings,-0.0017970685056231013
sustainable,-0.0018060908916234307
dorms,-0.0018483929300484813
transportation,-0.002127795536380993
project,-0.0023449125664378716
another,-0.0026881720430107525
airport,-0.0026881720430107525
revamp,-0.0026881720430107525
form,-0.0026881720430107525
fix,-0.0026881720430107525
trainings,-0.0026881720430107525
will,-0.0027126638382593445
hiring,-0.0027126638382593445
convenient,-0.0027126638382593445
staff,-0.003202499743231179
energy,-0.003701292263068136
