element_name,element
0,0
100,100
10k,10k
15k,15k
25live,25live
2k,2k
3k,3k
5,5
abou,abou
about,about
academic,academic
accessible,accessible
across,across
action,action
actionable,actionable
actions,actions
actively,actively
activism,activism
activists,activists
activities,activities
activity,activity
adding,adding
additionally,additionally
adjustments,adjustments
administration,administration
administrative,administrative
adopt,adopt
adopting,adopting
advancements,advancements
advocacy,advocacy
advocate,advocate
advocates,advocates
aesthetics,aesthetics
agricultural,agricultural
agriculture,agriculture
ai,ai
aimed,aimed
air,air
all,all
allocate,allocate
allowing,allowing
along,along
alongside,alongside
also,also
alternative,alternative
alternatives,alternatives
ama,ama
ambassador,ambassador
ambassadors,ambassadors
among,among
amount,amount
amounts,amounts
amplify,amplify
an,an
annual,annual
another,another
any,any
app,app
appealing,appealing
appliances,appliances
appoint,appoint
architects,architects
area,area
areas,areas
around,around
art,art
artisans,artisans
artists,artists
as,as
aside,aside
assignments,assignments
associated,associated
at,at
attendees,attendees
audit,audit
audits,audits
authorities,authorities
availability,availability
award,award
awareness,awareness
away,away
badge,badge
barrels,barrels
based,based
bathrooms,bathrooms
beaches,beaches
beautify,beautify
become,become
bee,bee
bees,bees
benches,benches
benefits,benefits
best,best
better,better
between,between
bicycle,bicycle
bicycles,bicycles
bike,bike
biking,biking
bin,bin
bins,bins
biodegradable,biodegradable
biodiversity,biodiversity
birdhouses,birdhouses
body,body
bonding,bonding
book,book
books,books
booths,booths
boston,boston
bottle,bottle
bottles,bottles
brands,brands
breakfast,breakfast
bring,bring
broken,broken
budget,budget
builders,builders
building,building
buildings,buildings
bus,bus
buses,buses
businesses,businesses
butterflies,butterflies
buying,buying
by,by
cafes,cafes
cafeteria,cafeteria
calendar,calendar
campaign,campaign
campaigns,campaigns
campus,campus
can,can
cannot,cannot
canopy,canopy
carbon,carbon
card,card
cards,cards
carpool,carpool
carpooling,carpooling
cars,cars
catering,catering
causes,causes
celebrate,celebrate
celebration,celebration
center,center
centers,centers
ceremony,ceremony
certain,certain
certification,certification
certifications,certifications
chairs,chairs
challenge,challenge
challenges,challenges
change,change
changes,changes
charging,charging
chemical,chemical
chemicals,chemicals
children,children
choices,choices
choosing,choosing
circular,circular
city,city
class,class
classes,classes
classrooms,classrooms
clean,clean
