,element,global_weight
0,sustainability,0.02590075163974824
1,sustainable,0.0235004844930067
2,waste,0.02078671240932646
3,energy,0.01844274425074733
4,campus,0.015021374312991491
5,recycling,0.01317685860653892
6,environmental,0.011522794334327199
7,initiatives,0.010880020743764325
8,food,0.0106345571553762
9,community,0.01034196327118354
10,practices,0.009633078583092803
11,local,0.009170300900397759
12,transportation,0.008885588874547838
13,students,0.00838549300541371
14,benefits,0.007873654775891423
15,impact,0.007854673974168095
16,water,0.007647815406234196
17,green,0.00751559321117847
18,conservation,0.007363746797391844
19,composting,0.00731661650158731
20,importance,0.00731597308457974
21,reduce,0.007260317513424896
22,reduction,0.007249861987051876
23,programs,0.0069003256976892325
24,events,0.006220233920687272
25,solar,0.005908015817763714
26,projects,0.005870054214317058
27,education,0.005378483620533238
28,panels,0.005378483620533238
29,awareness,0.005350334126452031
30,more,0.0051611695262263205
31,workshops,0.0050106099464548364
32,use,0.004981817035366059
33,reducing,0.00487774433439154
34,dining,0.00478348374278247
35,college,0.004744878722328243
36,program,0.004433947453419826
37,efficient,0.004263120237909873
38,student,0.00419700914038201
39,about,0.003876265762108143
40,renewable,0.0038383041586614866
41,campaigns,0.0037813617534915023
42,educational,0.0037623809517681743
43,research,0.003733588040679397
44,friendly,0.003602009262631241
45,cost,0.003544423440453686
46,eco,0.003535898165103378
47,as,0.0034979365616567217
48,options,0.003488124452291272
49,bike,0.003393863860682202
50,promote,0.0033657143666009953
51,strategies,0.0032609982486189056
52,carbon,0.0032518295562610263
53,lighting,0.003128776053563179
54,implementing,0.0030436841543119877
55,promoting,0.0029684043644262457
56,increase,0.002873500355809605
57,event,0.0028453508617283982
58,savings,0.002835538752362949
59,how,0.002788408456558414
60,efficiency,0.002788408456558414
61,can,0.0027510902701193283
62,implement,0.002684979172591465
63,collaboration,0.0026182246580560313
64,bins,0.0026090559656981524
65,sources,0.0026090559656981524
66,efforts,0.0025239640664469613
67,resources,0.0025239640664469613
68,led,0.002504983264723633
69,harvesting,0.002486002463000305
70,staff,0.002476833770642426
71,create,0.002467665078284547
72,encourage,0.0024297034748378913
73,hall,0.002410722673114563
74,club,0.002363592377310028
75,economic,0.0023629489603024575
76,stations,0.0023537802679445786
77,halls,0.0023347994662212502
78,electric,0.0023347994662212502
79,buildings,0.002325630773863372
80,fashion,0.0022974812797821645
81,where,0.0022785004780588366
82,educate,0.0022785004780588366
83,public,0.0022595196763355086
84,challenges,0.002230726765246731
85,organize,0.0022123893805309734
86,footprint,0.002164615667718868
87,their,0.0021272974812797823
88,sharing,0.0021174853719143328
89,garden,0.0020703550761097976
90,ideas,0.0020605429667443485
91,such,0.0020422055820285907
92,management,0.0020323934726631417
93,materials,0.002023224780305263
94,rain,0.0019944318692164853
95,funding,0.0019944318692164853
96,systems,0.001985263176858607
97,businesses,0.0019381328810540715
98,clean,0.0019191520793307433
99,involvement,0.001909339969965294
100,zero,0.0018720217835262083
101,budget,0.001862209674160759
102,provide,0.0018530409818028803
103,up,0.0018530409818028803
104,engagement,0.001843228872437431
105,gardens,0.001834060180079552
106,building,0.001815079378356224
107,share,0.0017960985766328958
108,project,0.0017960985766328958
109,develop,0.001786929884275017
110,encouraging,0.001786929884275017
111,clubs,0.001786929884275017
112,change,0.0017771177749095679
113,dorm,0.0017581369731862397
114,technology,0.0017581369731862397
115,organizations,0.0017489682808283608
116,goals,0.0017391561714629115
117,establish,0.0017018379850238256
118,products,0.0016828571833004977
119,ways,0.0016730450739350484
120,initiative,0.0016638763815771695
121,lake,0.0016540642722117202
122,examples,0.0016540642722117202
123,single,0.0016448955798538415
124,reusable,0.0016448955798538415
125,opportunities,0.0016069339764071852
126,environment,0.0016069339764071852
127,long,0.0016069339764071852
128,incentives,0.0015977652840493063
129,types,0.0015879531746838572
130,social,0.0015879531746838572
131,creating,0.00155980368060265
132,solutions,0.00155980368060265
133,development,0.001540822878879322
134,host,0.0015316541865214432
135,curriculum,0.0015218420771559939
136,tech,0.0015218420771559939
137,charging,0.0015218420771559939
138,cleaning,0.0015218420771559939
139,upgrades,0.0015218420771559939
140,collection,0.0015218420771559939
141,plan,0.0015218420771559939
142,by,0.0015126733847981152
143,biodiversity,0.0015126733847981152
144,support,0.0014936925830747868
145,climate,0.0014936925830747868
146,new,0.0014557309796281307
147,infrastructure,0.0014557309796281307
148,culture,0.0014367501779048025
149,vehicle,0.0014367501779048025
150,agriculture,0.0014275814855469239
151,money,0.0014177693761814746
152,current,0.0014177693761814746
153,donating,0.0014177693761814746
154,rainwater,0.0013896198821002675
155,policies,0.0013706390803769394
156,focused,0.0013614703880190605
157,through,0.0013614703880190605
158,progress,0.0013516582786536114
159,usage,0.0013424895862957325
160,organizing,0.0013424895862957325
161,dorms,0.0013424895862957325
162,members,0.0013424895862957325
163,who,0.0013235087845724044
164,items,0.0013045279828490762
165,supporting,0.0013045279828490762
166,partnerships,0.0012855471811257482
167,challenge,0.0012763784887678694
168,consumption,0.0012763784887678694
169,featuring,0.0012763784887678694
170,spaces,0.0012763784887678694
171,living,0.0012763784887678694
172,term,0.00126656637940242
173,wind,0.0012573976870445412
174,saving,0.0012573976870445412
175,film,0.0012573976870445412
176,topics,0.0012573976870445412
177,areas,0.001238416885321213
178,based,0.001238416885321213
179,plastics,0.001238416885321213
180,committee,0.001219436083597885
181,educating,0.001219436083597885
182,paper,0.001200455281874557
183,changes,0.001200455281874557
184,launch,0.001191286589516678
185,definition,0.0011814744801512287
186,portion,0.0011814744801512287
187,spending,0.0011814744801512287
188,control,0.0011814744801512287
189,limited,0.0011814744801512287
190,pros,0.0011814744801512287
191,heating,0.0011814744801512287
192,system,0.0011723057877933499
193,issues,0.0011723057877933499
194,meal,0.0011533249860700217
195,raise,0.0011533249860700217
196,landscaping,0.0011533249860700217
197,at,0.0011533249860700217
198,communities,0.0011343441843466937
199,utensils,0.0011343441843466937
200,financial,0.0011153633826233656
201,government,0.0011153633826233656
202,wide,0.0011061946902654867
203,plant,0.0011061946902654867
204,carpooling,0.0010872138885421585
205,using,0.0010872138885421585
206,hosting,0.0010872138885421585
207,compost,0.0010872138885421585
208,class,0.0010682330868188306
209,allocate,0.0010492522850955024
210,swipe,0.0010302714833721742
211,future,0.0010302714833721742
212,donation,0.0010302714833721742
213,team,0.0010302714833721742
214,day,0.0010211027910142954
215,from,0.0010211027910142954
216,including,0.0010211027910142954
217,fair,0.0010211027910142954
218,install,0.0010211027910142954
219,installation,0.0010211027910142954
220,offer,0.0010211027910142954
221,like,0.0010211027910142954
222,campaign,0.0010211027910142954
223,experts,0.0010021219892909674
224,improve,0.0010021219892909674
225,own,0.0010021219892909674
226,habitat,0.0009831411875676392
227,costs,0.0009831411875676392
228,make,0.0009831411875676392
229,shuttle,0.0009641603858443111
230,increasing,0.0009641603858443111
231,improvement,0.0009641603858443111
232,ensuring,0.0009641603858443111
233,seminars,0.0009641603858443111
234,making,0.0009641603858443111
235,health,0.0009641603858443111
236,time,0.0009641603858443111
237,organic,0.0009360108917631041
238,partner,0.0009360108917631041
239,transit,0.0009360108917631041
240,other,0.0009360108917631041
241,residents,0.0009360108917631041
242,collaborate,0.0009360108917631041
243,discussions,0.000917030090039776
244,planting,0.000917030090039776
245,training,0.000917030090039776
246,identify,0.0008980492883164479
247,set,0.0008980492883164479
248,sus,0.0008980492883164479
249,amount,0.0008790684865931198
250,what,0.0008790684865931198
251,industry,0.0008790684865931198
252,tracking,0.0008790684865931198
253,wildlife,0.0008509189925119128
254,an,0.0008509189925119128
255,this,0.0008509189925119128
256,certification,0.0008319381907885847
257,emissions,0.0008319381907885847
258,could,0.0008319381907885847
259,them,0.0008319381907885847
260,funds,0.0008129573890652566
261,habits,0.0008129573890652566
262,low,0.0008129573890652566
263,all,0.0008129573890652566
264,competitions,0.0008129573890652566
265,policy,0.0008129573890652566
266,recycle,0.0007939765873419286
267,science,0.0007939765873419286
268,run,0.0007939765873419286
269,donations,0.0007939765873419286
270,monitoring,0.0007939765873419286
271,individual,0.0007939765873419286
272,planning,0.0007939765873419286
273,understanding,0.0007939765873419286
274,walking,0.0007658270932607216
275,among,0.0007658270932607216
276,participants,0.0007658270932607216
277,clothing,0.0007658270932607216
278,tips,0.0007658270932607216
279,services,0.0007658270932607216
280,free,0.0007468462915373934
281,fixtures,0.0007468462915373934
282,action,0.0007468462915373934
283,screenings,0.0007468462915373934
284,tree,0.0007468462915373934
285,conduct,0.0007278654898140653
286,classes,0.0007278654898140653
287,not,0.0007278654898140653
288,bottles,0.0007278654898140653
289,hands,0.0007278654898140653
290,within,0.0007278654898140653
291,learning,0.0007278654898140653
292,innovation,0.0007278654898140653
293,resistance,0.0007088846880907373
294,evaluating,0.0007088846880907373
295,fundraisers,0.0007088846880907373
296,sustenability,0.0007088846880907373
297,bow,0.0007088846880907373
298,humanities,0.0007088846880907373
299,brand,0.0007088846880907373
300,image,0.0007088846880907373
301,cons,0.0007088846880907373
302,positive,0.0007088846880907373
303,study,0.0007088846880907373
304,reliance,0.0006807351940095302
305,come,0.0006807351940095302
306,engage,0.0006807351940095302
307,natural,0.0006807351940095302
308,together,0.0006807351940095302
309,providing,0.0006807351940095302
310,native,0.0006807351940095302
311,grow,0.0006807351940095302
312,enhance,0.0006807351940095302
313,vehicles,0.0006617543922862022
314,appliances,0.0006617543922862022
315,generate,0.0006617543922862022
316,panel,0.0006617543922862022
317,turbines,0.0006617543922862022
318,runoff,0.0006617543922862022
319,containers,0.0006617543922862022
320,improved,0.0006617543922862022
321,academic,0.0006427735905628741
322,establishing,0.0006427735905628741
323,activities,0.0006427735905628741
324,data,0.0006427735905628741
325,donate,0.0006427735905628741
326,do,0.0006427735905628741
327,lights,0.0006427735905628741
328,healthier,0.0006427735905628741
329,clothes,0.0006427735905628741
330,monitor,0.0006427735905628741
331,carpool,0.0006427735905628741
332,compostable,0.0006427735905628741
333,people,0.0006427735905628741
334,reuse,0.0006427735905628741
335,related,0.000595643294758339
336,minimize,0.000595643294758339
337,information,0.000595643294758339
338,urban,0.000595643294758339
339,trees,0.000595643294758339
340,biking,0.000595643294758339
341,purchasing,0.000595643294758339
342,ambassadors,0.000595643294758339
343,sessions,0.000595643294758339
344,around,0.000595643294758339
345,stewardship,0.000595643294758339
346,roofs,0.000595643294758339
347,farmers,0.000595643294758339
348,fund,0.000595643294758339
349,technologies,0.0005766624930350109
350,participation,0.0005766624930350109
351,grants,0.0005766624930350109
352,plastic,0.0005766624930350109
353,construction,0.0005766624930350109
354,promotes,0.0005766624930350109
355,proper,0.0005766624930350109
356,outside,0.0005576816913116828
357,methods,0.0005576816913116828
358,evaluate,0.0005576816913116828
359,no,0.0005576816913116828
360,speakers,0.0005576816913116828
361,sust,0.0005576816913116828
362,initial,0.0005576816913116828
363,each,0.0005576816913116828
364,incorporating,0.0005576816913116828
365,setting,0.0005576816913116828
366,paulson,0.0005576816913116828
367,sure,0.0005576816913116828
368,disposal,0.0005576816913116828
369,investment,0.0005576816913116828
370,availability,0.0005576816913116828
371,installing,0.0005105513955071477
372,showcasing,0.0005105513955071477
373,production,0.0005105513955071477
374,quality,0.0005105513955071477
375,into,0.0005105513955071477
376,regular,0.0005105513955071477
377,focus,0.0005105513955071477
378,audits,0.0005105513955071477
