,row_Miro_data
local,0.00031468793370524324
create,0.00030242777558115233
about,0.0002937896712994003
fashion,0.0002815706876100391
organize,0.0002711421436244814
their,0.00026071359963892443
eco,0.00025362449054531946
such,0.0002502850556533675
promote,0.00023366967872634438
zero,0.0002294279676822536
clubs,0.0002189994236966972
develop,0.0002189994236966972
encouraging,0.0002189994236966972
establish,0.00020857087971114013
program,0.00020621501702310096
workshops,0.00020105142588044164
club,0.0001976188429431725
host,0.0001877137917400256
where,0.0001874289907609169
educate,0.0001874289907609169
friendly,0.0001849767701751656
students,0.00018434191701294494
focused,0.00016685670376891164
through,0.00016685670376891164
materials,0.00015698849257574522
featuring,0.0001564281597833547
spaces,0.0001564281597833547
living,0.0001564281597833547
challenge,0.0001564281597833547
consumption,0.0001564281597833547
implement,0.00015512336895158007
businesses,0.00014689483564970016
launch,0.00014599961579779807
renewable,0.00014318304928790662
provide,0.00013683435595409016
up,0.00013683435595409016
wide,0.0001355710718122407
plant,0.0001355710718122407
encourage,0.00012646337148123753
fair,0.00012514252782668374
including,0.00012514252782668374
like,0.00012514252782668374
installation,0.00012514252782668374
offer,0.00012514252782668374
from,0.00012514252782668374
day,0.00012514252782668374
install,0.00012514252782668374
campaign,0.00012514252782668374
schedule,-0.00011814744801512288
field,-0.00011814744801512288
veg,-0.00011814744801512288
cleaning,-0.00011884124678865032
plan,-0.00011884124678865032
upgrades,-0.00011884124678865032
charging,-0.00011884124678865032
collection,-0.00011884124678865032
curriculum,-0.00011884124678865032
tech,-0.00011884124678865032
conservation,-0.00012498579907840152
engagement,-0.00013497703143435793
footprint,-0.00015139873349019639
financial,-0.00015678384235844652
government,-0.00015678384235844652
monitoring,-0.00015793812487274823
donations,-0.00015793812487274823
planning,-0.00015793812487274823
individual,-0.00015793812487274823
run,-0.00015793812487274823
understanding,-0.00015793812487274823
science,-0.00015793812487274823
recycle,-0.00015793812487274823
more,-0.00016108765378440083
culture,-0.00016549700460409468
vehicle,-0.00016549700460409468
harvesting,-0.00016799026215113128
technology,-0.0001777359776708959
dorm,-0.0001777359776708959
efficient,-0.0001945770643715513
lighting,-0.0002014658042028474
transportation,-0.00020987521896266602
progress,-0.00023329513073323948
ways,-0.00023517576353766973
adjusting,-0.00023629489603024575
assess,-0.00023629489603024575
assemble,-0.00023629489603024575
es,-0.00023629489603024575
engaging,-0.00023629489603024575
case,-0.00023629489603024575
evaluation,-0.00023629489603024575
analysis,-0.00023629489603024575
buckets,-0.00023629489603024575
cleanup,-0.00023629489603024575
cup,-0.00023629489603024575
heads,-0.00023629489603024575
hiring,-0.00023629489603024575
ind,-0.00023629489603024575
coffee,-0.00023629489603024575
adjust,-0.00023629489603024575
addressing,-0.00023629489603024575
convenient,-0.00023629489603024575
contamination,-0.00023629489603024575
increased,-0.00023629489603024575
assessing,-0.00023629489603024575
care,-0.00023629489603024575
fauna,-0.00023629489603024575
bathroom,-0.00023629489603024575
reduces,-0.00023629489603024575
shower,-0.00023629489603024575
securing,-0.00023629489603024575
renovations,-0.00023629489603024575
rrr,-0.00023629489603024575
resource,-0.00023629489603024575
plasric,-0.00023629489603024575
needed,-0.00023629489603024575
ride,-0.00023629489603024575
mosr,-0.00023629489603024575
lids,-0.00023629489603024575
sustanibility,-0.00023629489603024575
limitations,-0.00023629489603024575
value,-0.00023629489603024575
n,-0.00023629489603024575
waban,-0.00023629489603024575
reductiom,-0.00023629489603024575
schoolwide,-0.00023629489603024575
stakeholder,-0.00023629489603024575
ppl,-0.00023629489603024575
conserving,-0.00023629489603024575
behavioral,-0.00023629489603024575
being,-0.00023629489603024575
active,-0.00023629489603024575
potential,-0.00023629489603024575
pollution,-0.00023629489603024575
responsibility,-0.00023629489603024575
info,-0.00023629489603024575
prizws,-0.00023629489603024575
suited,-0.00023629489603024575
professionals,-0.00023629489603024575
projecrs,-0.00023629489603024575
submit,-0.00023629489603024575
radiator,-0.00023629489603024575
implementing,-0.00023768249357730063
rain,-0.00024306849701611358
funding,-0.00024306849701611358
donation,-0.00024678641231841013
swipe,-0.00024678641231841013
team,-0.00024678641231841013
future,-0.00024678641231841013
projects,-0.00027939565049370024
involvement,-0.0003105277946649568
challenges,-0.00031356768471689305
social,-0.00031587624974549646
types,-0.00031587624974549646
panels,-0.0003198280488934858
education,-0.0003198280488934858
increase,-0.00033099400920818937
term,-0.0003413068604242401
evaluating,-0.00035444234404536864
brand,-0.00035444234404536864
sustenability,-0.00035444234404536864
resistance,-0.00035444234404536864
cons,-0.00035444234404536864
fundraisers,-0.00035444234404536864
bow,-0.00035444234404536864
study,-0.00035444234404536864
image,-0.00035444234404536864
positive,-0.00035444234404536864
humanities,-0.00035444234404536864
initiatives,-0.0003743636567325123
waste,-0.0003871835469417212
efficiency,-0.0003919596058961162
how,-0.0003919596058961162
environmental,-0.00040691852507661764
sustainability,-0.00041858051342187185
programs,-0.00043658707263460406
ideas,-0.0004935728246368203
goals,-0.0005407567901153884
strategies,-0.0005436113834375073
collaboration,-0.0005602677098634236
heating,-0.0005907372400756144
limited,-0.0005907372400756144
