,row_Noda_data
impact,0.0006637830797721082
benefits,0.0005755115266242844
importance,0.0005391618449621213
college,0.0004789700496928061
reduction,0.00047379947072248964
cost,0.0004343912414399773
recycling,0.0004284175585545758
savings,0.0003475129931519819
sustainability,0.00031607204402349983
research,0.0002934464306856491
economic,0.00028959416095998493
waste,0.0002867223677947557
environmental,0.00027129898706069414
programs,0.0002567068231546512
initiatives,0.00025081431539281953
strategies,0.00023747649846389812
collaboration,0.0002212610265907029
lake,0.00020271591267198992
examples,0.00020271591267198992
panels,0.00019089054903141819
education,0.00019089054903141819
ideas,0.00018544313201166623
how,0.00018223056566249538
efficiency,0.00018223056566249538
goals,0.00017885727301369833
projects,0.00017538521961404658
donating,0.00017375649657599095
current,0.00017375649657599095
money,0.00017375649657599095
times,-0.00017018379850238256
exchange,-0.00017018379850238256
actively,-0.00017018379850238256
home,-0.00017018379850238256
group,-0.00017018379850238256
focusing,-0.00017018379850238256
films,-0.00017018379850238256
farming,-0.00017018379850238256
etc,-0.00017018379850238256
vendors,-0.00017018379850238256
lanes,-0.00017018379850238256
soil,-0.00017018379850238256
allowing,-0.00017018379850238256
upcycling,-0.00017018379850238256
those,-0.00017018379850238256
specific,-0.00017018379850238256
cycling,-0.00017018379850238256
lifestyle,-0.00017018379850238256
along,-0.00017018379850238256
plants,-0.00017018379850238256
roof,-0.00017018379850238256
restoration,-0.00017018379850238256
raising,-0.00017018379850238256
propose,-0.00017018379850238256
produce,-0.00017018379850238256
practical,-0.00017018379850238256
peers,-0.00017018379850238256
app,-0.00017018379850238256
pathways,-0.00017018379850238256
comprehensive,-0.00017018379850238256
packaging,-0.00017018379850238256
off,-0.00017018379850238256
school,-0.00017018379850238256
month,-0.00017018379850238256
take,-0.00017018379850238256
passes,-0.00017018379850238256
as,-0.00017564660463898705
agriculture,-0.00018125202038013857
public,-0.00020027495008622997
by,-0.00020668510399968253
biodiversity,-0.00020668510399968253
festival,-0.0002127297481279782
parking,-0.0002127297481279782
parks,-0.0002127297481279782
participate,-0.0002127297481279782
volunteer,-0.0002127297481279782
discussing,-0.0002127297481279782
recycled,-0.0002127297481279782
schools,-0.0002127297481279782
drives,-0.0002127297481279782
adopt,-0.0002127297481279782
series,-0.0002127297481279782
informational,-0.0002127297481279782
show,-0.0002127297481279782
existing,-0.0002127297481279782
discounts,-0.0002127297481279782
gardening,-0.0002127297481279782
choices,-0.0002127297481279782
air,-0.0002127297481279782
advocacy,-0.0002127297481279782
followed,-0.0002127297481279782
techniques,-0.0002127297481279782
digital,-0.0002127297481279782
stormwater,-0.0002127297481279782
advocates,-0.0002127297481279782
prioritize,-0.0002127297481279782
incentives,-0.00023294114847152258
renewable,-0.00024373003364278176
encourage,-0.0002437736735853421
focus,-0.00025527569775357384
into,-0.00025527569775357384
cooking,-0.00025527569775357384
advocate,-0.00025527569775357384
showcasing,-0.00025527569775357384
regular,-0.00025527569775357384
quality,-0.00025527569775357384
s,-0.00025527569775357384
fostering,-0.00025527569775357384
documentaries,-0.00025527569775357384
fuels,-0.00025527569775357384
fossil,-0.00025527569775357384
installing,-0.00025527569775357384
audits,-0.00025527569775357384
habitats,-0.00025527569775357384
faculty,-0.00025527569775357384
production,-0.00025527569775357384
products,-0.0002599442159384757
students,-0.0002722128974767526
farmers,-0.0002978216473791695
minimize,-0.0002978216473791695
fund,-0.0002978216473791695
sessions,-0.0002978216473791695
trees,-0.0002978216473791695
biking,-0.0002978216473791695
purchasing,-0.0002978216473791695
urban,-0.0002978216473791695
related,-0.0002978216473791695
stewardship,-0.0002978216473791695
around,-0.0002978216473791695
ambassadors,-0.0002978216473791695
information,-0.0002978216473791695
roofs,-0.0002978216473791695
implement,-0.00031346024908523144
provide,-0.00031593643306992536
up,-0.00031593643306992536
providing,-0.0003403675970047651
enhance,-0.0003403675970047651
native,-0.0003403675970047651
natural,-0.0003403675970047651
come,-0.0003403675970047651
engage,-0.0003403675970047651
grow,-0.0003403675970047651
reliance,-0.0003403675970047651
together,-0.0003403675970047651
businesses,-0.00034481765936100197
workshops,-0.00035067290638493467
friendly,-0.00035452265177286183
materials,-0.00037422759454559194
program,-0.00037962675012630264
tips,-0.0003829135466303608
walking,-0.0003829135466303608
clothing,-0.0003829135466303608
among,-0.0003829135466303608
services,-0.0003829135466303608
participants,-0.0003829135466303608
an,-0.0004254594962559564
this,-0.0004254594962559564
wildlife,-0.0004254594962559564
where,-0.0004652551657162257
educate,-0.0004652551657162257
transit,-0.0004680054458815521
partner,-0.0004680054458815521
residents,-0.0004680054458815521
collaborate,-0.0004680054458815521
other,-0.0004680054458815521
organic,-0.0004680054458815521
club,-0.0004964245915655962
install,-0.0005105513955071477
fair,-0.0005105513955071477
including,-0.0005105513955071477
campaign,-0.0005105513955071477
like,-0.0005105513955071477
installation,-0.0005105513955071477
offer,-0.0005105513955071477
from,-0.0005105513955071477
day,-0.0005105513955071477
promote,-0.0005198884318769514
local,-0.0005217977476103303
wide,-0.0005530973451327434
plant,-0.0005530973451327434
eco,-0.0005752569317143055
launch,-0.000595643294758339
featuring,-0.0006381892443839347
consumption,-0.0006381892443839347
challenge,-0.0006381892443839347
living,-0.0006381892443839347
spaces,-0.0006381892443839347
through,-0.0006807351940095302
focused,-0.0006807351940095302
about,-0.0006896353187220039
host,-0.0007658270932607216
establish,-0.0008509189925119128
encouraging,-0.0008934649421375085
develop,-0.0008934649421375085
clubs,-0.0008934649421375085
zero,-0.0009360108917631041
such,-0.0010211027910142954
their,-0.0010636487406398912
organize,-0.0011061946902654867
fashion,-0.0011487406398910823
create,-0.0012338325391422736
