Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Amazon,https://companiesmarketcap.com/amazon,USA,Technology,40730000000,1500000,1.966E+12,2.0187E+11,-0.0115,96.5,3.42,5.7478E+11,5.2785E+11,1.3561E+11,3.2597E+11
Foxconn (Hon Hai Precision Industry),https://companiesmarketcap.com/foxconn,Taiwan,Technology,6160000000,826608,64750000000,54950000000,0.0255,16.1,0.3255,1.9832E+11,1.284E+11,30730000000,73440000000
Jingdong Mall,https://companiesmarketcap.com/jingdong-mall,China,Technology,4910000000,450679,42500000000,41350000000,0.0255,13.7,0.2839,1.5248E+11,86180000000,9750000000,44820000000
IBM,https://companiesmarketcap.com/ibm,USA,Technology,8690000000,288300,1.7042E+11,22610000000,0.0308,24.4,2.76,61850000000,1.3524E+11,59930000000,1.1262E+11
Panasonic,https://companiesmarketcap.com/panasonic,Japan,Technology,3170000000,232527,21530000000,30920000000,0.0487,7.18,0.3597,59640000000,63210000000,11300000000,32290000000
Alibaba,https://companiesmarketcap.com/alibaba,China,Technology,17300000000,224955,1.8712E+11,1.6162E+11,0.1682,15.9,1.43,1.308E+11,2.5761E+11,23470000000,95990000000
Microsoft,https://companiesmarketcap.com/microsoft,USA,Technology,1.0121E+11,221000,3.179E+12,2.3826E+11,0.4214,38.6,14,2.2758E+11,4.7055E+11,88370000000,2.3229E+11
Alphabet (Google),https://companiesmarketcap.com/alphabet-google,USA,Technology,86020000000,182381,1.991E+12,2.8337E+11,0.2549,30.6,6.48,3.0739E+11,4.0239E+11,28500000000,1.1901E+11
Canon,https://companiesmarketcap.com/canon,Japan,Technology,2860000000,180775,29020000000,23640000000,0.0936,15.1,0.9541,30040000000,37570000000,4920000000,13930000000
Oracle,https://companiesmarketcap.com/oracle,USA,Technology,14660000000,164000,3.3872E+11,6180000000,0.1802,35.5,6.45,52510000000,1.3708E+11,87980000000,1.309E+11
Apple,https://companiesmarketcap.com/apple,USA,Technology,1.2141E+11,161000,2.702E+12,74100000000,0.302,27.1,7.01,3.857E+11,3.5351E+11,1.0804E+11,2.7941E+11
Schneider Electric,https://companiesmarketcap.com/schneider-electric,France,Technology,5970000000,135000,1.2997E+11,30030000000,0.1381,26.5,2.82,39690000000,65110000000,15400000000,35080000000
Dell,https://companiesmarketcap.com/dell,USA,Technology,5380000000,133000,88530000000,-2570000000,0.0544,46.8,1,88420000000,83260000000,27450000000,85830000000
Tesla,https://companiesmarketcap.com/tesla,USA,Technology,10120000000,127855,5.5606E+11,63600000000,0.1435,51.2,5.75,96770000000,1.0661E+11,9570000000,43000000000
Genpact,https://companiesmarketcap.com/genpact,Bermuda,Technology,660000000,127000,5720000000,2240000000,0.1064,14.3,1.28,4470000000,4800000000,1500000000,2550000000
Intel,https://companiesmarketcap.com/intel,USA,Technology,1640000000,120300,1.6018E+11,1.0996E+11,0.1231,-94.1,2.95,54220000000,1.9157E+11,49270000000,81600000000
NEC Corp,https://companiesmarketcap.com/nec-corp,Japan,Technology,1450000000,118527,20160000000,14160000000,0.0584,22,0.8227,24330000000,29020000000,4740000000,14850000000
Sony,https://companiesmarketcap.com/sony,Japan,Technology,7960000000,113000,1.0381E+11,52980000000,0.0951,15.3,1.17,88970000000,2.3868E+11,31250000000,1.857E+11
SAP,https://companiesmarketcap.com/sap,Germany,Technology,7210000000,106495,2.1671E+11,47980000000,0.1772,34.9,6.4,33860000000,75550000000,9710000000,27560000000
Tencent,https://companiesmarketcap.com/tencent,China,Technology,35410000000,105309,3.7692E+11,1.1599E+11,0.4035,13.4,4.43,85000000000,2.1514E+11,52050000000,99150000000
Ericsson,https://companiesmarketcap.com/ericsson,Sweden,Technology,-1790000000,101351,16750000000,9670000000,0.0906,-7.82,0.6698,25010000000,29490000000,5390000000,19820000000
ASE Group,https://companiesmarketcap.com/ase-group,Taiwan,Technology,1620000000,93289,24160000000,9780000000,0.0973,19.4,1.25,19260000000,21740000000,6560000000,11950000000
Meituan,https://companiesmarketcap.com/meituan-dianping,China,Technology,1690000000,91932,81230000000,20630000000,,-56.4,2.23,37290000000,39850000000,8770000000,19220000000
TE Connectivity,https://companiesmarketcap.com/te-connectivity,Switzerland,Technology,2550000000,90000,45300000000,13240000000,0.1445,24.2,2.83,16020000000,23070000000,4190000000,9820000000
IQVIA,https://companiesmarketcap.com/iqvia,USA,Technology,2130000000,87000,43320000000,6110000000,0.1306,39.3,2.89,14980000000,26680000000,13890000000,20560000000
Nokia,https://companiesmarketcap.com/nokia,Finland,Technology,2020000000,86896,18970000000,22800000000,0.0912,4.62,0.7909,24160000000,44060000000,5730000000,21260000000
Cisco,https://companiesmarketcap.com/cisco,USA,Technology,16480000000,84900,2.0055E+11,46250000000,0.2807,16,3.5,57230000000,1.0117E+11,11600000000,54920000000
Lenovo,https://companiesmarketcap.com/lenovo,Hong Kong,Technology,1600000000,77000,13180000000,6110000000,,7.9,0.2451,55660000000,39500000000,4000000000,33390000000
Murata Manufacturing (Murata Seisakusho),https://companiesmarketcap.com/murata-seisakusho,Japan,Technology,1920000000,73164,34890000000,17670000000,0.1713,14.9,3.03,11220000000,21190000000,1160000000,3520000000
Telus International,https://companiesmarketcap.com/telus-international,Canada,Technology,200000000,73045,2380000000,2030000000,0.0769,23.6,0.8811,2700000000,4820000000,1750000000,2780000000
Lufax,https://companiesmarketcap.com/lufax,China,Technology,290000000,71034,5090000000,13160000000,0.1624,25.1,1.17,4610000000,36170000000,6010000000,23010000000
Salesforce,https://companiesmarketcap.com/salesforce,USA,Technology,4950000000,70843,2.9017E+11,59640000000,0.0315,186,8.32,34850000000,99820000000,12580000000,40170000000
Fidelity National Information Services,https://companiesmarketcap.com/fidelity-national-information-services,USA,Technology,-5920000000,69000,41590000000,19090000000,-1.5916,-1.81,3.39,12250000000,55100000000,19340000000,36000000000
Meta Platforms (Facebook),https://companiesmarketcap.com/meta-platforms,USA,Technology,47870000000,66185,1.333E+12,1.5316E+11,0.2379,45.5,9.89,1.349E+11,2.2962E+11,37230000000,76450000000
Sea (Garena),https://companiesmarketcap.com/sea,Singapore,Technology,820000000,63800,31670000000,6570000000,-0.0483,117,2.46,12890000000,18020000000,4610000000,11440000000
