,element,global_weight
0,USA,0.5474401909235179
1,China,0.0553647920049824
2,UK,0.04114412805349199
3,Switzerland,0.039699023007236
4,Saudi Arabia,0.038156577856430784
5,India,0.03301170635109488
6,Japan,0.0327466641729039
7,Canada,0.026716411138796806
8,Germany,0.023062414505447375
9,Hong Kong,0.01909952867681602
10,France,0.018982292487581733
11,Denmark,0.01762862648928805
12,Australia,0.013172219677569326
13,Spain,0.011435311210851649
14,Italy,0.009004180930885319
15,Norway,0.008371303055039813
16,Netherlands,0.007376867886222202
17,Brazil,0.00593814889594384
18,South Korea,0.005879685140298238
19,Singapore,0.004570768951450131
20,Bermuda,0.004402090513073661
21,Mexico,0.003541570187659694
22,Indonesia,0.0031795571940609127
23,Belgium,0.002787211485168435
24,Sweden,0.002686993389406248
25,Ireland,0.00237088840771423
26,Finland,0.0022499975352037707
27,Malaysia,0.0021056902925202965
28,Taiwan,0.0020055808991292366
29,Israel,0.0017782158549853964
30,Portugal,0.0016361441651219152
31,South Africa,0.0016286405311019619
32,Czech Republic,0.0014936171357164403
33,Poland,0.0012228954736070378
34,Austria,0.0011684892304854432
35,Russia,0.0010210584685995234
36,Chile,0.0010204742492977373
37,Philippines,0.0007616426348457221
38,Luxembourg,0.0006169855276880844
39,Turkey,0.0005789335145573069
40,Argentina,0.0005657910154407079
41,Greece,0.00045885605530840705
42,Colombia,0.000454496690168768
43,Iceland,0.000333167135119032
44,Hungary,0.00023603920665084087
45,Kazakhstan,0.00022483915705783815
46,New Zealand,0.000182260526631671
47,Romania,0.00013611094557107852
48,Cayman Islands,9.84444731818811e-05
49,Peru,9.614767325408325e-05
50,Kuwait,7.584983112266567e-05
51,Isle of Man,4.3141406886447935e-05
52,Jordan,2.2078354599085783e-05
53,Gibraltar,1.525942321604728e-05
