,row_Pharmaceuticals_data
Denmark,0.02716439615662195
Switzerland,0.005989312077389994
Japan,0.0010699669787161692
UK,0.0010694973604096127
Ireland,0.0010442229273051262
France,0.000304480239843561
Belgium,0.0002418373834428499
Hungary,0.0001496317229538348
Israel,0.00014386383550167993
Australia,0.00013173953500076208
Iceland,3.4334222438884044e-05
Germany,5.7365404101901766e-06
South Africa,3.4822272884607726e-08
USA,-3.8777244519344264e-07
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
India,-1.8655502489539144e-05
Isle of Man,-2.1570703443223967e-05
Sweden,-3.766984787177165e-05
Kuwait,-3.7924915561332835e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
Romania,-6.805547278553926e-05
New Zealand,-9.11302633158355e-05
Kazakhstan,-0.00011241957852891908
Luxembourg,-0.00019787779976630847
Finland,-0.00020632018093047917
Colombia,-0.000227248345084384
Greece,-0.00022942802765420353
Argentina,-0.00028289550772035395
Turkey,-0.00028946675727865346
Netherlands,-0.00029762619988230586
Philippines,-0.00038082131742286105
Chile,-0.0005102371246488687
Russia,-0.0005105292342997617
Austria,-0.0005842446152427216
Poland,-0.0006114477368035189
Czech Republic,-0.0007468085678582201
Portugal,-0.0008180720825609576
Taiwan,-0.0010027904495646183
Malaysia,-0.0010528451462601483
Indonesia,-0.0015897785970304563
Italy,-0.0017133431311085092
Mexico,-0.001770785093829847
Bermuda,-0.0022010452565368304
Spain,-0.0022608268001933812
Singapore,-0.0022853844757250654
South Korea,-0.00265063215041387
Brazil,-0.00296907444797192
Norway,-0.0041856515275199065
China,-0.005439636220604626
Hong Kong,-0.006738854568494581
Canada,-0.010537938699674737
Saudi Arabia,-0.019078288928215392
