,row_Real Estate_data
Hong Kong,0.02103152494443994
Australia,0.003772748344984406
Singapore,0.002467986365789835
Japan,0.002120734358641024
Israel,0.001185792143249932
USA,0.0008688502880131142
Sweden,0.0008139538322560545
Luxembourg,0.0003863320412216018
India,0.00022503988271842896
Austria,0.0001776843692319091
Chile,4.174877791436661e-05
Bermuda,4.1403981273898315e-05
France,2.5803722178424182e-05
Argentina,-3.932434982722336e-06
Germany,-6.2693617016453505e-06
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
Isle of Man,-2.1570703443223967e-05
Malaysia,-2.6872693174384858e-05
Canada,-2.883186934020095e-05
Kuwait,-3.7924915561332835e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
Indonesia,-5.919886212937906e-05
Romania,-6.805547278553926e-05
New Zealand,-9.11302633158355e-05
South Africa,-0.00010845513346325361
Belgium,-0.00011123018122306566
Kazakhstan,-0.00011241957852891908
Hungary,-0.00011801960332542044
Iceland,-0.000166583567559516
Colombia,-0.000227248345084384
Greece,-0.00022942802765420353
Turkey,-0.00028946675727865346
Netherlands,-0.00029505587824423104
Philippines,-0.00038082131742286105
Russia,-0.0005105292342997617
Brazil,-0.0006020737690523276
Poland,-0.0006114477368035189
Czech Republic,-0.0007468085678582201
Portugal,-0.0008180720825609576
Taiwan,-0.0010027904495646183
Finland,-0.0011249987676018854
Ireland,-0.001185444203857115
Mexico,-0.001770785093829847
UK,-0.002064018130161642
South Korea,-0.002939842570149119
Norway,-0.0041856515275199065
Italy,-0.0045020904654426595
Spain,-0.005717655605425824
China,-0.00572390964396941
Denmark,-0.006624234899015939
Switzerland,-0.012193465335005989
Saudi Arabia,-0.019078288928215392
